0001	KELLY	Welcome to the first debate night of the 2016 presidential campaign, live from Quicken Loans Arena in Cleveland, Ohio.
0002	KELLY	I'm Megyn Kelly...
0003	SYSTEM	[ applause ]
0004	KELLY	... along with my comoderators, Brett Baier and Chris Wallace.
0005	KELLY	Tonight...
0006	SYSTEM	[ applause ]
0007	KELLY	Nice.
0008	KELLY	Tonight, thousands of people here in the Q, along with millions of voters at home will get their very first chance to see the candidates face off in a debate, answering the questions you want answered.
0009	BAIER	Less than a year from now, in this very arena, one of these 10 candidates or one of the seven on the previous debate tonight will accept the Republican party's nomination.
0010	SYSTEM	[ applause ]
0011	BAIER	Tonight's candidates were selected based on an average of five national polls.
0012	BAIER	Just a few hours ago, you heard from the candidates ranked 11th through 17.
0013	BAIER	And now, the primetime event, the top 10.
0014	WALLACE	Also of note, Fox News is partnering for tonight's debate with Facebook.
0015	WALLACE	For the past several weeks, we've been asking you for questions for the candidates on Facebook.
0016	WALLACE	Nearly 6 million of you, 6 million, viewed the debate videos on our site, and more than 40,000 of you submitted questions some of which you will hear us asking the candidates tonight.
0017	KELLY	As for the candidates who will be answering those questions?
0018	KELLY	Here they are.
0019	KELLY	Positioned on the stage by how they stand in the polls, in the center of the stage tonight, businessman Donald Trump.
0020	SYSTEM	[ applause ]
0021	KELLY	Former Florida Governor Jeb Bush.
0022	SYSTEM	[ applause ]
0023	KELLY	Wisconsin Governor Scott Walker.
0024	SYSTEM	[ applause ]
0025	KELLY	Former Arkansas Governor Mike Huckabee.
0026	SYSTEM	[ applause ]
0027	BAIER	Neurosurgeon, Dr. Ben Carson.
0028	SYSTEM	[ applause ]
0029	BAIER	Texas Senator Ted Cruz.
0030	SYSTEM	[ applause ]
0031	BAIER	Florida Senator Marco Rubio.
0032	SYSTEM	[ applause ]
0033	WALLACE	Kentucky Senator Rand Paul.
0034	SYSTEM	[ applause ]
0035	WALLACE	New Jersey Governor Chris Christie.
0036	WALLACE	[
0037	WALLACE	applause ] And your very own governor of Ohio...
0038	SYSTEM	[ applause ]
0039	WALLACE	... John Kasich.
0040	SYSTEM	[ applause ]
0041	WALLACE	Brett  Brett, I think you would call that a home field advantage.
0042	BAIER	It might be.
0043	BAIER	It might be.
0044	BAIER	We'll see.
0045	BAIER	Is this in the rules?
0046	BAIER	An objection's coming.
0047	BAIER	It might be.
0048	BAIER	The rules for tonight are simple.
0049	BAIER	One minute for answers, 30 seconds for followups.
0050	BAIER	And if a candidate runs over, you'll hear this.
0051	BAIER	Pleasant, no?
0052	BAIER	We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned.
0053	BAIER	And while we expect them...
0054	SYSTEM	[ applause ]
0055	BAIER	... we expect them to be enthusiastic, as you heard, we don't want to take anything away from the valuable time for the candidate.
0056	BAIER	So, we're looking for somewhere between a reaction to a LeBron James dunk and the Cleveland Public Library across the street.
0057	SYSTEM	[ laughter ]
0058	BAIER	Somewhere there, we'll find a balance tonight.
0059	BAIER	Without further ado, let's begin.
0060	BAIER	Gentlemen, we know how much you love handraising questions.
0061	BAIER	So we promise, this is the only one tonight the only one.
0062	BAIER	Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person.
0063	BAIER	Again, we're looking for you to raise your hand now  raise your hand now if you won't make that pledge tonight.
0064	BAIER	Mr. Trump.
0065	SYSTEM	[ booing ]
