0001	CAVUTO	It is 900 p.m. on the East Coast, 800 p.m. here inside the Milwaukee theater.
0002	CAVUTO	Welcome to the Republican presidential debate here on the Fox Business Network.
0003	CAVUTO	I'm Neil Cavuto, alongside my comoderators, Maria Bartiromo, and the editorinchief of the Wall Street Journal, Gerard Baker.
0004	BARTIROMO	Tonight we're partnering with the Wall Street Journal to ask questions on the economy that voters want answered.
0005	BARTIROMO	We're also working with Facebook, who tells us that since the first Republican debate, more than 58 million people have joined the political conversation online.
0006	BARTIROMO	More than 9 million are talking specifically about the economy.
0007	BAKER	The candidates on stage tonight were selected based on their standing in an average of four national polls.
0008	BAKER	Those standings determining their position on the stage.
0009	BAKER	And here they are.
0010	BAKER	At center stage, businessman Donald Trump.
0011	SYSTEM	[ applause ]
0012	BAKER	Neurosurgeon Dr. Ben Carson.
0013	SYSTEM	[ applause ]
0014	CAVUTO	Florida Senator Marco Rubio.
0015	SYSTEM	[ applause ]
0016	CAVUTO	Texas Senator Ted Cruz.
0017	SYSTEM	[ applause ]
0018	CAVUTO	Former Florida Governor Jeb Bush.
0019	SYSTEM	[ applause ]
0020	BARTIROMO	Businesswoman Carly Fiorina.
0021	SYSTEM	[ applause ]
0022	BARTIROMO	Ohio Governor John Kasich.
0023	SYSTEM	[ applause ]
0024	BARTIROMO	And Kentucky Senator Rand Paul.
0025	SYSTEM	[ applause ]
0026	BAKER	Tonight's rules are simple.
0027	BAKER	Up to 90 second for each answer.
0028	BAKER	One minute for each followup response.
0029	BAKER	And if a candidate goes over their allotted time, you'll here this.
0030	CAVUTO	It sounds like a game show but it's not.
0031	CAVUTO	Now I would be remiss if I did not acknowledge the elephant in the room, and I'm not talking about your party's fine symbol.
0032	CAVUTO	I'm talking about the purpose of tonight's debate.
0033	CAVUTO	The economy and what each of you would do to improve it.
0034	CAVUTO	No more, no less.
0035	CAVUTO	We are focused on those issues, and what you have said on those issues in your words and what your opponents have said in their words about your words.
0036	CAVUTO	That is the agenda tonight.
0037	CAVUTO	How each of you plans to make America better tomorrow.
0038	CAVUTO	And so we begin.
0039	CAVUTO	Candidates, as we gather tonight in this very august theater, just outside and across the country, picketers are gathering as well.
0040	CAVUTO	They're demanding an immediate hike in the minimum wage to $15 an hour.
0041	CAVUTO	Just a few hours ago, near Governor Andrew Cuomo proposed doing the same for all state workers, the first governor to do so.
0042	CAVUTO	Mr. Trump, as the leading presidential candidate on this stage and one whose tax plan exempts couples making up to $50,000 a year from paying any federal income taxes at all, are you sympathetic to the protesters cause since a $15 wage works out to about $31,000 a year?
0043	TRUMP	I can't be Neil.
0044	TRUMP	And the and the reason I can't be is that we are a country that is being beaten on every front economically, militarily.
0045	TRUMP	There is nothing that we do now to win.
0046	TRUMP	We don't win anymore.
0047	TRUMP	Our taxes are too high.
0048	TRUMP	I've come up with a tax plan that many, many people like very much.
0049	TRUMP	It's going to be a tremendous plan.
0050	TRUMP	I think it'll make our country and our economy very dynamic.
0051	TRUMP	But, taxes too high, wages too high, we're not going to be able to compete against the world.
0052	TRUMP	I hate to say it, but we have to leave it the way it is.
0053	TRUMP	People have to go out, they have to work really hard and have to get into that upper stratum.
0054	TRUMP	But we can not do this if we are going to compete with the rest of the world.
0055	TRUMP	We just can't do it.
0056	CAVUTO	So do not raise the minimum wage?
0057	TRUMP	I would not do it.
0058	SYSTEM	[ applause ]
0059	CAVUTO	Dr. Carson, you have long bemoaned this lackluster recovery.
0060	CAVUTO	And this Facebook map show Americans share your concern.
0061	CAVUTO	The green represents how the jobs issue is resonating all across the nation, especially here in the state of Wisconsin.
0062	CAVUTO	You suggested one minimum wage does not fit all, and that perhaps we should offer a lower or starter wage for young people.
0063	CAVUTO	Those protesters outside are looking for $15 and nothing less.
0064	CAVUTO	Where are you?
0065	CARSON	Well, first of all, delighted to be here.
0066	CARSON	My family's here, and my little granddaughter, who's three years old, said she wanted to come to the debate.
0067	CARSON	So this is very cool.
0068	CARSON	As far as the minimum wage is concerned, people need to be educated on the minimum wage.
0069	CARSON	Every time we raise the minimum wage, the number of jobless people increases.
0070	CARSON	It's particularly a problem in the black community.
0071	CARSON	Only 19.8 percent of black teenagers have a job, who are looking for one.
0072	CARSON	You know, that  and that's because of those high wages.
0073	CARSON	If you lower those wages, that comes down.
0074	CARSON	You know, I can remember, as a youngster  you know, my first job working in a laboratory as a lab assistant, and multiple other jobs.
0075	CARSON	But I would not have gotten those jobs if someone had to pay me a large amount of money.
0076	CARSON	But what I did gain from those jobs is a tremendous amount of experience, and how to operate in the world and how to relate to different people, and how to become a responsible individual.
0077	CARSON	And that's what gave me what I needed to ascend the ladder of opportunity in this country.
0078	CARSON	That's what we need to be thinking about.
0079	CARSON	How do we allow people to ascend the ladder of opportunity, rather than how do we give them everything and keep them dependent?
0080	SYSTEM	[ applause ]
0081	CAVUTO	So, sir, just to be clear, you would not raise it?
0082	CARSON	I would not raise it.
0083	CARSON	I would not raise it, specifically because I'm interested in making sure that people are able to enter the job market and take advantage of opportunities.
0084	SYSTEM	[ applause ]
0085	CAVUTO	Senator Rubio, you called the recent Democratic debate in Las Vegas a night of giveaways, including free health care, free college and a host of other governmentpaid benefits.
0086	CAVUTO	Since you aren't a fan of all they're giving away, tell us tonight what you would take back.
0087	RUBIO	Well, let me begin by answering both the first question and this one, because they're related.
0088	RUBIO	As I've said many times before, my parents were never rich people.
0089	RUBIO	My father was a bartender.
0090	RUBIO	My mother was a maid.
0091	RUBIO	They worked for a living.
0092	RUBIO	But they were successful people, because, despite the fact that they weren't well educated and had those jobs, they made enough money to buy a home in a safe and stable neighborhood, retire with dignity, leave all four of their children better off than themselves.
0093	RUBIO	We call that the American dream, but in fact, it's a universal dream of a better life that people have all over the world.
0094	RUBIO	It is a reminder that every country in the world has rich people.
0095	RUBIO	What makes America special is that we have millions and millions of people that are not rich, that through hard work and perseverance are able to be successful.
0096	RUBIO	The problem is that today people are not successful working as hard as ever because the economy is not providing jobs that pay enough.
0097	RUBIO	If I thought that raising the minimum wage was the best way to help people increase their pay, I would be all for it, but it isn't.
0098	RUBIO	In the 20th century, it's a disaster.
0099	RUBIO	If you raise the minimum wage, you're going to make people more expensive than a machine.
0100	RUBIO	And that means all this automation that's replacing jobs and people right now is only going to be accelerated.
0101	RUBIO	Here's the best way to raise wages.
0102	RUBIO	Make America the best place in the world to start a business or expand an existing business, tax reform and regulatory reform, bring our debt under control, fully utilize our energy resources so we can reinvigorate manufacturing, repeal and replace Obamacare, and make higher education faster and easier to access, especially vocational training.
0103	RUBIO	For the life of me, I don't know why we have stigmatized vocational education.
0104	RUBIO	Welders make more money than philosophers.
0105	RUBIO	We need more welders and less philosophers.
0106	SYSTEM	[ applause ]
0107	RUBIO	If we do that  and if we do this  if we do this, we will be able to increase wages for millions of Americans and we will be able to leave everyone better off without making anyone worse off.
0108	CAVUTO	Thank you, Senator Rubio.
0109	SYSTEM	[ applause ]
0110	BARTIROMO	We've asked people on Facebook to submit their questions for the candidates.
0111	BARTIROMO	Seth Bell wrote, "We are approaching $20 trillion in national debt.
0112	BARTIROMO	Specifically, what plans do you have to cut federal spending?"
0113	BARTIROMO	Governor Kasich, you have spoken much about your success in balancing the budget under President Clinton.
0114	BARTIROMO	Today the national debt is at record highs and growing unsustainably.
0115	BARTIROMO	Interest will be the fastestgrowing part of the federal budget, tripling over the next 10 years.
0116	BARTIROMO	Social Security, the lifeline of millions of American seniors, is rushing toward insolvency.
0117	BARTIROMO	With all of the tax plans presented tonight, estimated to cost anywhere between $2 trillion and $12 trillion over a decade, what specific steps will you take to balance the budget?
0118	KASICH	First of all, let me just say that, in the state of Ohio  and I'm the only acting executive on  on this stage today  we do have a moderate increase in the minimum wage.
0119	KASICH	And I got to tell you, my father carried mail on his back.
0120	KASICH	His father was a coal miner.
0121	KASICH	He died of black lung.
0122	KASICH	He was losing his eyesight.
0123	KASICH	My mother's mother lived with us.
0124	KASICH	She could barely speak English.
0125	KASICH	I come from a town where if the wind blew the wrong way, people found themselves out of work.
0126	KASICH	An economic theory is fine, but you know what?
0127	KASICH	People need help.
0128	KASICH	Now, I have a plan that, in fact, would cut taxes, but not $11 trillion or $12 trillion that would put my children further in debt.
0129	KASICH	I have a plan that would not only cut taxes, lower the income tax rate for individuals, lower the tax for businesses so businesses will compete here and not move operations overseas, and also a plan  the only plan of anybody standing on this stage to get us to a balanced budget by the end of a second term.
0130	KASICH	And, you know, the simple fact of the matter is, we hear a lot of promises in this debate, a lot of promises about these tax cuts or tax schemes sometimes that I call them.
0131	KASICH	Hillary and the Democrats promise everything on the spending side.
0132	KASICH	We've got to be responsible about what we propose on the tax side.
0133	KASICH	Yes, lower taxes, lower spending.
0134	KASICH	My website, JohnKasich.com, will show you exactly how we balance the budget.
0135	KASICH	I balanced the budget in Washington as a chief architect, and I have balanced it in Ohio for one reason.
0136	KASICH	When you balance the budget and you cut taxes, people get work.
0137	KASICH	And our most important moral purpose as leaders in the political system is to make sure we create an environment for job creation so people can live their dreams and realize their Godgiven potential.
0138	KASICH	That's why it's so important.
0139	KASICH	And for those at the bottom, we've got to do what we can to train them so they can move up.
0140	KASICH	But to just look the other way is not acceptable, because, you know what, as the governor of Ohio I have to deal with real challenges, and we've gotten it done in our state, and I will do it for America.
0141	SYSTEM	[ applause ]
0142	BARTIROMO	Did you want to name any specific steps, sir?
0143	KASICH	Sure.
0144	KASICH	We would move the Medicare system from a 7 percent growth down to about a 5 percent growth.
0145	KASICH	And I have a whole series of ways to do that.
0146	KASICH	In Ohio, we reduced Medicaid funding for the poor from 10 percent to 2.5 percent, didn't cut one benefit or didn't take anybody off the rolls.
0147	KASICH	Why?
0148	KASICH	Because we're innovators.
0149	KASICH	I've been an innovator my entire career.
