0001	CAVUTO	It is 900 p.m. here at the North Charleston Coliseum and Performing Arts Center in South Carolina.
0002	CAVUTO	Welcome to the sixth Republican presidential of the 2016 campaign, here on the Fox Business Network.
0003	CAVUTO	I'm Neil Cavuto, alongside my friend and comoderator Maria Bartiromo.
0004	BARTIROMO	Tonight we are working with Facebook to ask the candidates the questions voters want answered.
0005	BARTIROMO	And according to Facebook, the U.S. election has dominated the global conversation, with 131 million people talking about the 2016 race.
0006	BARTIROMO	That makes it the number one issue talked about on Facebook last year worldwide.
0007	CAVUTO	Now, the seven candidates on the stage tonight were selected based on their standing in six national polls, as well as polls in the earlyvoting states of Iowa and New Hampshire, those standings determining the position on the stage of the candidates tonight.
0008	CAVUTO	And here they are.
0009	CAVUTO	Businessman Donald Trump.
0010	SYSTEM	[ applause ]
0011	CAVUTO	Texas senator Ted Cruz.
0012	SYSTEM	[ applause ]
0013	CAVUTO	Florida senator Marco Rubio.
0014	SYSTEM	[ applause ]
0015	CAVUTO	Neurosurgeon Ben Carson.
0016	SYSTEM	[ applause ]
0017	CAVUTO	New Jersey governor Chris Christie.
0018	SYSTEM	[ applause ]
0019	CAVUTO	Former Florida governor Jeb Bush.
0020	CAVUTO	And Ohio governor John Kasich.
0021	SYSTEM	[ applause ]
0022	BARTIROMO	Tonight's rules are simple up to 90 seconds for each answer, one minute for each followup response.
0023	BARTIROMO	And if a candidate goes over the allotted time, you'll hear this.
0024	SYSTEM	[ bell rings ]
0025	BARTIROMO	So let's get started.
0026	BARTIROMO	Candidates, jobs and growth  two of the biggest issues facing the country right now.
0027	BARTIROMO	In his State of the Union address earlier this week, the president said, quote, "we have the strongest, most durable economy in the world."
0028	BARTIROMO	And according to our Facebook research, jobs is one of the biggest issues resonating across the country, including here in South Carolina.
0029	BARTIROMO	The president is touting 14 million new jobs and an unemployment rate cut in half.
0030	BARTIROMO	The president said that anyone who claims America's economy is in decline is peddling fiction.
0031	BARTIROMO	Senator Cruz, what do you see that he doesn't?
0032	CRUZ	Well, Maria, thank you for that question, and let me say thank you to the state of South Carolina for welcoming us.
0033	CRUZ	Let me start  I want to get to the substance of the question on jobs, but I want to start with something.
0034	CRUZ	Today, many of us picked up our newspapers, and we were horrified to see the sight of 10 American sailors on their knees, with their hands on their heads.
0035	CRUZ	In that State of the Union, President Obama didn't so much as mention the 10 sailors that had been captured by Iran.
0036	CRUZ	President Obama's preparing to send $100 billion or more to the Ayatollah Khamenei.
0037	CRUZ	And I'll tell you, it was heartbreaking.
0038	CRUZ	But the good news is the next commanderinchief is standing on this stage.
0039	SYSTEM	[ applause ]
0040	CRUZ	And I give you my word, if I am elected president, no service man or service woman will be forced to be on their knees, and any nation that captures our fighting men will feel the full force and fury of the United States of America.
0041	SYSTEM	[ applause ]
0042	CRUZ	Now, on to your substantive question.
0043	CRUZ	The president tried to paint a rosy picture of jobs.
0044	CRUZ	And you know, he's right.
0045	CRUZ	If you're a Washington lobbyist, if you make your money in and around Washington, things are doing great.
0046	CRUZ	The millionaires and billionaires are doing great under Obama.
0047	CRUZ	But we have the lowest percentage of Americans working today of any year since 1977.
0048	CRUZ	Median wages have stagnated.
0049	CRUZ	And the ObamaClinton economy has left behind the working men and women of this country.
0050	CRUZ	The reason all of us are here is we believe we should be fighting for the working men and women of this country, and not Washington, D.C.
0051	BARTIROMO	Thank you, sir.
0052	SYSTEM	[ applause ]
0053	CAVUTO	Governor Kasich, we are not even two weeks into this stock trading year, but
0054	SYSTEM	[ inaudible ]
0055	CAVUTO	investors already lost $1.6 trillion in market value.
0056	CAVUTO	That makes it the worst start to a new year ever.
0057	CAVUTO	Many worry that things will get even worse, and that banks and financial stocks are particularly vulnerable.
