0001	TODD	Good evening, and welcome to the MSNBC Democratic candidates debate.
0002	MADDOW	We are super excited to be here at the University of New Hampshire.
0003	MADDOW	Tonight, this is the first time that Hillary Clinton and Bernie Sanders have squared off exactly like this.
0004	MADDOW	Facetoface, just oneonone, just the two of them.
0005	TODD	And neither party has seen this yet.
0006	TODD	These candidates are both running for the Democratic nomination, but they are very different from each other when it comes to what matters most and how they would go about the job of being president.
0007	TODD	Our job tonight is to draw out those differences so you, the voters, can understand them and be fully informed.
0008	MADDOW	And we do hope that the candidates will take this opportunity to show us the distinctionsshow us the differences between them.
0009	MADDOW	That's the whole reason that we're here tonight.
0010	MADDOW	We're not here for talking points.
0011	MADDOW	We're to learn about the difference between the candidates.
0012	MADDOW	And with that, let's get going.
0013	MADDOW	Please join us in welcoming Secretary Hillary Clinton and Senator Bernie Sanders.
0014	SYSTEM	[ applause ]
0015	TODD	First, I want to say a special thanks to the New Hampshire Union Leader for helping make this debate possible, and the readers, who helped provide some of the questions and topics that we'll be addressing tonight.
0016	TODD	The rules tonight, by the way, are simple 90 seconds for answers, 30 seconds for followups and rebuttals.
0017	MADDOW	And with that, that's it.
0018	MADDOW	We're going to begin with 60 second opening statements from each of the candidates.
0019	MADDOW	And as agreed to in advance by the two campaigns, we're going to begin tonight with Senator Sanders.
0020	SANDERS	Rachel, thank you very much.
0021	SANDERS	Millions of Americans are giving up on the political process.
0022	SANDERS	And they're giving up on the political process because they understand the economy is rigged.
0023	SANDERS	They are working longer hours for low wages.
0024	SANDERS	They're worried about the future of their kids, and yet almost all new income and wealth is going to the top 1 percent.
0025	SANDERS	Not what America is supposed to be about.
0026	SANDERS	Not the fairness that we grew up believing that America was about.
0027	SANDERS	And then sustaining that rigged economy is a corrupt campaign finance system undermining American democracy, where billionaire, Wall Street, corporate America can contribute unlimited sums of money into super PACs and into candidates.
0028	SANDERS	Our job, together, is to end a rigged economy, create an economy that works for all, and absolutely overturn Citizens United.
0029	SANDERS	One person, one vote.
0030	SANDERS	That's what American democracy is about.
0031	TODD	Thank you, Senator.
0032	TODD	Secretary Clinton.
0033	CLINTON	Well, I'm happy to be here in New Hampshire for this debate, as we move toward the primary on Tuesday.
0034	CLINTON	I believe that America has the opportunity to once again live by our values, live up to our values in the 21st century, but I think that America can only do that if Americans can succeed.
0035	CLINTON	And there are lots of reasons why Americans today are feeling left out and left behind.
0036	CLINTON	Yes, of course, the economy has not been working for most Americans.
0037	CLINTON	Yes, of course, we have special interests that are unfortunately doing too much to rig the game.
0038	CLINTON	But there's also the continuing challenges of racism, of sexism, of discrimination against the LGBT community, of the way that we treat people as opposed to how we want to be treated.
0039	CLINTON	I believe that we can get back on the right track.
0040	CLINTON	I want to imagine a country where people's wages reflect their hard work, where we have healthcare for everyone, and where every child gets to live up to his or her potential.
0041	CLINTON	I'm fighting for people who cannot wait for those changes, and I'm not making promises that I cannot keep.
0042	TODD	All right.
0043	TODD	Let's get started.
0044	TODD	Secretary Clinton, last night you cited the Concord Monitor when you said of Senator Sanders that, quote, "It's very hard to see how any of his proposals could ever be achievable."
0045	TODD	So please tell us why you think if he's elected president on a platform of promising things like free public college and universal healthcare, that he cannot achieve those things.
0046	CLINTON	Well, let me start by saying that Senator Sanders and I share some very big progressive goals.
0047	CLINTON	I've been fighting for universal healthcare for many years, and we're now on the path to achieving it.
0048	CLINTON	I don't want us to start over again.
0049	CLINTON	I think that would be a great mistake, to once again plunge our country into a contentious debate about whether we should have and what kind of system we should have for healthcare.
0050	CLINTON	I want to build on the progress we've made got from 90 percent coverage to 100 percent coverage.
0051	CLINTON	And I don't want to rip away the security that people finally have 18 million people now have healthcare preexisting conditions are no longer a bar.
0052	CLINTON	So we have a difference.
0053	CLINTON	I also believe in affordable college, but I don't believe in free college, because every expert that I have talked to says, look, how will you ever control the costs.
0054	CLINTON	What I want to do is make sure middle class kids, not Donald Trump's kids, get to be able to afford college.
0055	CLINTON	I want to get the economy going again.
