0001	DICKERSON	Good evening.
0002	DICKERSON	I'm John Dickerson.
0003	DICKERSON	This holiday weekend, as America honors our first president, we're about to hear from six men who hope to be the 45th.
0004	DICKERSON	The candidates for the Republican nomination are here in South Carolina for their ninth debate, one week before this state holds the firstintheSouth primary.
0005	DICKERSON	George Washington wrote that the truth will ultimately prevail where there is pains taken to bring it to light.
0006	DICKERSON	We hope to shed some light on the candidates' positions tonight to help voters make up their minds.
0007	DICKERSON	So gentlemen, please join us on stage.
0008	SYSTEM	[ applause ]
0009	DICKERSON	With us tonight  with us tonight are retired neurosurgeon Ben Carson of Florida, Senator Marco Rubio of Florida.
0010	SYSTEM	[ applause ]
0011	DICKERSON	Businessman Donald Trump of New York.
0012	SYSTEM	[ applause ]
0013	DICKERSON	Senator Ted Cruz of Texas.
0014	SYSTEM	[ applause ]
0015	DICKERSON	Former Governor Jeb Bush of Florida.
0016	SYSTEM	[ applause ]
0017	DICKERSON	And Governor John Kasich of Ohio.
0018	SYSTEM	[ applause ]
0019	DICKERSON	Now, as most of you have heard by now, Supreme Court Justice Antonin Scalia died today at the age of 79.
0020	DICKERSON	He was the longestserving member of the court, appointed by President Reagan in 1986.
0021	DICKERSON	Justice Scalia was the court's leading conservative, and even those who disagreed with his opinions regarded him as a brilliant legal scholar.
0022	DICKERSON	Please join us and the candidates on our stage in a moment of silence for Justice Antonin Scalia.
0023	DICKERSON	Thank you.
0024	DICKERSON	We will talk to the candidates about Justice Scalia and the road ahead when the debate begins in a moment.
0025	SYSTEM	[ commercial break ]
0026	DICKERSON	Before we get started, candidates, here are the rules.
0027	DICKERSON	When we ask you a question, you will have one minute to answer, and 30 seconds more if we ask a followup.
0028	DICKERSON	If you're attacked by another candidate, you get 30 seconds to respond.
0029	DICKERSON	And here's how we keep time.
0030	DICKERSON	After we ask a question, you'll get a green light.
0031	DICKERSON	The yellow light means you have 30 seconds left to finish your answer, and when time is up, the light turns red.
0032	DICKERSON	That means please stop talking.
0033	DICKERSON	If you keep talking, you'll hear this.
0034	SYSTEM	[ bell rings ]
0035	DICKERSON	You don't want to hear that.
0036	DICKERSON	Joining me in the questioning tonight, my CBS News colleague, chief White House correspondent Major Garrett, and Kimberley Strassel, who is on the editorial board of The Wall Street Journal.
0037	DICKERSON	And you can participate in the debate through our partnership with Twitter.
