0001	BLITZER	We're live here at the University of Houston for the 10th Republican presidential debate.
0002	SYSTEM	[ applause ]
0003	BLITZER	An enthusiastic crowd is on hand here in the beautiful opera house at the Moore School of Music.
0004	BLITZER	Texas is the biggest prize next Tuesday, Super Tuesday, when 11 states vote, a day that will go a long way towards deciding who wins the Republican nomination.
0005	BLITZER	We want to welcome our viewers in the United States and around the world.
0006	BLITZER	I'm Wolf Blitzer.
0007	BLITZER	This debate is airing on CNN, CNN International, and CNN in Espanol.
0008	BLITZER	It's also being seen on Telemundo and heard on the Salem Radio Network.
0009	BLITZER	Telemundo and Salem are our partners in this debate, along with the Republican National Committee.
0010	BLITZER	We'd also like to welcome a very special guest with us here tonight.
0011	BLITZER	Ladies and gentlemen, the 41st president of the United States, George Herbert Walker Bush and former first lady Barbara Bush.
0012	SYSTEM	[ applause ]
0013	BLITZER	Everyone here is looking forward to a lively debate.
0014	BLITZER	I'll be your moderator tonight.
0015	BLITZER	Joining me in the questioning, Telemundo host Maria Celesta Arrasas, CNN Chief Political Correspondent Dana Bash and Salem Radio Network's Hugh Hewitt, who worked in the Reagan administration for six years.
0016	BLITZER	Tonight, there are five Republican candidates and they're ready to join us right now.
0017	BLITZER	Please welcome Ohio Governor John Kasich.
0018	SYSTEM	[ applause ]
0019	BLITZER	Senator Ted Cruz of Texas.
0020	SYSTEM	[ applause ]
0021	BLITZER	Businessman and real estate developer Donald Trump.
0022	SYSTEM	[ applause ]
0023	BLITZER	Senator Marco Rubio of Florida.
0024	SYSTEM	[ applause ]
0025	BLITZER	And retired neurosurgeon, Dr. Ben Carson.
0026	SYSTEM	[ applause ]
0027	BLITZER	Ladies and gentlemen, welcome the Republican candidates for president of the United States.
0028	SYSTEM	[ applause ]
0029	BLITZER	Now please rise for our national anthem, performed by country music artist, Deana Carter.
0030	BLITZER	[
0031	BLITZER	the national anthem is sung ]
0032	SYSTEM	[ applause ]
0033	BLITZER	Thank you very much, Deana Carter.
0034	BLITZER	A beautiful, beautiful national anthem.
0035	BLITZER	The final debate before Super Tuesday begins right after this quick break.
0036	SYSTEM	[ commercial break ]
0037	BLITZER	Welcome back to the University of Houston and the Republican presidential debate.
0038	BLITZER	The candidates, they are now in place.
0039	BLITZER	Their positions were selected based on their standing in the delegate race through Nevada, with the top candidate in the center and the others extending outward.
0040	BLITZER	I want to tell you how tonight's debate will work.
0041	BLITZER	As moderator, I will guide the discussion, asking questions and followups, as will Maria Celeste, Dana Bash and Hugh Hewitt.
0042	BLITZER	Candidates, you'll have a minute and 15 seconds to answer and 30 seconds for followups and rebuttals.
0043	BLITZER	We have timing lights that are visible to the candidates.
0044	BLITZER	Those lights will warn you when your time is up, and as the candidates requested, a bell will sound like this.
0045	SYSTEM	[ bell ringing ]
0046	BLITZER	We know you all want to jump and debate these critically important issues, but please wait until you're called on.
0047	BLITZER	These are the rules all of the candidates have agreed to.
0048	BLITZER	It's time for the candidates to introduce themselves right now.
0049	BLITZER	You'll each have 30 seconds.
0050	BLITZER	Dr. Carson, you're first.
0051	CARSON	If someone had tried to describe today's America to you 30 years ago, you would have listened in disbelief.
0052	CARSON	Americans know that our nation is heading off the abyss of destruction, secondary to divisiveness, fiscal irresponsibility, and failure to lead.
0053	CARSON	Marco, Donald, Ted, John, we will not solve any of these problems by trying to destroy each other.
0054	CARSON	What we need to do is be looking for solutions tonight.
0055	CARSON	It's not about us, it's about the American people.
0056	SYSTEM	[ applause ]
0057	BLITZER	Governor Kasich?
0058	KASICH	Well, you know, on the way over here, even getting ready earlier and sitting in the green room and watching the early coverage, you know, my father carried mail on his back and his father was a coal miner and my mother's mother was an immigrant, could barely speak English.
0059	KASICH	And I'm standing on this stage.
0060	KASICH	It's pretty remarkable.
0061	KASICH	But I want to tell you, there's a lot of young people watching tonight.
0062	KASICH	You can do whatever you want to do in your life.
