0001	SYSTEM	[ Speaking in Spanish ]
0002	SYSTEM	[ through translator ]
0003	SALINAS	This will be the first and only debate the candidates will do, taking into account the millions of [
0004	SALINAS	inaudible ] voters
0005	SYSTEM	[ inaudible ]
0006	SALINAS	Univision News, together with the Washington Post.
0007	SYSTEM	[ through translator ]
0008	RAMOS	Here with us tonight is Karen Tumulty, Washington Post correspondent
0009	SYSTEM	[ inaudible ]
0010	RAMOS	specialized in national policy.
0011	SALINAS	Welcome, Karen.
0012	SYSTEM	[ through translator ]
0013	SALINAS	Now, we're going to welcome the protagonists of this debate.
0014	SALINAS	First, former Secretary of State Hillary Rodham Clinton.
0015	SYSTEM	[ applause ]
0016	SALINAS	And Senator from Vermont Bernie Sanders.
0017	SYSTEM	[ applause ]
0018	SALINAS	Welcome to both of you.
0019	SALINAS	Thank you for being here.
0020	SYSTEM	[ Speaking in Spanish ]
0021	SYSTEM	[ through translator ]
0022	SALINAS	Welcome to both of you.
0023	SYSTEM	[ through translator ]
0024	RAMOS	But before we continue, we want to welcome Sebastian de la Cruz who is going to sing the national anthem.
0025	RAMOS	Sebastian, welcome.
0026	RAMOS	Good evening.
0027	SYSTEM	[ The National Anthem is performed. ]
0028	SYSTEM	[ applause ]
0029	SYSTEM	[ commercial break ]
0030	SYSTEM	[ through translator ]
0031	SALINAS	Thank you for being with us.
0032	SALINAS	The Washington Post and Facebook, these are the results of this debate that the candidates have accepted.
0033	SALINAS	They will have 90 seconds to answer each question.
0034	SALINAS	When their rival mentions them in an answer, they will have 30 seconds to answer and another 30 seconds to answer questions, followup questions that we ask.
0035	SYSTEM	[ through translator ]
0036	RAMOS	We will make our questions in English and they will be translated simultaneously into Spanish for our viewers.
0037	RAMOS	And right now, each one of them has one minute for your initial words.
0038	RAMOS	We begin with Secretary Clinton.
0039	CLINTON	Thank you very much.
0040	CLINTON	I've been looking forward to this debate, and I want to thank Univision, the Washington Post, Facebook and MiamiDade College, the largest college in North America for hosting us here this evening.
0041	SYSTEM	[ applause ]
0042	CLINTON	And tonight I am looking forward to the opportunity to discuss how we knock down the barriers that stand in the way of people getting ahead and staying ahead, starting with the economic ones.
0043	CLINTON	My focus is on more good paying jobs with rising incomes for families and how we prevent corporations from taking jobs out of our country by imposing an exit tax, making them pay back any tax breaks they've gotten.
0044	CLINTON	But we also need to be having a positive agenda for manufacturing.
0045	CLINTON	for small businesses and entrepreneurs, for more clean energy jobs.
0046	CLINTON	And I also look forward to discussing comprehensive immigration reform with a path to citizenship that will be one of my priorities in my first 100 days as president.
0047	CLINTON	And I will also be talking about education, every child deserves a good teacher and a good school.
0048	SALINAS	Thank you, Secretary.
0049	CLINTON	And so thank you for having us, and I look forward to the debate.
0050	SYSTEM	[ applause ]
0051	SALINAS	Thank you.
0052	SALINAS	Senator Sanders, your opening remarks.
0053	SANDERS	Thank you  thank you all very much.
0054	SANDERS	I'm running for president of the United States because given the crises facing our country, it is just too late for establishment politics and establishment economics.
0055	SANDERS	Together we're going to have to overturn this disastrous Citizens United Supreme Court decision.
0056	SYSTEM	[ applause ]
0057	SANDERS	Billionaires and Wall Street should not be buying elections.
0058	SANDERS	We've got to end this rigged economy where people are working longer hours for low wages, almost all new income and wealth going to the top 1 percent, and of course, we need comprehensive immigration reform and a path toward citizenship.
0059	SANDERS	And here in Miami...
0060	SYSTEM	[ applause ]
0061	SANDERS	...here in Miami as much as any city in America, we know that we have got to combat climate change, transform our energy system, and leave this planet in a way that is healthy and habitable for our kids and our grandchildren.
0062	SALINAS	Thank you, Senator.
0063	SALINAS	First question, Secretary, you have been starting to sound like the nominee lately, but many voters are saying, not so fast.
0064	SALINAS	Where did you fail last night in Michigan?
0065	CLINTON	Well, look, I won one of the contests and lost another close one.
0066	CLINTON	I am continuing to work hard for every single vote across our country.
0067	CLINTON	I was pleased that I got 100,000 more votes last night than my opponent and more delegates.
0068	CLINTON	So this is a marathon, and it's a marathon that can only be carried out by the kind of inclusive campaign that I'm running, a campaign that reaches out to everybody, a campaign that offers real positive solutions to the problems that we face, a campaign that is based on how together we can make progress, because I am a progressive who likes to get things done.
0069	CLINTON	So I'm excited about the upcoming contests, including right here in Florida.
0070	CLINTON	And we'll continue to work as hard as I can to earn the vote of every single voter.
0071	SALINAS	What went wrong in Michigan?
0072	SYSTEM	[ applause ]
0073	SALINAS	What went wrong in Michigan?
0074	SALINAS	What went wrong in Michigan?
0075	SALINAS	What failed in Michigan specifically?
0076	CLINTON	It was a very close race.
0077	CLINTON	We've had some of those.
0078	CLINTON	I've won some.
0079	CLINTON	I've lost some.
0080	CLINTON	But, you know, I was very pleased by the overall outcome last night.
0081	CLINTON	And now we're on to the states for next Tuesday and I'm looking forward to campaigning hard in all of them.
0082	SALINAS	Senator, aside from your astounding upset last night in Michigan, you are still far behind Secretary Clinton in delegate count.
0083	SALINAS	She has 1,221 delegates, including superdelegates, and you have 571.
0084	SALINAS	What is your pathway to make up the deficit, and can you realistically catch up?
0085	SANDERS	Well, you know, when we began this campaign, I was 3% in the polls.
0086	SANDERS	I was probably 60 or 70 points behind the Secretary.
0087	SANDERS	We have come a long way in 10 months.
0088	SANDERS	We have won...
0089	SYSTEM	[ applause ]
0090	SANDERS	...including Michigan last night, which some people,considered one of the major political upsets in modern American history.
0091	SANDERS	We have won nine state primaries and caucuses.
0092	SANDERS	And I believe that our message of the need for people to stand up and tell corporate America and Wall Street that they cannot have it all is resonating across this country.
0093	SANDERS	And I think in the coming weeks and months, we are going to continue to do extremely well, win a number of these primaries, and convince superdelegates that Bernie Sanders is the strongest candidate to defeat Donald Trump.
0094	SYSTEM	[ applause ]
0095	RAMOS	Secretary Clinton, I want to disclose once again that my daughter Paula works for your campaign.
0096	RAMOS	And now I have a question about your emails.
0097	RAMOS	Your Republican opponents say that those emails have endangered our national security.
0098	RAMOS	When you were secretary of state, you wrote 104 emails in your private server that the government now says contain classified information according to The Washington Post analysis.
0099	RAMOS	That goes against a memo that you personally sent to your employees in 2011 directing all of them to use official email, precisely because of security concerns.
0100	RAMOS	So it seems that you issued one set of rules for yourself and a different set of rules for the rest of the State Department.
0101	RAMOS	So who specifically gave you permission to operate your email system as you did?
0102	RAMOS	Was it President Barack Obama?
0103	RAMOS	And would you drop out of the race if you get indicted?
0104	CLINTON	Well, Jorge, there's a lot of questions in there.
0105	CLINTON	And I'm going to give the same answer I've been giving for many months.
0106	CLINTON	It wasn't the best choice.
0107	CLINTON	I made a mistake.
0108	CLINTON	It was not prohibited.
0109	CLINTON	It was not in any way disallowed.
0110	CLINTON	And as I have said and as now has come out, my predecessors did the same thing and many other people in the government.
0111	CLINTON	But here's the cut to the chase facts.
0112	CLINTON	I did not send or receive any emails marked classified at the time.
0113	CLINTON	What you are talking about is retroactive classification.
0114	CLINTON	And the reason that happens is when somebody asks or when you are asked to make information public, I asked all my emails to be made public.
0115	CLINTON	Then all the rest of the government gets to weigh in.
0116	CLINTON	And some other parts of the government, we're not exactly sure who, has concluded that some of the emails should be now retroactively classified.
0117	CLINTON	They've just said the same thing to former Secretary Colin Powell.
0118	CLINTON	They have said, we're going to retroactively classify emails you sent personally.
0119	CLINTON	Now I think he was right when he said this is an absurdity.
0120	CLINTON	And I think that what we have got here is a case of overclassification.
0121	RAMOS	If we get your permission...
0122	CLINTON	I am not concerned about it.
0123	CLINTON	I am not worried about it and no Democrat or American should be either.
0124	SYSTEM	[ applause ]
0125	RAMOS	Secretary Clinton, the questions were, who gave you permission to cooperate?
0126	RAMOS	Was it President Obama?
0127	CLINTON	There was no permission to be asked.
0128	CLINTON	It had been done by my predecessors.
0129	CLINTON	It was permitted.
0130	RAMOS	If you get indicted would you going to drop out?
0131	CLINTON	Oh, for goodness  that's not going to happen.
0132	CLINTON	I'm not even answering that question.
0133	SYSTEM	[ applause ]
0134	RAMOS	Senator Sanders, you have gone from saying the following, the American people are sick and tired of hearing about your damn e mails, to claiming that it is a very serious issue.
0135	RAMOS	Which is it?
0136	SANDERS	There is a process under way, and that process will take its course.
0137	SANDERS	Today in America, the middle class is disappearing.
0138	SANDERS	We have massive levels of income and wealth inequality, climate change threatens the whole planet, 47 million people live in poverty.
0139	SANDERS	I'm going to focus on the issues facing the working families of this country.
0140	SANDERS	That process specifically.
0141	TUMULTY	Secretary Clinton, you have known Donald Trump a long time.
0142	TUMULTY	You have seen what kind of campaign he's running.
0143	TUMULTY	Secretary Clinton, is Donald Trump a racist?
0144	CLINTON	Karen, I'm going to follow my friend Senator Sanders model here.
0145	CLINTON	If I'm so fortunate enough to be the Democratic nominee, there will be a lot of time to talk about him.
0146	CLINTON	I was the first one to call him out.
0147	CLINTON	I called him out when he was calling Mexicans rapists.
0148	CLINTON	When he was engaging in rhetoric that I found deeply offensive.
0149	CLINTON	I said basta, and I am pleased that others...
0150	SYSTEM	[ applause ]
0151	CLINTON	...others are also joining in making clear that his rhetoric, his demagoguery, his trafficking in prejudice and paranoia has no place in our political system.
0152	CLINTON	Especially from somebody running for president who couldn't decide whether or not to disavow the Ku Klux Klan and David Duke.
0153	CLINTON	So people can draw their own conclusions about him.
0154	CLINTON	I will just end by saying this.
0155	CLINTON	You don't make America great by getting rid of everything that made America great.
0156	SYSTEM	[ applause ]
0157	TUMULTY	Secretary Clinton, my question was about his character.
0158	TUMULTY	And that is one of the primary things that Americans think about when they choose their next president.
0159	TUMULTY	How would you describe the character of a person who has said the sorts of things he has about Mexican immigrants, about women, and who would ban people from entering this country based on their religion?
0160	CLINTON	I think it's unAmerican.
0161	CLINTON	I think what he has promoted is not at all in keeping with American values, Karen.
0162	CLINTON	And I am going to take every opportunity to criticize him, to raise those issues.
0163	CLINTON	I'm not going to engage in the kind of language that he uses.
0164	CLINTON	I think we can make the case against him if he is the nominee, by pointing out what he has said.
0165	CLINTON	What he claims to believe in The values he's promoting and I think that's a better way for the American people to draw their conclusions.
0166	TUMULTY	Senator Sanders, do you think it's fair to call Donald Trump a racist?
0167	SANDERS	This is what I think.
0168	SANDERS	I think that the American people are never going to elect a president who insults Mexicans, who insults Muslims, who insults women, who insults AfricanAmericans.
0169	SANDERS	And let us not forget that several years ago, Trump was in the middle of the so called birther movement, trying to delegitimize the president of the United States of America.
0170	SYSTEM	[ applause ]
0171	SANDERS	You know, I find it very interesting, Karen, my dad was born in Poland.
0172	SANDERS	I know a little bit about the immigrant experience.
0173	SANDERS	Nobody has ever asked me for my birth certificate.
0174	SANDERS	Maybe it has something to do with the color of my skin.
0175	SYSTEM	[ applause ]
0176	TUMULTY	So what does that tell you about his character?
0177	SANDERS	And I am very pleased  I am very pleased that I think in the last national poll that I saw, we were running 18 points ahead of Donald Trump.
0178	SYSTEM	[ applause ]
0179	RAMOS	On
0180	SYSTEM	[ inaudible ]
0181	RAMOS	, people are talking about immigration, and this map shows where in the country they are talking about it the most.
0182	RAMOS	Maria Elena?
0183	SALINAS	So Secretary, I have a question for you.
0184	SALINAS	In 2003, you said on a radio show, specifically it was John Gambling's radio show in New York, that you were adamantly against illegal immigrants and that people have to stop employing illegal immigrants.
0185	SALINAS	Your new immigration plan is that you would expand President Obama's executive actions and that you would push for legislation that would include a path to citizenship for undocumented immigrants.
0186	SALINAS	So, are you flipflopping on this issue?
0187	SALINAS	Or are you pandering to Latinos, what some would call Hispandering?
0188	SYSTEM	[ laughter ]
0189	CLINTON	In 2003, I sponsored the DREAMER Act.
0190	CLINTON	I sponsored I think in every Congress after that.
0191	CLINTON	I have been consistent and committed to comprehensive immigration reform with a path to citizenship.
0192	CLINTON	I think our best chance was in 2007, when Ted Kennedy led the charge on comprehensive immigration reform.
0193	CLINTON	We have Republican support.
0194	CLINTON	We had a president willing to sign it.
0195	CLINTON	I voted for that bill.
0196	CLINTON	Senator Sanders voted against it.
0197	CLINTON	Just think, imagine where we would be today is we had achieved comprehensive immigration reform nine years ago.
0198	CLINTON	Imagine how much more secure families would be in our country, no longer fearing the deportation of a loved one no longer fearing that they would be found out.
0199	CLINTON	So I am staunchly in favor of comprehensive immigration reform and have been so over the course of my public career.
0200	SYSTEM	[ applause ]
0201	SALINAS	Now, Senator Sanders, in 2007, you voted against immigration reform.
0202	SALINAS	You now say that it was because the bill had guestworker provisions which seemed semislavery.
0203	SALINAS	But back then, this is what you said to CNN's Lou Dobbs.
0204	SALINAS	Let's listen.
0205	SYSTEM	[ begin video clip ]
0206	SANDERS	Poverty is increasing.
0207	SANDERS	And if wages are going down, I don't know why we need millions of people to be coming into this country as guestworkers who will work for lower wages than American workers and drive wages down even lower than they are right now.
0208	SYSTEM	[ end video clip ]
0209	SYSTEM	[ crosstalk ]
0210	SALINAS	So, Senator, were you concerned with working conditions for guestworkers, or really because you think immigrants drive down wages and take jobs from Americans?
0211	SANDERS	Well, you have guestworker programs that have been described by the Southern Poverty Law Center, one of the important institutions in this country who studies these issues, as guestworkers programs akin to slavery, where people came in.
0212	SANDERS	They were cheated.
0213	SANDERS	They were abused.
0214	SANDERS	They were humiliated.
0215	SANDERS	And if they stood up for their rights, they would be thrown out of the country.
0216	SANDERS	Of course, that type of
0217	SYSTEM	[ inaudible ]
0218	SANDERS	leads to a race to the bottom for all of our people.
0219	SANDERS	And I worked very hard on that issue.
0220	SANDERS	And of course, I supported the 2013 immigration reform bill.
0221	SANDERS	And what I believe right now is not only that we need comprehensive immigration reform, if the Congress does not do its job, as president of the United States I will use the executive powers of that office to do what has to be done, to do what President Obama did, and expand on that.
0222	SALINAS	But if you're saying that you would...
0223	SYSTEM	[ applause ]
0224	SALINAS	...if you're saying that you would expand on the executive actions, how do you that they're not going to end up in a legal battle just like Obama's executive actions?
0225	SANDERS	Well, we do the best  we don't know.
0226	SANDERS	And I should also say with regard to that 2007 immigration bill, as you may know, LULAC, the major Hispanic organization in his country, also opposed that bill as did many other Latino organizations.
0227	SANDERS	But to your point, we have to do the best we can.
0228	SANDERS	I applaud President Obama for his efforts on DAPA and DACA.
0229	SANDERS	And I think we have got to expand those efforts.
0230	CLINTON	If I could...
0231	SYSTEM	[ applause ]
0232	CLINTON	You know, I think it's very hard to make the case that Ted Kennedy, Barack Obama, me, La Raza, United Farmworkers, Dolores Huerta, leaders of the Latino community, would have supported a bill that actually promoted modern slavery.
0233	CLINTON	That was one of the many excuses used not to vote for the 2007 bill.
0234	CLINTON	And I will go back to what I said.
0235	CLINTON	If we had been able to get that passed, we would be so much further along now.
0236	CLINTON	I'm committed to defending DAPA and DACA.
0237	CLINTON	I'm committed to going even further to get more people deferred action, to go as far as I can under the law.
0238	CLINTON	And I am committed to introducing comprehensive immigration reform with a path to citizenship in the first 100 days of my presidency.
0239	SALINAS	Secretary Sanders (sic).
0240	SALINAS	Senator, would you like to respond?
0241	SANDERS	Well, when we talk about efforts to assist immigrants, Secretary Clinton prevailed upon the governor of New York, Elliot Spitzer, who wanted to do the right thing and provide driver's license to these who were undocumented, she said don't do it, and New York State still does not do it.
0242	SANDERS	In Vermont, by the way, I worked with officials and undocumented people in Vermont do have the ability to get driver's license.
0243	SYSTEM	[ applause ]
0244	SANDERS	When we talk about immigration, the secretary will remember that one of the great tragedies, human tragedies of recent years is children came from Honduras where there's probably more violence than almost any place in this country, and they came into this country.
0245	SANDERS	And I said welcome those children into this country, Secretary Clinton said send them back.
0246	SANDERS	That's a difference.
0247	CLINTON	Let me  let me respond again because the misrepresentation can't go unanswered here.
0248	CLINTON	First of all, that is something that is not fair about what I said.
