0001	CHUCK TODD	This Sunday, what ever happened to the "Stop Trump" movement?
0002	CHUCK TODD	advertisement
0003	DONALD TRUMP	We're winning by a lot.
0004	DONALD TRUMP	We're kicking ass, I'll tell you.
0005	CHUCK TODD	Trump keeps winning.
0006	CHUCK TODD	G.O.P.
0007	CHUCK TODD	leaders are falling in line, and neither Cruz nor Kasich are gaining momentum.
0008	CHUCK TODD	Is it possible this "Stop Trump" movement has been stopped?
0009	CHUCK TODD	Plus, my sitdown with Bernie Sanders.
0010	SEN. BERNIE SANDERS	I will do everything that I can to make certain that Donald Trump is not elected president.
0011	CHUCK TODD	The senator from Vermont on Trump, his chances of winning the nomination, and why he thinks he's losing to Hillary Clinton.
0012	SEN. BERNIE SANDERS	Well because poor people dont vote.
0013	SEN. BERNIE SANDERS	I mean, thats just a fact thats a sad reality of American society.
0014	SEN. BERNIE SANDERS	advertisement
0015	CHUCK TODD	Also, is the U.S. helping to cover up a Saudi Arabian government role in 911?
0016	CHUCK TODD	There are 28 pages that may have the answers.
0017	CHUCK TODD	Should they be declassified?
0018	CHUCK TODD	And joining me for insight and analysis this Sunday morning are Robert Costa of The Washington Post, MSNBC's JoyAnn Reid, Republican strategist Nicolle Wallace, and Jose DiazBalart, of NBC News and Telemundo.
0019	CHUCK TODD	Welcome to Sunday.
0020	CHUCK TODD	It's Meet the Press.
0021	ANNOUNCER	From NBC News in Washington, this is Meet the Press with Chuck Todd.
0022	CHUCK TODD	Good Sunday morning, with Bernie Sanders prospects for taking the Democratic nomination from Hillary Clinton getting slimmer by the day.
0023	CHUCK TODD	Sanders told me yesterday that he's fallen behind because in his words, poor people don't vote.
0024	CHUCK TODD	There's a lot more in that interview, and we're going to get to it later in the show.
0025	CHUCK TODD	And we're going to get to the Democrats as well.
0026	CHUCK TODD	But we begin with the Republican race.
0027	CHUCK TODD	It is no stretch to conclude that when it comes to Donald Trump, the Republican party has slowly been working its way through the classic five stages of grief.
0028	CHUCK TODD	The first one was denial, "Trump can't be taken seriously," the second one, anger, "What makes this guy think he is even a Republican or a conservative anyway?"
0029	CHUCK TODD	The third, bargaining, "Let's take it to the voters, they'll reject him, right?"
0030	CHUCK TODD	The fourth, depression, "Oh my God, he's actually winning this thing."
0031	CHUCK TODD	And now the fifth stage, the hardest one of all, acceptance.
0032	CHUCK TODD	Why?
0033	CHUCK TODD	Trump just won big in New York.
0034	CHUCK TODD	He's expected to win big in the five primaries that are held this Tuesday, which include Pennsylvania, where our new NBC NewsWall Street JournalMarist poll has Trump with a doubledigit lead, sitting at 45 percent, over Ted Cruz at 27, John Kasich at 24.
0035	CHUCK TODD	And yes, if you add up Kasich and Cruz, it's a majority.
0036	CHUCK TODD	Which of course, is going to make the "Stop Trump" people hit their head against the wall.
0037	CHUCK TODD	For the antiTrump loyalists who are counting on Indiana nine days later to be their firewall, consider this the only poll we've seen out of Indiana in the last week came out Friday.
0038	CHUCK TODD	And it shows Trump leading by just six points.
0039	CHUCK TODD	But the fact that he's ahead is a big deal, 3731, Kasich sitting at 22, again, Cruz and Kasich, together, over 50.
