0001	LAUER	Good evening, everyone, from the Carrier Intrepid here in New York City.
0002	LAUER	In just a couple of short months, Americans are going to vote in a critical election.
0003	LAUER	Hillary Clinton and Donald Trump are vying not only to become president of the United States, but one of them will become the leader of the most potent military force the world has ever seen.
0004	LAUER	Im standing in a place where I can actually see the site of the World Trade Center.
0005	LAUER	Fifteen years ago this week, the worst terror attack on American soil changed the world and launched this nation into years of war.
0006	LAUER	Tonights forum is a great opportunity for these nominees to talk about national security and the complex global issues that face our nation.
0007	LAUER	And theyll get to tell you why they are ready for the role of commanderinchief.
0008	SYSTEM	(BEGIN VIDEO CLIP)
0009	KENNEDY	It shall be the policy of this nation to regard any nuclear missile launched from Cuba as an attack by the Soviet Union on the United States.
0010	JOHNSON	I have today ordered to Vietnam the Air Mobile Division.
0011	REAGAN	Air and naval forces of the United States launched a series of strikes against the headquarters and military assets that support Moammar Gadhafi.
0012	GEORGE H.W. BUSH	No president can easily commit our sons and daughters to war.
0013	BILL CLINTON	We can and will succeed because our mission is clear and our troops are strong.
0014	GEORGE W. BUSH	I can hear you.
0015	GEORGE W. BUSH	The rest of the world hears you.
0016	GEORGE W. BUSH	And the people who knocked these buildings down will hear all of us soon.
0017	OBAMA	I can report to the American people the United States has conducted an operation that killed Osama bin Laden, the leader of Al Qaida.
0018	SYSTEM	(END VIDEO CLIP)
0019	ANNOUNCER	The CommanderinChief Forum, live from the Carrier Intrepid in New York.
0020	ANNOUNCER	Here now is Matt Lauer.
0021	LAUER	Good evening, everyone.
0022	LAUER	The decisions a commanderin chief makes can have a profound and lasting impact on all Americans, but none more so than the brave men and women who serve, fight, and die for our country.
0023	LAUER	What makes tonights forum unique, some of the questions will be asked by U.S. military veterans who are in our audience.
0024	LAUER	The presidential nominees will appear backtoback tonight.
0025	LAUER	After a coin toss yesterday won by Mr. Trump, he chose to go second.
0026	LAUER	So that means we begin tonight with the Democratic nominee for president.
0027	LAUER	Ladies and gentlemen, please welcome Hillary Clinton.
0028	SYSTEM	(APPLAUSE)
0029	CLINTON	Matt, how are you?
0030	CLINTON	Good to see you.
0031	CLINTON	Thank you.
0032	CLINTON	Hi.
0033	CLINTON	How are you?
0034	LAUER	Good to have you.
0035	SYSTEM	(APPLAUSE)
0036	LAUER	Nice to see you.
0037	LAUER	Good evening.
0038	CLINTON	Thank you very much.
0039	CLINTON	Im happy youre doing this.
