0001	Bill O'Reilly	Caution, you are about to enter the No Spin Zone, THE FACTOR begins right now.
0002	Bill O'Reilly	Hi, I am Bill O'Reilly.
0003	Bill O'Reilly	Thanks for watching us tonight.
0004	Bill O'Reilly	As you may know, my interview with President Trump making headlines all over the world.
0005	Bill O'Reilly	And tonight, we will show you what you did not see in the Super Bowl pregame show.
0006	Bill O'Reilly	Here is what happened.
0007	Bill O'Reilly	We interviewed the President on Friday afternoon, at the White House.
0008	Bill O'Reilly	The interview ran about 40 minutes.
0009	Bill O'Reilly	Ten of which were used by FOX Sports.
0010	Bill O'Reilly	So, that leaves us with half an hour.
0011	Bill O'Reilly	To show you tonight and tomorrow.
0012	Bill O'Reilly	The headlines out of the Super Bowl interview where Mr. Trump comments on the Russian and Putin and the antiObamaCare rollup.
0013	Bill O'Reilly	It's interesting to watch our two competing cable news stations, which hate, hate Mr. Trump to an unhealthy degree.
0014	Bill O'Reilly	Try to analyze what the President told me.
0015	Bill O'Reilly	I thought Donald Trump was straightforward and honest in that interview, whether you like his answers or not.
0016	Bill O'Reilly	But the Trump haters were trying desperately to find something with which to hammer the President.
0017	Bill O'Reilly	Also apparently the Putin administration in Moscow demanding that I, your humble correspondent, apologized for saying old blood is a killer.
0018	Bill O'Reilly	So, I am working on that apology, but it may take a little time.
0019	Bill O'Reilly	Might want to check in with me around 2023.
0020	Bill O'Reilly	In a conference call with reporters, Putin's press guy said this.
0021	SYSTEM	[Begin Video Clip]
0022	SYSTEM	[Via Translator]
0023	Bill O'Reilly	We think words like that coming from the FOX correspondent are unacceptable, offensive, and to be honest, we would prefer to get an apology to the President coming from such a respected company.
0024	SYSTEM	[End Video Clip]
0025	Bill O'Reilly	Anyway, tonight, we have a number of subjects that we presented to President Trump.
0026	Bill O'Reilly	Here they are.
0027	SYSTEM	[Begin Video Clip]
0028	Bill O'Reilly	Let's talk about Iran, your assessment, do you think we are on a collision course we being the United States with that country?
0029	Donald Trump	I think it was the worst deal I've ever seen negotiated.
0030	Donald Trump	I think it was deal that should have never been negotiated.
0031	Bill O'Reilly	The nuclear deal?
0032	Donald Trump	Absolutely.
0033	Donald Trump	The deal that was made by the Obama administration, I think it's a shame that we've had a deal like that and that we had to sign a deal like that and there was no reason to do it.
0034	Donald Trump	And if you're going to do it have a good deal.
0035	Donald Trump	Secretary Kerry who was negotiating it never once left the table.
0036	Donald Trump	We have the worst of everything.
0037	Donald Trump	We've already given them billions and billions, probably hundred $50 billion.
0038	Donald Trump	We gave them $1.7 billion in cash, which is unheard of.
0039	Donald Trump	And we put the money out.
0040	Donald Trump	And we have really nothing to show for it.
0041	Bill O'Reilly	Possibly you'll tear it up?
0042	Donald Trump	We will see what happens.
0043	Donald Trump	And we'll going to see what happens.
0044	Donald Trump	I can say this, they had total disregard for our country.
0045	Donald Trump	They are the number one terrorist state, they're sending money all over the place and weapons, and can't do that.
0046	Bill O'Reilly	Sanctions, that's how you're going to start with them?
0047	Donald Trump	Just started.
0048	Bill O'Reilly	But you're going to move in a carrier, right?
0049	Donald Trump	Well, we're just started with sanctions.
0050	Donald Trump	I never talked about military moves.
0051	Donald Trump	I always criticize President Obama with having an announcement that they're going into Mosul, they're going to some place.
0052	Donald Trump	And they give the name, the date, the time.
0053	Donald Trump	I don't believe in that.
0054	Donald Trump	We will  let's see what happens.
0055	Donald Trump	But I don't like to talk about what we do militarily.
0056	Bill O'Reilly	So, you're not real bullish on Iran at this point.
0057	Donald Trump	No, I'm not bullish.
0058	Donald Trump	It's like they're emboldened.
0059	Donald Trump	They follow our planes, they circle our ships with their little boats, and they scream things at us.
0060	Donald Trump	It is what happened  it's not good.
0061	Donald Trump	You would thought what the deal they made, which was a great deal for them and a horrible deal for us, that they would have had a warmth toward our country, and it's exactly the opposite.
