0001	Donald Trump	Thank you very much. Mr. Speaker, Mr. Vice President, members of Congress, the first lady of the United States...
0002	SYSTEM	[Applause]
0003	Donald Trump	...and citizens of America, tonight, as we mark the conclusion of our celebration of Black History Month, we are reminded of our nation's path toward civil rights and the work that still remains to be done. Recent threats...
0004	SYSTEM	[Applause]
0005	Donald Trump	Recent threats targeting Jewish community centers and vandalism of Jewish cemeteries, as well as last week's shooting in Kansas City, remind us that while we may be a nation divided on policies, we are a country that stands united in condemning hate and evil in all of its very ugly forms.
0006	Donald Trump	Each American generation passes the torch of truth, liberty and justice, in an unbroken chain all the way down to the present.
0007	Donald Trump	That torch is now in our hands.
0008	Donald Trump	And we will use it to light up the world.
0009	Donald Trump	I am here tonight to deliver a message of unity and strength, and it is a message deeply delivered from my heart. A new chapter...
0010	SYSTEM	[Applause]
0011	Donald Trump	...of American greatness is now beginning.
0012	Donald Trump	A new national pride is sweeping across our nation.
0013	Donald Trump	And a new surge of optimism is placing impossible dreams firmly within our grasp.
0014	Donald Trump	What we are witnessing today is the renewal of the American spirit.
0015	Donald Trump	Our allies will find that America is once again ready to lead.
0016	SYSTEM	[Applause]
0017	Donald Trump	All the nations of the world  friend or foe  will find that America is strong, America is proud, and America is free.
0018	Donald Trump	In nine years, the United States will celebrate the 250th anniversary of our founding, 250 years since the day we declared our independence.
0019	Donald Trump	It will be one of the great milestones in the history of the world.
0020	Donald Trump	But what will America look like as we reach our 250th year?
0021	Donald Trump	What kind of country will we leave for our children?
0022	Donald Trump	I will not allow the mistakes of recent decades past to define the course of our future.
0023	Donald Trump	For too long, we've watched our middle class shrink as we've exported our jobs and wealth to foreign countries.
0024	Donald Trump	We've financed and built one global project after another, but ignored the fates of our children in the inner cities of Chicago, Baltimore, Detroit and so many other places throughout our land.
0025	Donald Trump	We've defended the borders of other nations while leaving our own borders wide open for anyone to cross
0026	SYSTEM	[Fact check Open in parts, but heavily patrolled as well. ]
0027	Donald Trump	, and for drugs to pour in at a now unprecedented rate.
0028	Donald Trump	And we've spent trillions and trillions of dollars overseas, while our infrastructure at home has so badly crumbled.
0029	Donald Trump	Then, in 2016, the earth shifted beneath our feet.
0030	Donald Trump	The rebellion started as a quiet protest, spoken by families of all colors and creeds, families who just wanted a fair shot for their children, and a fair hearing for their concerns.
0031	Donald Trump	But then the quiet voices became a loud chorus, as thousands of citizens now spoke out together, from cities small and large, all across our country.
0032	Donald Trump	Finally, the chorus became an earthquake, and the people turned out by the tens of millions, and they were all united by one very simple, but crucial demand, that America must put its own citizens first, because only then can we truly make America great again.
0033	SYSTEM	[Applause]
0034	Donald Trump	Dying industries will come roaring back to life.
0035	Donald Trump	Heroic veterans will get the care they so desperately need.
0036	Donald Trump	Our military will be given the resources its brave warriors so richly deserve.
0037	Donald Trump	Crumbling infrastructure will be replaced with new roads, bridges, tunnels, airports and railways, gleaming across our very, very beautiful land.
0038	Donald Trump	Our terrible drug epidemic will slow down and ultimately stop.
0039	Donald Trump	And our neglected inner cities will see a rebirth of hope, safety and opportunity.
0040	Donald Trump	Above all else, we will keep our promises to the American people.
0041	SYSTEM	[Applause]
0042	Donald Trump	Thank you.
0043	Donald Trump	It's been a little over a month since my inauguration, and I want to take this moment to update the nation on the progress I've made in keeping those promises.
0044	Donald Trump	Since my election, Ford, FiatChrysler, General Motors, Sprint, Softbank, Lockheed, Intel, Walmart and many others have announced that they will invest billions and billions of dollars in the United States and will create tens of thousands of new American jobs.
0045	SYSTEM	[Applause]
0046	Donald Trump	The stock market has gained almost $3 trillion in value since the election on Nov. 8, a record.
