0001	Donald Trump	Hey, Michael.
0002	Michael Scherer	Hey Mr. President, Thank you for taking the time.
0003	Donald Trump	Absolutely.
0004	Donald Trump	How have you been, OK?
0005	Michael Scherer	Yeah, it has been a wild couple months.
0006	Michael Scherer	You keep us busy.
0007	Donald Trump	Yeah, it's been good though.
0008	Donald Trump	It's been good. Do you want me to give you a quick overview
0009	SYSTEM	[of the story]
0010	Donald Trump	?
0011	Donald Trump	Yeah, it's a cool story.
0012	Donald Trump	I mean it's, the concept is right.
0013	Donald Trump	I predicted a lot of things, Michael.
0014	Donald Trump	Some things that came to you a little bit later.
0015	Donald Trump	But, you know, we just rolled out a list.
0016	Donald Trump	Sweden.
0017	Donald Trump	I make the statement, everyone goes crazy .
0018	Donald Trump	The next day they have a massive riot, and death, and problems. Huma
0019	SYSTEM	[Abedin]
0020	Donald Trump	and Anthony,
0021	SYSTEM	[Weiner]
0022	Donald Trump	you know, what I tweeted about that whole deal, and then it turned out he had it, all of Hillary's email on his thing.
0023	Donald Trump	NATO, obsolete , because it doesn't cover terrorism.
0024	Donald Trump	They fixed that, and I said that the allies must pay.
0025	Donald Trump	Nobody knew that they weren't paying.
0026	Donald Trump	I did.
0027	Donald Trump	I figured it.
0028	Donald Trump	Brexit, I was totally right about that .
0029	Donald Trump	You were over there I think, when I predicted that, right, the day before.
0030	Donald Trump	Brussels, I said, Brussels is not Brussels.
0031	Donald Trump	I mean many other things, the election's rigged against Bernie Sanders.
0032	Donald Trump	We have a lot of things.
0033	Michael Scherer	But there's other things you said that haven't panned out. The peg for this story is the wiretapping hearing on Monday, in which
0034	SYSTEM	[FBI Director James]
0035	Michael Scherer	Comey and
0036	SYSTEM	[NSA Director Mike]
0037	Michael Scherer	Rogers testified about your tweets there.
0038	Donald Trump	Yeah well if you'd look at, in fact I'll give you the front page story, and just today I heard, just a little while ago, that Devin Nunes had a news conference , did you hear about this, where they have a lot of information on tapping.
0039	Donald Trump	Did you hear about that?
0040	Michael Scherer	I have not, no.
0041	Donald Trump	Now remember this.
0042	Donald Trump	When I said wiretapping, it was in quotes.
0043	Donald Trump	Because a wiretapping is, you know today it is different than wire tapping.
0044	Donald Trump	It is just a good description.
0045	Donald Trump	But wiretapping was in quotes.
0046	Donald Trump	What I'm talking about is surveillance. And today,
0047	SYSTEM	[House Intelligence Committee Chairman]
0048	Donald Trump	Devin Nunes just had a news conference.
0049	Donald Trump	Now probably got obliterated by what's happened in London .
0050	Donald Trump	But just had a news conference, and here it is one of those things.
0051	Donald Trump	The other one, election, I said we are going to win, we won.
0052	Donald Trump	And many other things.
0053	Donald Trump	And I think this is going to be very interesting.
0054	Michael Scherer	So you don't feel like Comey's testimony in any way takes away from the credibility of the tweets you put out, even with the quotes?
0055	Donald Trump	No, I have, look.
0056	Donald Trump	I have articles saying it happened.
0057	Donald Trump	But you have to take a look at what they, they just went out at a news conference.
0058	Donald Trump	Devin Nunes had a news conference.
0059	Donald Trump	I mean I don't know, I was unable to see it, because I am at meetings, but they just had a news conference talking about surveillance.
0060	Donald Trump	Now again, it is in quotes.
0061	Donald Trump	That means surveillance and various other things.
0062	Donald Trump	And the New York Times had a frontpage story, which they actually reduced, they took it, they took it the word wiretapping out of the title, but its first story in the front page of the paper was wiretapping.
0063	Donald Trump	And a lot of information has just been learned, and a lot of information may be learned over the next coming period of time.
0064	Donald Trump	We will see what happens.
0065	Donald Trump	Look.
0066	Donald Trump	I predicted a lot of things that took a little of bit of Time.
0067	Donald Trump	Here, headline, for the front page of the New York Times , "Wiretapped data used in inquiry of Trump aides."
0068	Donald Trump	That's a headline.
0069	Donald Trump	Now they then dropped that headline, I never saw this until this morning.
0070	Donald Trump	They then dropped that headline, and they used another headline without the word wiretap, but they did mean wiretap.
0071	Donald Trump	Wiretapped data used in inquiry.
0072	Donald Trump	Then changed after that, they probably didn't like it.
0073	Donald Trump	And they changed the title.
0074	Donald Trump	They took the wiretap word out.
0075	Michael Scherer	One of my ideas here is that throughout the campaign and now as president, you have used disputed statements, this is one of them that is disputed, the claim that three million undocumented people voted in the election...
0076	Donald Trump	Well I think I will be proved right about that too.
0077	Michael Scherer	The claim that Muslims celebrated on 911 in New Jersey...
0078	Donald Trump	Well if you look at the reporter, he wrote the story in the Washington Post .
0079	Michael Scherer	But my idea is that whatever the reality of what you are describing, the fact that they are disputed makes them a more effective message, that you are able to spread the message further, that more people get excited about it, that it gets on TV.
0080	Donald Trump	Well now if you take a look at the votes, when I say that, I mean mostly they register wrong, in other words, for the votes, they register incorrectly, andor illegally.
0081	Donald Trump	And they then vote.
0082	Donald Trump	You have tremendous numbers of people.
0083	Donald Trump	In fact I'm forming a committee on it.
0084	Michael Scherer	But there's no evidence that 3 million people voted with...
0085	Donald Trump	We'll see after the committee.
0086	Donald Trump	I have people say it was more than that.
0087	Donald Trump	We will see after we have.
0088	Donald Trump	But there will be, we are forming a committee.
0089	Donald Trump	And we are going to do a study on it, a very serious problem.
0090	Michael Scherer	Is there anything different about making these kinds of predictions without having the factual evidence as President?
0091	Donald Trump	I'm a very instinctual person, but my instinct turns out to be right.
0092	Donald Trump	When everyone said I wasn't going to win the election, I said well I think I would.
0093	Donald Trump	You know it is interesting, somebody came up to me and said the other day, gee whiz, the New York Times and other people, you know other groups, had you down at one percent, well, I said no I think I am going to win, and people smiled, George Stephanopoulos laughed , you remember.
0094	Donald Trump	He thought it was very cute, and very funny.
0095	Donald Trump	Other people smiled.
0096	Donald Trump	And some people, the smart people or the people that know me didn't laugh at all.
0097	Donald Trump	There are people that know me, like Carl Icahn and many others, that didn't laugh at all, they thought I was going to win, because they understand how I, they understand me.
0098	Donald Trump	They get it.
0099	Donald Trump	But you take a look and guess what, I won, and I won easily.
0100	Donald Trump	I predicted Brexit.
0101	Donald Trump	Remember they said there was no way to get to 270?
0102	Donald Trump	Well I ended up at 306.
0103	Donald Trump	I had election night, 306.
0104	Donald Trump	But there was no way to get to, in fact I went to Maine four times, four times I went to Maine, because I had to get one vote, because there was no way to get to 270, but I ended up getting to 306.
