0001	John Dickerson	Mr. President, you and the administration said to North Korea, "Don't test a missile."
0002	John Dickerson	They have tested a missile.
0003	John Dickerson	Is the pressure not working?
0004	Donald Trump	Well, I didn't say, "Don't test a missile."
0005	Donald Trump	He's going to have to do what he has to do.
0006	Donald Trump	But he understands we're not going to be very happy.
0007	Donald Trump	And I will tell you, a man that I've gotten to like and respect, the president of China, President Xi, I believe, has been putting pressure on him also.
0008	Donald Trump	But so far, perhaps nothing's happened and perhaps it has.
0009	Donald Trump	This was a small missile.
0010	Donald Trump	This was not a big missile.
0011	Donald Trump	This was not a nuclear test, which he was expected to do three days ago.
0012	Donald Trump	We'll see what happens.
0013	John Dickerson	You say, "Not happy."
0014	John Dickerson	What does that mean?
0015	Donald Trump	I would not be happy.
0016	Donald Trump	If he does a nuclear test, I will not be happy.
0017	Donald Trump	And I can tell you also, I don't believe that the president of China, who is a very respected man, will be happy either.
0018	John Dickerson	Not happy mean military action?
0019	Donald Trump	I don't know.
0020	Donald Trump	I mean, we'll see.
0021	John Dickerson	The Chinese, our allies, have been allies with North Korea.
0022	John Dickerson	How are you sure that they're not using this as a way to test you?
0023	Donald Trump	You can never be sure of anything, can you?
0024	Donald Trump	But I developed a very good relationship.
0025	Donald Trump	I don't think they want to see a destabilized North Korea.
0026	Donald Trump	I don't think they want to see it.
0027	Donald Trump	They certainly don't want to see nuclear on  from their neighbor.
0028	Donald Trump	They haven't liked it for a long time.
0029	Donald Trump	But we'll have to see what happens.
0030	Donald Trump	The relationship I have with China, it's been already acclaimed as being something very special, something very different than we've ever had.
0031	Donald Trump	But again, you know, we'll find out whether or not President Xi is able to affect change.
0032	John Dickerson	Why do
0033	Donald Trump	I hope he is.
0034	John Dickerson	Why do these missiles keep blowing up?
0035	Donald Trump	Well, I'd rather not discuss it.
0036	Donald Trump	But perhaps they're just not very good missiles.
0037	Donald Trump	But eventually, he'll have good missiles.
0038	John Dickerson	You don't want to discuss it because maybe we have something to do with it?
0039	Donald Trump	I just don't want to discuss it.
0040	Donald Trump	And I think you know me very well, where you've asked me many times over the last couple of years about military.
0041	Donald Trump	I said, "We shouldn't be announcing we're going into Mosul."
0042	Donald Trump	I said, "We shouldn't be announcing all our moves."
0043	Donald Trump	It is a chess game.
0044	Donald Trump	I just don't want people to know what my thinking is.
0045	Donald Trump	So eventually, he will have a better delivery system.
0046	Donald Trump	And if that happens, we can't allow it to happen.
0047	John Dickerson	What do you make of the North Korean leader?
0048	Donald Trump	I have  I really, you know, have no comment on him.
0049	Donald Trump	People are saying, "Is he sane?"
0050	Donald Trump	I have no idea.
0051	Donald Trump	I can tell you this, and a lot of people don't like when I say it, but he was a young man of 26 or 27 when he took over from his father, when his father died.
0052	Donald Trump	He's dealing with obviously very tough people, in particular the generals and others.
0053	Donald Trump	And at a very young age, he was able to assume power.
0054	Donald Trump	A lot of people, I'm sure, tried to take that power away, whether it was his uncle or anybody else.
0055	Donald Trump	And he was able to do it.
0056	Donald Trump	So obviously, he's a pretty smart cookie.
