0001	Mike Pence	Good afternoon.
0002	Mike Pence	Secretary Mnuchin, Secretary Ross, EPA Administrator Scott Pruitt, members of congress, distinguished guests, on behalf of the first family, welcome to the White House.
0003	SYSTEM	[Applause]
0004	Mike Pence	You know it's the greatest privilege of my life to serve as vice president to a president who is fighting every day to make America great again.
0005	Mike Pence	Since the first day of this administration President Donald Trump has been working tirelessly to keep the promises that he made to the American people.
0006	Mike Pence	President Trump has been reforming healthcare, enforcing our laws, ending illegal immigration, rebuilding our military and this president has been rolling back excessive regulations and unfair trade practices that were stifling American jobs.
0007	Mike Pence	Thanks to President Trump's leadership, American businesses are growing again, investing in America again, and they're creating jobs in this country instead of shipping jobs overseas.
0008	Mike Pence	Thanks to President Donald Trump, America is back.
0009	SYSTEM	[Applause]
0010	Mike Pence	And just last week, we all witnessed the bold leadership of an American president on the world stage putting America first.
0011	Mike Pence	From the Middle East to Europe as leader of the free world, President Trump reaffirmed historic alliances, forged new relationships, and called on the wider world to confront the threat of terrorism in new and renewed ways.
0012	Mike Pence	And by the action the president will announce today, the American people and the wider world will see once again our president is choosing to put American jobs and American consumers first.
0013	Mike Pence	Our president is choosing to put American energy and American industry first.
0014	Mike Pence	And by his action today, President Donald Trump is choosing to put the forgotten men and women of America first. So with gratitude for his leadership...
0015	SYSTEM	[Applause]
0016	Mike Pence	... and admiration for his unwavering commitment to the American people, it is now my high honor and distinct privilege to introduce to all of you the president of the United States of America, President Donald Trump.
0017	SYSTEM	[Applause]
0018	Donald Trump	Thank you very much.
0019	Donald Trump	Thank you.
0020	Donald Trump	I would like to begin by addressing the terrorist attack in Manila.
0021	Donald Trump	We're closely monitoring the situation.
0022	Donald Trump	And I will continue to give updates if anything happens during this period of time, but it is really very sad as to what's going on throughout the world with terror.
0023	Donald Trump	Our thoughts and our prayers are with all of those affected.
0024	Donald Trump	Before we discuss the Paris accord, I'd like to begin with an update on our tremendous, absolutely tremendous economic progress since election day on November 8th.
0025	Donald Trump	The economy is starting to come back and very, very rapidly.
0026	Donald Trump	We've added $3.3 trillion in stock market value to our economy, and more than a million private sector jobs.
0027	Donald Trump	I've just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs.
0028	Donald Trump	It was a very, very successful trip, believe me.
0029	SYSTEM	[Applause]
0030	Donald Trump	Thank you.
0031	Donald Trump	Thank you.
0032	Donald Trump	In my meetings at the G7, we have taken historic steps to demand fair and reciprocal trade that gives Americans a level playing field against other nations.
0033	Donald Trump	We're also working very hard for peace in the Middle East, and perhaps even peace between the Israelis and the Palestinians.
0034	Donald Trump	Our attacks on terrorism are greatly stepped up  and you see that  you see it all over  from the previous administration, including getting many other countries to make major contributions to the fight against terror.
0035	Donald Trump	Big, big contributions are being made by countries that weren't doing so much in the form of contributions.
0036	Donald Trump	One by one, we are keeping the promises I made to the American people during my campaign for president, whether it's cutting job killing regulations, appointing and confirming a tremendous Supreme Court justice, putting in place tough new ethics rules, achieving a record reduction in illegal immigration on our southern border, or bringing jobs, plants and factories back into the United States at numbers which no one, until this point, thought even possible.
0037	Donald Trump	And believe me, we've just begun.
0038	Donald Trump	The fruits of our labor will be seen very shortly even more so.
0039	Donald Trump	On these issues and so many more, we're following through on our commitments, and I don't want anything to get in our way.
0040	Donald Trump	I am fighting every day for the great people of this country. Therefore, in order to fulfill my solemn duty to protect America and its citizens, the United States will withdraw from the Paris climate accord...
0041	SYSTEM	[Applause]
0042	Donald Trump	... thank you.
0043	Donald Trump	Thank you  but begin negotiations to reenter either the Paris accord or an  really entirely new transaction, on terms that are fair to the United States, its businesses, its workers, its people, its taxpayers.
0044	Donald Trump	So we're getting out, but we will start to negotiate, and we will see if we can make a deal that's fair.
0045	Donald Trump	And if we can, that's great.
0046	Donald Trump	And if we can't, that's fine.
0047	Donald Trump	As president, I can put no other consideration before the wellbeing of American citizens.
0048	Donald Trump	The Paris climate accord is simply the latest example of Washington entering into an agreement that disadvantages the United States, to the exclusive benefit of other countries, leaving American workers, who I love, and taxpayers to absorb the cost in terms of lost jobs, lower wages, shuttered factories and vastly diminished economic production.
0049	Donald Trump	Thus, as of today, the United States will cease all implementation of the nonbinding Paris accord and the draconian financial and economic burdens the agreement imposes on our country.
0050	Donald Trump	This includes ending the implementation of the nationallydetermined contribution and, very importantly, the Green Climate Fund, which is costing the United States a vast fortune.
0051	Donald Trump	Compliance with the terms of the Paris accord and the onerous energy restrictions it has placed on the United States could cost America as much as 2.7 million lost jobs by 2025, according to the National Economic Research Associates.
0052	Donald Trump	This includes 440,000 fewer manufacturing jobs  not what we need.
0053	Donald Trump	Believe me, this is not what we need  including automobile jobs and the further decimation of vital American industries on which countless communities rely  they rely for so much, and we would be giving them so little.
0054	Donald Trump	According to the same study, by 2040, compliance with the commitments put into place by the previous administration would cut production for the following sectors paper, down 12 percent cement, down 23 percent iron and steel, down 38 percent coal, and I happen to love the coal miners, down 86 percent natural gas, down 31 percent.
0055	Donald Trump	The cost to the economy at this time would be close to $3 trillion in lost GDP and 6.5 million industrial jobs, while households would have 7,000 less income, and in many cases, much worse than that.
0056	Donald Trump	Not only does this deal subject our citizens to harsh economic restrictions, it fails to live up to our environmental ideals.
0057	Donald Trump	As someone who cares deeply about the environment, which I do, I cannot in good conscious support a deal that punishes the United States, which is what it does.
0058	Donald Trump	The world's leader in environmental protection, while imposing no meaningful obligations on the world's leading polluters.
0059	Donald Trump	For example, under the agreement, China will be able to increase these emissions by a staggering number of years, 13.
0060	Donald Trump	They can do whatever they want for 13 years.
0061	Donald Trump	Not us.
0062	Donald Trump	India makes its participation contingent on receiving billions and billions and billions of dollars in foreign aid from developed countries.
0063	Donald Trump	There are many other examples.
0064	Donald Trump	But the bottom line is that the Paris Accord is very unfair at the highest level to the United States.
0065	Donald Trump	Further, while the current agreement effectively blocks the development of clean coal in America, which it does.
0066	Donald Trump	And the mines are starting to open up, having a big opening in two weeks, Pennsylvania, Ohio, West Virginia, so many places.
0067	Donald Trump	A big opening of a brand, new mine.
0068	Donald Trump	It's unheard of.
0069	Donald Trump	For many, many years that hasn't happened.
0070	Donald Trump	They asked me if I'd go.
0071	Donald Trump	I'm going to try.
0072	Donald Trump	China will be allowed to build hundreds of additional coal plants.
0073	Donald Trump	So, we can't build the plants, but they can, according to this agreement.
0074	Donald Trump	India will be allowed to double its coal production by 2020.
0075	Donald Trump	Think of it.
0076	Donald Trump	India can double their coal production.
0077	Donald Trump	We're supposed to get rid of ours.
0078	Donald Trump	Even Europe is allowed to continue construction of coal plants.
0079	Donald Trump	In short, the agreement doesn't eliminate coal jobs.
0080	Donald Trump	It just transfers those jobs out of America and the United States, and ships them to foreign countries.
0081	Donald Trump	This agreement is less about the climate and more about other countries gaining a financial advantage over the United States.
0082	Donald Trump	The rest of the world applauded when we signed the Paris Agreement.
0083	Donald Trump	They went wild.
0084	Donald Trump	They were so happy.
0085	Donald Trump	For the simple reason that it put our country, the United States of America, which we all love, at a very, very big economic disadvantage.
0086	Donald Trump	A cynic would say the obvious reason for economic competitors and their wish to see us remain in the agreement is so that we continue to suffer this selfinflicted major economic wound.
0087	Donald Trump	We would find it very hard to compete with other countries from other parts of the world.
0088	Donald Trump	We have among the most abundant energy reserves in the planet, sufficient to lift millions of America's poorest workers out of poverty.
0089	Donald Trump	Yet under this agreement, we are effectively putting these reserves under lock and key, taking away the great wealth of our nation, great wealth, phenomenal wealth.
0090	Donald Trump	Not so long ago we had no idea we had such wealth.
0091	Donald Trump	And leaving millions and millions of families trapped in poverty and joblessness.
0092	Donald Trump	The agreement is a massive redistribution of United States wealth to other countries.
0093	Donald Trump	At 1 percent growth, renewable sources of energy can meet some of our domestic demand. But at 3 or 4 percent growth, which I expect, we need all forms of available American energy, or our country...
0094	SYSTEM	[Applause]
0095	Donald Trump	... will be at grave risk of brownouts and blackouts.
0096	Donald Trump	Our businesses will come to a halt in many cases.
0097	Donald Trump	And the American family will suffer the consequences in the form of lost jobs and a very diminished quality of life.
0098	Donald Trump	Even if the Paris Agreement were implemented in full, with total compliance from all nations it is estimated it would only produce a two tenths of one degree  think of that, this much  Celsius reduction in global temperature by the year 2100.
0099	Donald Trump	Tiny  tiny amount.
0100	Donald Trump	In fact, 14 days of carbon emissions from China alone would wipe out the gains from America and this is an incredible statistic  would totally wipe out the gains from America's expected reductions in the year 2030.
0101	Donald Trump	After we have had to spend billions and billions of dollars, lost jobs, closed factories and suffered much higher energy costs for our businesses and for our homes.
0102	Donald Trump	As "The Wall Street Journal" wrote, this morning, "The reality is that withdrawing is in America's economic interest and won't matter much to the climate.
0103	Donald Trump	The United States under the Trump Administration will continue to be the cleanest and most environmentally friendly country on earth."
0104	Donald Trump	We'll be the cleanest.
0105	Donald Trump	We're going to have the cleanest air.
0106	Donald Trump	We're going to have the cleanest water.
0107	Donald Trump	We will be environmentally friendly but we're not going to put our businesses out of work, we're not going to lose our jobs.
0108	Donald Trump	We're going to grow.
0109	Donald Trump	We're going to grow rapidly.
0110	SYSTEM	[Applause]
0111	Donald Trump	And I think you just read  it just came out minutes ago the small business report.
0112	Donald Trump	Small businesses as of just now are booming, hiring people, one of the best reports they've seen in many years.
0113	Donald Trump	I'm willing to immediately work with Democratic leaders to either negotiate our way back into Paris under the terms that are fair to the United States and its workers or to negotiate a new deal that protects our country and its tax payers.
0114	SYSTEM	[Applause]
0115	Donald Trump	So if the obstructionists want to get together with me, let's make them nonobstructionists.
0116	Donald Trump	We will all sit down and we will get back into the deal and we'll make it good and we won't be closing up our factories and we won't be losing our jobs.
0117	Donald Trump	And we'll sit down with the Democrats and all of the people that represent either the Paris Accord or something that we can do that's much better than the Paris Accord and I think the people of sour country will be thrilled.
0118	Donald Trump	And I think then the people of the world will be thrilled.
0119	Donald Trump	But until we do that we're out of the agreement.
0120	Donald Trump	I will work to ensure that America remains the world's leader on environmental issue.
0121	Donald Trump	But under a framework that is fair and where the burdens and responsibilities are equally shared among the many nations all around the world.
0122	Donald Trump	No responsible leader can put the workers and the people of their country at this debilitating and tremendous disadvantage.
0123	Donald Trump	The fact that the Paris deal hamstrings the United States while empowering some of the world's top polluting countries should dispel any doubt as to the real reason why foreign lobbyists wished to keep our magnificent country tied up and bound down by this agreement.
0124	Donald Trump	It's to give their country an economic edge over the United States.
0125	Donald Trump	That's not going to happen while I'm president, I'm sorry.
0126	SYSTEM	[Applause]
0127	Donald Trump	My job as president is to do everything within my power to give America a level playing field and to create the economic, regulatory and tax structures that make America the most prosperous and productive country on earth.
0128	Donald Trump	And with the highest standard of living, and the highest standard of environmental protection.
0129	Donald Trump	Our tax bill is moving along in Congress and I believe it's doing very well.
0130	Donald Trump	I think a lot of people will be very pleasantly surprised.
0131	Donald Trump	The Republicans are working very, very hard.
0132	Donald Trump	We'd love to have support from the Democrats, but we may have to go it alone, but it's going very well.
0133	Donald Trump	The Paris agreement handicaps the United States economy in order to win praise from the very foreign capitals and global activists that have long sought to gain wealth at our country's expense.
0134	Donald Trump	They don't put America first.
0135	Donald Trump	I do and I always will.
0136	SYSTEM	[Applause]
0137	Donald Trump	The same nations asking us to stay in the agreement are the countries that have collectively cost America trillions of dollars through tough trade practices and in many cases lax contributions to our critical military alliance.
0138	Donald Trump	You see what's happening.
0139	Donald Trump	It's pretty obvious to those that want to keep an open mind.
0140	Donald Trump	At what point does America get demeaned?
0141	Donald Trump	At what point do they start laughing at us as a country?
0142	Donald Trump	We want fair treatment for its citizens and we want fair treatment for our taxpayers.
0143	Donald Trump	We don't want other leaders and other countries laughing at us anymore, and they won't be.
0144	Donald Trump	They won't be.
0145	Donald Trump	I was elected to represent the citizens of Pittsburgh, not Paris.
0146	SYSTEM	[Applause]
0147	Donald Trump	I promised I would exit or renegotiate any deal which fails to serve America's interests.
0148	Donald Trump	Many trade deals will soon be under renegotiation.
