1	Note	[This transcript was provided courtesy of Fox News Channel.
2	Note	It was spot checked for accuracy and is provided as is.]
3	Bret Baier	Good evening from the Scranton Cultural Center in Scranton, Pennsylvania.
4	Bret Baier	Tonight, the battle for the White House comes to the Keystone State.
5	Bret Baier	Good evening.
6	Bret Baier	I'm Bret Baier.
7	Martha MacCallum	And I'm Martha MacCallum.
8	Martha MacCallum	Great to be here tonight.
9	Martha MacCallum	Pennsylvania, of course, was critical in securing President Trump's victory in 2016.
10	Martha MacCallum	And it is a state that he may need again this November.
11	Bret Baier	This comes as the Democratic field hoping to challenge him is narrowing.
12	Bret Baier	Only two major candidates remain, former Vice President Joe Biden and Vermont Senator Bernie Sanders.
13	Martha MacCallum	President Trump has already held rallies across the country, touting record jobs, new trade deals, and an overall strong economy.
14	Bret Baier	So, will that message resonate here, as he looks to become the first Republican since Ronald Reagan to win Pennsylvania twice?
15	Martha MacCallum	Ladies and gentlemen, President Donald Trump.
16	Martha MacCallum	[Applause, Cheering]
17	Donald Trump	Thank you.
18	Donald Trump	Thank you.
19	Donald Trump	Thank you very much.
20	Donald Trump	Whoa!
21	Donald Trump	[Applause, Cheering] Thank you.
22	Donald Trump	Thank you very much.
23	Donald Trump	Thank you very much.
24	Donald Trump	Thank you.
25	Donald Trump	Hi, Bret.
26	Bret Baier	Mr. President, thanks for being here.
27	Donald Trump	Nice to be invited.
28	Donald Trump	[Crosstalk]
29	Bret Baier	Nice to see you again.
30	Martha MacCallum	Thank you for being here.
31	Donald Trump	Great.
32	Bret Baier	Thank you.
33	Martha MacCallum	Great to have you.
34	Martha MacCallum	[Applause, Cheering]
35	Donald Trump	Thank you.
36	Donald Trump	Thank you.
37	Donald Trump	[Applause, Cheering] Whoa.
38	Donald Trump	Thank you.
39	Donald Trump	So great.
40	Martha MacCallum	Well, you got a great crowd here.
41	Donald Trump	Nice audience.
42	Bret Baier	Nice crowd.
43	Bret Baier	[Applause, Cheering]
44	Donald Trump	Thank you.
45	Martha MacCallum	Terrific crowd here tonight.
46	Martha MacCallum	Thank you so much, everybody.
47	Bret Baier	We would love to get into a lot of questions tonight.
48	Donald Trump	Good.
49	Bret Baier	And there are a lot of good questions from residents here in Scranton, who will want to talk about big issues.
50	Martha MacCallum	So, we are going to jump right in with the first questioner from our audience.
51	Martha MacCallum	Thank you again, Mr. President, for being here tonight.
52	Donald Trump	Thank you.
53	Donald Trump	Thank you very much.
54	Martha MacCallum	Katherine Pugh is joining us.
55	Martha MacCallum	She's an undecided voter.
56	Martha MacCallum	And she has a question for President Trump.
57	Martha MacCallum	Katherine?
58	Question	Mr. President, at the outset of the coronavirus, your administration's response seemed to some as being confusing or minimizing.
59	Question	What plans are being considered on a federal level for the possibility of a long-term disruption from the novel coronavirus?
60	Donald Trump	Well, actually, we are giving -- I think really given tremendous marks -- you look at Gallup poll, you look at other polls, for the way we have handled it.
61	Donald Trump	And one of the things I did is, I closed down the borders to China and to other areas that are very badly affected, and really having a lot of troubles, I mean, countries and areas of countries that have had a lot of problem.
62	Donald Trump	And I closed them down very early, against the advice of almost everybody.
63	Donald Trump	And we have been given rave reviews.
64	Donald Trump	And that's why we have only right now 11 -- it's a lot of people, but it's still 11 people, versus tremendous numbers of thousands of people that have died all over the world.
65	Donald Trump	We have 11.
66	Donald Trump	We have 149 cases as of this moment.
67	Donald Trump	This morning, it was 129.
68	Donald Trump	And I just see you -- right now, it's about 149 cases.
69	Donald Trump	There are 100,000 cases all over the world.
70	Donald Trump	So we're really given tremendous marks for having made the decision.
71	Donald Trump	And that was a decision I made to close down the borders, so that people from China, where we take in thousands and thousands of people a day, they stopped coming in very early, weeks ahead of where they normally would have been stopped.
72	Donald Trump	Thank you.
73	Bret Baier	Mr. President, you have said you want to take politics out of dealing with this crisis.
74	Donald Trump	Right.
75	Bret Baier	But in the White House yesterday, you said that about the testing kits and the delay, you blamed President Obama.
76	Donald Trump	Well, I don't blame anybody.
77	Donald Trump	I want to get everybody to understand, they made some decisions which were not good decisions.
78	Donald Trump	We inherited decisions that they made.
79	Donald Trump	And that's fine.
80	Bret Baier	As far as regulations?
81	Donald Trump	We undid -- yes.
82	Donald Trump	We undid some of the regulations that were made that made it very difficult.
83	Donald Trump	But I'm not blaming anybody.
84	Donald Trump	It just seems that the Democrats, some of them, I must say -- and you know it better than anybody, Bret -- it's become much better.
85	Donald Trump	But some of the Democrats have said, no matter what -- if we found a cure, and everybody's better tomorrow morning at nine o'clock, they would say, he's done a terrible job.
86	Donald Trump	It's just automatic.
87	Donald Trump	How is the president doing?
88	Donald Trump	Oh, terrible, terrible.
89	Donald Trump	They don't mean it.
90	Donald Trump	And we have done a great job.
91	Donald Trump	Again, we have gotten the highest poll numbers of anybody for this kind of a thing.
92	Donald Trump	And it's -- and the other thing, I'm working with phenomenal people, with CDC and all of the people involved.
93	Donald Trump	Mike Pence is doing a fantastic job.
94	Donald Trump	I mean, Mike Pence is working 20 hours a day or more on this, and really doing a fantastic job.
95	Bret Baier	I guess the critics say that, why wait until the testing issue became a crisis before dealing with it?
96	Bret Baier	If you wanted to change the regulations, why not change them either when you took office or when you first learned of the virus in January?
97	Bret Baier	For example, South Korea really got their act together right away.
98	Bret Baier	That's what they say.
99	Donald Trump	Well, when you say take office, we just learned about this a very short while ago.
100	Bret Baier	Sure, but -- or when you learned about the virus in January.
101	Donald Trump	I know, but you're not going to be thinking -- I'm thinking about a lot of other things too, like...
102	Bret Baier	Sure, yes, yes.
103	Donald Trump	... like trade and millions of other things.
104	Donald Trump	I mean, we are doing some job with the economy and all.
105	Donald Trump	So, I'm not thinking about this.
106	Donald Trump	But as soon as I heard that China had a problem, I said, what's going on with China?
107	Donald Trump	How many people are coming in?
108	Donald Trump	Nobody but me asked that question.
109	Donald Trump	And you know better than -- again, you know, you both know that I closed the borders very early.
110	Donald Trump	And we were given A-pluses for that.
111	Bret Baier	And you were given applause for that.
112	Donald Trump	Yes, saved a lot of lives.
113	Bret Baier	But I'm just talking about the testing -- the testing kits.
114	Donald Trump	Well, the testing, we did it -- as soon as we found out that it was a problem, we did it.
115	Donald Trump	It's not the kind of a thing you say, gee, I just got elected.
116	Donald Trump	Let's do some testing on this.
117	Donald Trump	They had some bad decisions.
118	Donald Trump	Some bad decisions were made.
119	Donald Trump	We corrected those decisions.
120	Martha MacCallum	So, obviously, you care a lot about the economy.
121	Martha MacCallum	And we are seeing some impacts.
122	Martha MacCallum	It is kind of surprising how many conferences are being shut down, and meetings are being canceled, and flights.
123	Martha MacCallum	A lot of flights have been canceled.
