1	Bernie Sanders	When the Congress was debating whether or not we go into a war in Iraq, invade Iraq, I got up on the floor of the House and I said that would be a disaster, it would lead to unprecedented levels of chaos in the region.
2	Bernie Sanders	And I’d not only voted against the wall, I help lead the effort against that wall.
3	Bernie Sanders	Just last year, I helped for the first time in the modern history of this country, pass a War Powers Act Resolution, working with a conservative Republican, Mike Lee of Utah, which said that the war in Yemen, led by Saudi Arabia was unconstitutional because Congress had not authorized it.
4	Bernie Sanders	We got a majority vote in the Senate.
5	Bernie Sanders	We got a majority vote in the House.
6	Bernie Sanders	Unfortunately, Bush vetoed that and that horrific war continues.
7	Bernie Sanders	I am able to work with Republicans.
8	Bernie Sanders	I am able to bring people together, to try to create a world where we solve conflicts over the negotiating table, not through military efforts.
9	Wolf Blitzer	Vice President Biden, you talk a lot about your experience, but some of your competitors have taken issue with that experience, questioning your judgment in voting to authorize the Iraq war.
10	Wolf Blitzer	Why are you the best prepared person in this stage to be Commander in Chief?
11	Joe Biden	I said 13 years ago, it was a mistake to give the President the authority to go to war, if in fact he couldn’t get inspectors into Iraq to stop what thought to be the attempt to get a nuclear weapon.
12	Joe Biden	It was a mistake and I acknowledged that.
13	Joe Biden	But the man who also argued against that war, Barack Obama picked me to be his Vice President and once we were elected President, and Vice President, he turned to me and asked me to end that war.
14	Joe Biden	I know what it’s like to send a son or daughter and like our colleague has gone to war in Afghanistan, my son for a year in Iraq and that’s why I do it very, very reluctantly.
15	Joe Biden	That’s why I led the effort as you know, Wolf against surging tens of thousands of troops into Afghanistan.
16	Joe Biden	We should not send anyone anywhere unless the overwhelming vital interest of United States are at stake.
17	Joe Biden	They were not at stake there.
18	Joe Biden	They were not at stake in Iraq and it was a mistaken vote.
19	Joe Biden	But I think my record overall on every other thing we’ve done has been… I’m prepared to compare it to anybody’s on this stage.
20	Wolf Blitzer	Senator Sanders, you have been attacking Vice President Biden’s vote on the Iraq war, but you recently acknowledged that your vote to authorize the war in Afghanistan was also a mistake.
21	Wolf Blitzer	So you’ve both acknowledged mistakes.
22	Wolf Blitzer	Why should the American people trust your judgment more?
23	Bernie Sanders	Well, it’s a little bit of a difference on that particular vote, every single member of the House, including myself voted for it, only Barbara Lee voted against it.
24	Bernie Sanders	But what I understood from right away in terms of the war in Iraq, the difference here is that the war in Iraq turned out to be the worst foreign policy blunder in the modern history of this country.
25	Bernie Sanders	As Joe well knows, we lost 4,500 brave troops, hundreds of thousands of Iraqis died.
26	Bernie Sanders	We have spent trillions of dollars on that endless war, money which should go into healthcare and education and infrastructure in this country.
27	Bernie Sanders	Joe and I listened to what Dick Cheney and George Bush and Rumsfeld had to say.
28	Bernie Sanders	I thought they were lying.
29	Bernie Sanders	I didn’t believe them for a moment, I took to the floor I did everything I could to prevent that war.
30	Bernie Sanders	Joe saw it differently.
31	Wolf Blitzer	Vice President Biden.
32	Joe Biden	I was asked to bring 156,000 troops home from that war, which I did.
33	Joe Biden	I led that effort.
34	Joe Biden	It was a mistake to trust that they weren’t going to go to war.
35	Joe Biden	They said they were not going to go to war.
36	Joe Biden	They said they were just going to get inspectors in.
37	Joe Biden	The world, in fact voted to send inspectors in and they still went to war.
38	Joe Biden	From that point on, I was in the position of making the case that it was a big, big mistake and from that point on, I moved to bring those troops home.
39	Wolf Blitzer	Senator Klobuchar, you’ve publicly questioned Mayor Buttigieg’s experience when it comes to being Commander in Chief.
40	Wolf Blitzer	Why is your time as a US Senator more valuable than his time as a US Naval intelligence officer in Afghanistan and as mayor?
41	Amy Klobuchar	Thank you Wolf, and I’ve been very clear that I respect the mayor’s experience very much in the military.
42	Amy Klobuchar	I just have different experience.
43	Amy Klobuchar	I’ve been in the US Senate for over 12 years and I think what you want in a President is someone who has dealt with these life and death issues and who has made decisions.
44	Amy Klobuchar	I will look at my position on the Iraq war first.
45	Amy Klobuchar	I wasn’t in the Senate for that vote, but I opposed that war from the very beginning.
46	Amy Klobuchar	In my first campaign for Senate, I ran against a Republican who ran ads against me on it, but I stood my ground.
47	Amy Klobuchar	When I got to the Senate, I pushed to bring our troops home.
48	Amy Klobuchar	Then I have dealt with every issue from Afghanistan, to keeping our troops with good healthcare, after what we saw with Walter Reed and being part of an effort to improve the situation for our troops in a very big way with their education and with their jobs and also with their healthcare.
49	Amy Klobuchar	I think right now what we should be talking about though, Wolfe, is what is happening right now with Donald Trump.
50	Amy Klobuchar	Donald Trump is taking us pell-mell toward another war.
51	Amy Klobuchar	We have a very important resolution.
52	Amy Klobuchar	We just found out today the four Republicans are joining Democrats to go to him and say, “You must have an authorization of military force if you’re going to go to war with Iran.” That is so important because we have a situation where he got us out of the Iranian nuclear agreement, something I on for a significant period of time.
53	Amy Klobuchar	As President, I will get us back into that agreement.
54	Amy Klobuchar	I will take an oath to protect and defend our constitution and I will mean it.
55	Wolf Blitzer	Thank you, Senator Klobuchar.
56	Wolf Blitzer	We are going to continue talking about who’s best prepared to be Commander in Chief Mayor Buttigieg.
57	Pete Buttigieg	Well, I bring a different perspective.
58	Pete Buttigieg	There are enlisted people that I served with, barely old enough to remember those votes on the authorization after 9-11, on the war in Iraq, and there are people now old enough to enlist who were not alive for some of those debates.
59	Pete Buttigieg	The next President is going to be confronted with national security challenges, different in scope and in kind from anything we’ve seen before.
60	Pete Buttigieg	Not just conventional military challenges, not just stateless terrorism, but cybersecurity challenges, climate security challenges, foreign interference in our elections.
61	Pete Buttigieg	It’s going to take a view to the future, as well as the readiness, to learn from the lessons of the past and for me, those lessons of the past are personal.
62	Wolf Blitzer	Senator Warren and our new CNN Des Moines Register poll, almost a third of your supporters say your ability to lead the military is more of a weakness than a strength of yours.
63	Wolf Blitzer	Why are you best prepared to be Commander in Chief?
64	E. Warren	I believe the principal job of the Commander in Chief is to keep America safe and I think that’s about judgment.
65	E. Warren	I think it starts with knowing our military.
66	E. Warren	I sit on the Senate Armed Services Committee.
67	E. Warren	I work with our generals, with our military leaders, with our intelligence, but I also visit our troops.
68	E. Warren	I visit our troops around the world.
69	E. Warren	I’ve been to Afghanistan, to Iraq, to Jordan, to South Korea.
70	E. Warren	I’ve been to lots of places to talk with our troops.
71	E. Warren	And I fight for our troops to make sure that they get their pay, that they get the housing and medical benefits that they’ve been promised, that they don’t get cheated by giant financial institutions.
72	E. Warren	I have three brothers who are in the military and I know how much our military families sacrifice, but I also know that we have to think about our defense in very different ways.
73	E. Warren	We have to think about cyber.
74	E. Warren	We have to think about climate.
75	E. Warren	We also have to think about how we spend money.
76	E. Warren	We have a problem with a revolving door in Washington, between the defense industry and the Department of Defense and the Pentagon.
77	E. Warren	That is corruption, pure and simple.
78	E. Warren	We need to block that revolving door and we need to cut our defense budget.
79	E. Warren	We need to depend on all of our tools, diplomatic, economic, working with our allies and not let the defense industry call the shots.
80	Wolf Blitzer	Mr. Steyer, you worked in finance for decades and have never held elected office.
81	Wolf Blitzer	Why should voters believe you have the experience or judgment to serve as Commander in Chief?
82	Tom Steyer	I worked internationally around the world for decades.
83	Tom Steyer	I traveled, I met with governments, I met with business, and I understand how America interacts with other countries.
84	Tom Steyer	And you asked what is the reason that the experience really counts?
85	Tom Steyer	And to me, I believe that Senator Warren made a great point.
86	Tom Steyer	It isn’t so much about experience, it’s about judgment.
87	Tom Steyer	If you’ve been listening to this, what we are hearing is 20 years of mistakes by the American government in the Middle East, of failure, of mistakes.
88	Tom Steyer	So the real question is judgment.
89	Tom Steyer	And if you look who had the judgment, it was a State Senator from Illinois with no experience named Barack Obama who opposed the war.
90	Tom Steyer	It is a Congress woman, Barbara Lee from Oakland, California, who stood up against the original vote, who was the only person in Congress.
91	Tom Steyer	So I would say to you this, an outside perspective looking at this and actually dealing with the problems as they are is what we’re looking for now.
92	Tom Steyer	I agree with Senator Warren, we are spending dramatically too much money on defense.
93	Tom Steyer	The money that we’re spending there, we could spend in the other parts of the budget and it’s time for someone from the outside to have a strategic view about what we’re trying to do and how to do it.
94	Wolf Blitzer	Senator Sanders, in the wake of the Iran crisis, Iran, Ayatollah Khamenei has again called for all US troops to be pulled out of the Middle East, something you’ve called for as well.
95	Wolf Blitzer	Yet when American troops last left Iraq, ISIS emerged and spread terror across the Middle East and indeed around the world.
96	Wolf Blitzer	How would you prevent that from happening again?
97	Bernie Sanders	Okay, let me tell you, but before I tell you that, let me tell you something else.
98	Bernie Sanders	And that is, and I don’t know if my colleagues here will agree with me or not, maybe they will.
99	Bernie Sanders	But what we have to face as a nation is that the two great foreign policy disasters of our lifetimes are the war in Vietnam and the war in Iraq, both of those wars were based on lies.
100	Bernie Sanders	And right now what I fear very much is we have a President who is lying again and could drag us into a war that is even worse than the war in Iraq.
101	Bernie Sanders	To answer your question, what we need to do is have an international coalition.
102	Bernie Sanders	We cannot keep acting unilaterally.
103	Bernie Sanders	As you know, the nuclear deal with Iran was worked on with a number of our allies.
104	Bernie Sanders	We have got to undo what Trump did, bring that coalition together and make sure that Iran never gets a nuclear weapon.
105	Wolf Blitzer	Vice President Biden.
106	Joe Biden	I was part of that deal to get the nuclear agreement with Iran, bringing together the rest of the world and including some of the folks who aren’t friendly to us and it was working.
107	Joe Biden	It was working, it was being held tightly.
108	Joe Biden	There was no movement on the part of the Iranian government to get closer to a nuclear weapon.
109	Joe Biden	And look what’s happened, he went ahead and it was predictable from the day he pulled out of the agreement, Trump, what exactly would happened.
110	Joe Biden	We’re now isolated.
111	Joe Biden	We’re in a situation where our allies in Europe are making a comparison between the United States and Iran, saying both ought to stand down, making a moral equivalence.
112	Joe Biden	We have lost our standing in the region, we have lost the support of our allies.
113	Joe Biden	The next President has to be able to pull those folks back together, re-establish our alliances and insist that Iran go back into the agreement, which I believe with the pressure applied as we put on before we can get done.
114	Wolf Blitzer	So just to be clear, Vice President Biden, would you leave troops in the Middle East or would you pull them out?
115	Joe Biden	I would leave troops in the Middle East in terms of patrolling the Gulf, where we are now, small numbers of troops.
116	Joe Biden	And I think it’s a mistake to pull out the small number of troops that are there now to deal with ISIS.
117	Joe Biden	What’s happened is, now that he’s gone ahead, the President and started this whole process moving, what’s happening?
118	Joe Biden	ISIS is going to reconstitute itself.
119	Joe Biden	We’re in a position where we have to pull our forces out.
120	Joe Biden	Americans have to leave the entire region and quite frank, I think he’s flat out lied about saying the reason he made the strike was because our embassies were about to be bombed.
121	Wolf Blitzer	Senator Klobuchar, what’s your response?
122	Amy Klobuchar	I would leave some troops there, but not in the level that Donald Trump is taking us right now.
123	Amy Klobuchar	Afghanistan, I have long wanted to bring our troops home, I would do that.
124	Amy Klobuchar	Some would remain for counter terrorism and training.
125	Amy Klobuchar	In Syria, I would not have removed 150 troops from the border with Turkey.
126	Amy Klobuchar	I think that was a mistake.
127	Amy Klobuchar	I think it made our allies and many others much more vulnerable to ISIS.
128	Amy Klobuchar	And then when it comes to Iraq, right now I would leave our troops there despite the mess that has been created by Donald Trump.
