1	George Stephanopoulos	Welcome to our town hall with President Trump.
2	George Stephanopoulos	Mr. President, thank you for joining us.
3	Donald Trump	Thank you very much.
4	George Stephanopoulos	We’re here with a group of Pennsylvania voters.
5	George Stephanopoulos	As you can see, we’re socially distanced in this COVID era.
6	Donald Trump	I can see, definitely.
7	Donald Trump	There’s no doubt about it.
8	George Stephanopoulos	Everyone’s been tested.
9	George Stephanopoulos	You should know that some of these people voted for you last time around, some voted for Hillary Clinton, some voted for third party candidates or no one at all.
10	George Stephanopoulos	All have written their own questions.
11	George Stephanopoulos	The first one comes from Paul Tubiana.
12	George Stephanopoulos	Paul, take it away.
13	Donald Trump	Hi, Paul.
14	Paul Tubiana	Mr. President, I voted for you in 2016.
15	Paul Tubiana	I’m conservative pro-life and diabetic.
16	Paul Tubiana	I’ve had to dodge people who don’t care about social distancing and wearing face masks.
17	Paul Tubiana	I thought you were doing a good job with a pandemic response until about May 1st.
18	Paul Tubiana	Then you took your foot off the gas pedal.
19	Paul Tubiana	Why did you throw vulnerable people like me under the bus?
20	Donald Trump	Well, we really didn’t, Paul.
21	Donald Trump	We’ve worked very hard on the pandemic.
22	Donald Trump	We’ve worked very hard.
23	Donald Trump	It came off from China.
24	Donald Trump	They should have never let it happen.
25	Donald Trump	If you look at what we’ve done with ventilators and now, frankly, with vaccines, we’re very close to having a good vaccine.
26	Donald Trump	If you want to know the truth, the previous administration would have taken perhaps years to have a vaccine because of the FDA and all the approvals.
27	Donald Trump	And we’re within weeks of getting it, could be three weeks, four weeks, but we think we have a Johnson & Johnson Pfizer.
28	Donald Trump	We have great companies and they’re very, very close.
29	Donald Trump	It’s a terrible thing.
30	Donald Trump	But if you look at as an example, are you from New York?
31	Donald Trump	Where are you from?
32	Paul Tubiana	Originally, I’m from New York.
33	Paul Tubiana	I’ve lived in Bethlehem, Pennsylvania for 18 and a half years.
34	Paul Tubiana	It’s the longest place I’ve ever lived.
35	Donald Trump	Well, that’s very good.
36	Donald Trump	It’s a good place.
37	Donald Trump	But actually, if you look at what we’ve done for various things, we built hospitals.
38	Donald Trump	New York, we took the Convention Center, converted it to 2,800 rooms.
39	Donald Trump	We brought in the ships.
40	Donald Trump	I wish they would have used it because frankly they would have saved a lot of people had they used it, but we really are.
41	Donald Trump	We’re starting to get very good marks.
42	Donald Trump	If you look at what we’ve done compared to other countries with the excess mortality, the excess mortality rate, we’ve done very, very well.
43	Donald Trump	When you see our testing, we’re going to be at 84 million tests, 84 million.
44	Donald Trump	Think of that.
45	Donald Trump	And next would be India with about 50 million less.
46	Donald Trump	Our testing program’s far greater.
47	Donald Trump	I brought this along today because I think it’s something that’s really very special.
48	Donald Trump	We have a new test that came out literally today, that’s just showing you a numbers of how well we’re doing relative to other countries.
49	Donald Trump	But this is actually a new test just came out from Abbott, highly sophisticated.
50	Donald Trump	You wouldn’t think it’s a piece of a really little light cardboard.
51	Donald Trump	This came out and this is a very accurate test and people will be able to have this and they’ll be able to test or ideally go through a doctor.
52	Donald Trump	But it’s very simple and very accurate.
53	Donald Trump	We supplied governors including this state with equipment like nobody’s ever gotten.
54	Donald Trump	We were short on ventilators because the cupboards were bare when we took it over.
55	Donald Trump	We’re now making thousands of ventilators a month, many thousands that we’re sending, and we don’t need them in our country anymore.
56	Donald Trump	Not one person that needed a ventilator, didn’t get a ventilator.
57	Donald Trump	Everybody got a ventilator and, Paul, they’re very complex.
58	Donald Trump	They’re very hard to make, but we’re making out tens of thousands a month and sending them to other countries who are in dire need of them.
59	Donald Trump	I feel that we’ve done a tremendous job, actually and it’s something that I don’t think it’s been recognized like it should.
60	Donald Trump	But when you look at our testing, when you look at our swabs, when you look at our ventilators, when you look at what we’ve done with hospitals, and we’ve made a lot of governors look very good and now some are in a shutdown and some aren’t, we’d like to see it open up and open up as soon as possible.
61	Donald Trump	But we’re very proud of the job we’ve done, and we’ve saved a lot of lives, a tremendous number of lives.
62	George Stephanopoulos	Mr. President, you mentioned a number of things.
63	George Stephanopoulos	Let’s talk about the mortality first, because you said we’re doing better in mortality than other countries.
64	George Stephanopoulos	But here’s this chart right here.
65	George Stephanopoulos	It shows the United States is right here.
66	George Stephanopoulos	This is number of deaths per million residents.
67	George Stephanopoulos	Here’s Western Europe here, Canada way down there.
68	George Stephanopoulos	We’re not at the top of the list.
69	Donald Trump	The excess mortality rate is among the best in the whole world.
70	Donald Trump	I mean, I can show you there’s a chart that just came out a little while ago.
71	Donald Trump	Excess mortality rate is compared to Europe, compared to other places, it’s about 25% better.
72	Donald Trump	In one case, it’s over 60% better.
73	Donald Trump	And we also have a very big country here.
74	Donald Trump	This is, we’re talking about a lot bigger than most countries.
75	Donald Trump	When you look at testing, just as an example, when India does 40 million less tests than us, they have 1.5 billion people.
76	Donald Trump	China, you don’t get the accurate numbers out of China, but China, they lost a lot of people.
77	Donald Trump	They just don’t say what-
78	George Stephanopoulos	Actually, we have 4% of the world’s population, more than 20% of the cases, more than 20% of the deaths.
79	Donald Trump	Well, we have 20% of the cases because of the fact that we do much more testing.
80	Donald Trump	If we wouldn’t do testing, you wouldn’t have cases.
81	Donald Trump	You would have very few cases.
82	George Stephanopoulos	As you know, Dr. Fauci, says most of these are actual cases.
83	Donald Trump	Well, Dr. Fauci, said we’ve done a fantastic job.
84	Donald Trump	He just said it yesterday.
85	Donald Trump	Actually, he said we’ve done a fantastic job that we didn’t mislead anybody.
86	Donald Trump	Now.
87	Donald Trump	I’m not going to make people feel like I want to… Look, with a leader of a great country, we want to keep it that way.
88	Donald Trump	I don’t want to scare people.
89	Donald Trump	I don’t want to make people panic and you’re not going to go out and say, “Oh, this is going to be.
90	Donald Trump	This is death, death, death.” You have to run a country.
91	Donald Trump	We’re in a country.
92	Donald Trump	We got hit by something very unfairly.
93	Donald Trump	What I noticed yesterday Dr. Fauci, said that we’ve done a really good job and we didn’t mislead anybody.
94	Donald Trump	He came out with that statement, which I appreciate.
95	Donald Trump	But whether it’s Dr. Fauci, or anybody else, a lot of people got it wrong.
96	Donald Trump	They talked about, don’t wear masks, and now they say wear masks, although some people say don’t wear masks.
97	Donald Trump	I mean, you have a lot of different ideas.
98	Donald Trump	Some people say, “Just leave it the way it is and don’t do any shutdowns.” Other people say, “Do shutdowns.” I have my own views on that.
99	George Stephanopoulos	What did you get wrong?
100	George Stephanopoulos	You say a lot of people got things wrong.
101	George Stephanopoulos	I mean, you mentioned China at the top right there.
102	George Stephanopoulos	All through January and February, you were down playing by your own admission, the severity of the crisis that you didn’t want to panic people.
103	Donald Trump	Not down playing-
104	George Stephanopoulos	Let me just finish the question first.
105	Donald Trump	Not downplaying.
106	George Stephanopoulos	But you said, those are your words.
107	Donald Trump	I don’t want to drive our nation into a panic.
108	Donald Trump	I’m a cheerleader for this nation.
109	Donald Trump	I’m the one that closed up our country.
110	Donald Trump	I closed it up long before any of the experts thought I should and saved hundreds of thousands of lives.
111	Donald Trump	But when I closed it, I put a ban on our country.
112	Donald Trump	And the ban was a very important ban because China [crosstalk 00:07:12].
113	Donald Trump	China was heavily infected.
114	Donald Trump	By the way, I read where other people said, “Do it.” No people that I saw said do it, and I know they said security advisers and others.
115	Donald Trump	I put a ban on when it wasn’t at all popular.
116	Donald Trump	Joe Biden said I was xenophobic because I put the ban on, and I thought that was a very unfair.
117	Donald Trump	By the way, he’s totally taken that back.
118	Donald Trump	But I’m not sure he knows what it means, anyway.
119	George Stephanopoulos	I want to ask you about China though, because at that time you were actually praising President Xi.
120	George Stephanopoulos	You were saying he was transparent.
121	George Stephanopoulos	You were saying he was strong.
122	George Stephanopoulos	You were saying he was doing a good job.
123	George Stephanopoulos	Did you get that wrong?
124	George Stephanopoulos	Did you misjudge President Xi?
125	Donald Trump	I don’t think I did.
126	Donald Trump	We just finished a trade deal.
127	Donald Trump	We just had the largest order of corn in the history of our country last week, the largest order of soybeans, largest order of beef, because they know I’m very unhappy.
128	Donald Trump	They know I’m very, very-
129	George Stephanopoulos	But you said he was doing a good job and now you’re blaming China.
130	Donald Trump	No, I didn’t say one way or the other.
131	Donald Trump	I’m not saying one way or the other.
