0001	WOODRUFF	Good evening, and thank you.
0002	WOODRUFF	We are happy to welcome you to Milwaukee for this Democratic debate.
0003	WOODRUFF	We are especially pleased to thank our partners at Facebook, who have helped us set up a vibrant conversation among voters who are undecided.
0004	WOODRUFF	And tonight you're going to hear some of their questions for the candidates.
0005	WOODRUFF	And you can follow along at home on the PBS NewsHour page on Facebook.
0006	WOODRUFF	We also want to thank our hosts, the University of Wisconsin, Milwaukee, on whose campus we meet, here in the beautiful Helen Bader Concert Hall.
0007	IFILL	We want to also extend our warm thanks to Milwaukee Public Radio and Milwaukee Public Television, as well as all of our friends at the PBS member stations across the country tuning in tonight.
0008	IFILL	This is the sixth time the Democrats have met face to face.
0009	IFILL	Each time, we learn more about them and the presidents they say they want to be.
0010	IFILL	You know you're watching  whether you're a Democrat, a Republican, or neither  because you believe the outcome of the election is important to you.
0011	IFILL	And we believe that, too.
0012	IFILL	With that, let's welcome the candidates to the stage.
0013	IFILL	Senator Bernie Sanders of Vermont.
0014	SYSTEM	[ applause ]
0015	WOODRUFF	Welcome, Senator, great to see you.
0016	WOODRUFF	And former Secretary of State Hillary Clinton.
0017	SYSTEM	[ applause ]
0018	WOODRUFF	Very good to be here with you.
0019	CLINTON	Thank you.
0020	IFILL	Welcome to you both.
0021	WOODRUFF	Now, a word about format.
0022	WOODRUFF	There will be two short breaks, and the rules are simple 90 seconds for each answer and 30 seconds for the other candidate to respond.
0023	IFILL	With Iowa and New Hampshire behind us, we are now broadening the conversation to America's heartland and beyond, including here in Wisconsin.
0024	IFILL	Now let's turn to the candidates for their opening statements.
0025	IFILL	The order was decided by coin toss.
0026	IFILL	And, Senator Sanders, you go first.
0027	SANDERS	Well, Gwen and Judy, thank you very much for hosting this event.
0028	SANDERS	And, PBS, thank you.
0029	SANDERS	Nine months ago, our campaign began.
0030	SANDERS	And when it began, we had no political organization, no money, and not much name recognition outside of the state of Vermont.
0031	SANDERS	A lot has happened in nine months.
0032	SANDERS	And what has happened is, I think, the American people have responded to a series of basic truths, and that is that we have today a campaign finance system which is corrupt, which is undermining American democracy, which allows Wall Street and billionaires to pour huge sums of money into the political process to elect the candidates of their choice.
0033	SANDERS	And aligned with a corrupt campaign finance system is a rigged economy.
0034	SANDERS	And that's an economy where ordinary Americans are working longer hours for low wagers.
0035	SANDERS	They are worried to death about the future of their kids.
0036	SANDERS	And yet they are seeing almost all new income and all new wealth going to the top 1 percent.
0037	SANDERS	And then in addition to that, the American people are looking around and they see a broken criminal justice system.
0038	SANDERS	They see more people in jail in the United States of America than any other country on earth, 2.2 million.
0039	SANDERS	We're spending $80 billion a year locking up fellow Americans.
0040	SANDERS	They see kids getting arrested for marijuana, getting in prison, getting a criminal record, while they see executives on Wall Street who pay billions of dollars in settlements and get no prosecution at all.
0041	SANDERS	No criminal records for them.
0042	SANDERS	I think what our campaign is indicating is that the American people are tired of establishment politics, tired of establishment economics.
0043	SANDERS	They want a political revolution in which millions of Americans stand up, come together, not let the Trumps of the world divide us, and say, you know what, in this great country, we need a government that represents all of us, not just a handful of wealthy campaign contributors.
0044	SANDERS	Thank you.
0045	IFILL	Thank you, Senator Sanders.
0046	SYSTEM	[ applause ]
0047	IFILL	Thank you, Senator Sanders.
0048	IFILL	Secretary Clinton.
