0001	KELLY	Good evening, and welcome to the fabulous FOX Theatre in downtown Detroit, the site of the 11th Republican presidential debate of the 2016 campaign.
0002	KELLY	I'm Megyn Kelly, along with my comoderators, Bret Baier and Chris Wallace.
0003	BAIER	59 Republican delegates are at stake here in the state of Michigan during next Tuesday's Republican primary, the biggest prize out of four states holding contests that day.
0004	BAIER	For tonight's debate we're partnering with Facebook.
0005	BAIER	The conversation about this election has been intense, as the crowd is here.
0006	BAIER	Since January 1st, 53 million people in the U.S. have been talking about the election on Facebook.
0007	WALLACE	Tonight there are just four candidates on this stage.
0008	WALLACE	Their position has been determined by their standing in an average of the five most recent national polls as recognized by FOX News, and conducted and released by March 1st.
0009	WALLACE	Here they are.
0010	SYSTEM	[ cheering and applause ]
0011	WALLACE	Texas Senator, Ted Cruz.
0012	SYSTEM	[ cheering and applause ]
0013	WALLACE	Florida Senator, Marco Rubio.
0014	SYSTEM	[ cheering and applause ]
0015	WALLACE	And, Ohio Governor, John Kasich.
0016	SYSTEM	[ cheering and applause ]
0017	KELLY	Tonight's rules are simple.
0018	KELLY	Up to 60 seconds for each answer, 30 seconds for each followup response, and if a candidate goes over the allotted time, you will hear this.
0019	SYSTEM	[ bell ringing ]
0020	BAIER	So pleasant.
0021	KELLY	Really.
0022	BAIER	We have a big crowd here, and while we expect the audience to be enthusiastic and responsive at times...
0023	SYSTEM	[ cheering and applause ]
0024	BAIER	... they may have already been  we also expect them to be respectful, and we want the candidates to get their full time.
0025	BAIER	So, somewhere between a library and a Red Wings game.
0026	SYSTEM	[ laughter and cheering ]
0027	BAIER	Am I right?
0028	BAIER	Is that OK?
0029	BAIER	Let's get started.
0030	WALLACE	Mr. Trump, as you may have heard, the 2012 Republican nominee for President, Mitt Romney, had some things to say about you today.
0031	WALLACE	He said your domestic policy will lead to recession, he's said your foreign policy will make us less safe, and then he listed what he said are your personal qualities.
0032	WALLACE	Quoting now Romney on Trump, quote, "the bullying, the greed, the showing off, the misogyny, the absurd, thirdgrade theatrics".
0033	SYSTEM	[ cheering ]
0034	WALLACE	He challenged you to answer with substance, not insults.
0035	WALLACE	How do you answer Mitt Romney, sir?
0036	TRUMP	Well look, he was a failed candidate, he should have beaten president Obama very easy.
0037	TRUMP	He failed miserably, and it was an embarrassment to everybody, including the Republican party.
0038	TRUMP	It looked like he went away on a vacation the last month.
0039	TRUMP	So, I don't take that, and I guess, obviously, he wants to be relevant.
0040	TRUMP	He wants to be back in the game.
0041	TRUMP	As far as domestic policy and trade which is killing our country, he said free trade and I believe in free trade also.
0042	TRUMP	But, if you look at China, and you look Japan, and if you look at Mexico, both at the border, by the way, where they're killing us.
0043	TRUMP	Both at the border, and with trade  and every other country we do business with we are getting absolutely crushed on trade.
0044	TRUMP	And, he said free trade, I say free trade great.
0045	TRUMP	But, not when they're beating us so badly.
0046	TRUMP	With China we're going to lose $505 billion dollars in terms of trades.
0047	TRUMP	You just can't do it.
0048	TRUMP	Mexico, $58 billion dollars.
0049	TRUMP	Japan, probably about, they don't know it yet, but about $109 billion dollars.
0050	TRUMP	Every country we lose money with.
0051	TRUMP	As far as I'm concerned, we've got to reduce  we have to redo our trade deals 100 percent.
0052	TRUMP	I have the greatest business people in the world lined up to do it.
0053	TRUMP	We will make...
0054	SYSTEM	[ bell ringing ]
0055	TRUMP	... great trade deals.
0056	SYSTEM	[ cheering ]
0057	WALLACE	Mr. Trump, Romney also talked about your position on race, and the controversy over your failure to denounce David Duke on Sunday.
0058	WALLACE	You have repeatedly disavowed him since then, but I'd like to go deeper than that.
0059	WALLACE	What are your views on the Klu Klux Klan, and white supremacists?
0060	TRUMP	I totally disavow the Klu Klux Klan.
0061	TRUMP	I totally disavow David Duke.
0062	TRUMP	I've been doing it now for two weeks, this is your  you're probably about the 18th person that's asked me the question.
0063	TRUMP	It was very clear, that question was also talked about in the form of groups.
0064	TRUMP	Groups, I want to know which groups are you talking about?
0065	TRUMP	You have to tell me which groups?
0066	TRUMP	Ultimately, he got to the Klu Klux Klan, which obviously I'm going to disavow.
0067	TRUMP	And, by the way, if you look on my Twitter account, almost immediately after the program they were disavowed again.
0068	TRUMP	You know, it's amazing.
0069	TRUMP	When I do something on Twitter, everybody picks it up, goes all over the place.
0070	TRUMP	But, when I did this one nobody ever picks it up.
0071	TRUMP	Take a look at my Twitter account.
0072	WALLACE	Thank you, sir.
0073	TRUMP	Thank you.
0074	TRUMP	Thanks.
0075	SYSTEM	[ applause ]
0076	BAIER	Senator Rubio, three weeks ago you said, quote "I don't do the personal attacks, primarily because it's not who I am, because I think it's beneath the office that I'm seeking but also because I don't want to embarrass my kids."
0077	BAIER	But in the past week you've mocked Mr. Trump's tan.
0078	BAIER	You've made fun of his spelling.
0079	BAIER	You called him a con artist.
0080	BAIER	You suggested he wet himself backstage at the last debate, along with other vulgar jokes and jabs.
0081	BAIER	So what happened?
0082	RUBIO	Yes, you know, Bret, let me say something.
0083	RUBIO	This campaign for the last year Donald Trump has basically mocked everybody with personal attacks.
0084	RUBIO	He has done so to people that are sitting on the stage today.
0085	RUBIO	He has done so about people that are disabled.
0086	RUBIO	He has done it about every candidate in this race.
0087	RUBIO	So if there is anyone who has ever deserved to be attacked that way, it has been Donald Trump, for the way he has treated people in the campaign.
0088	RUBIO	Now that said, I would much prefer to have a policy debate.
0089	RUBIO	I hope that's what we will have here tonight.
0090	RUBIO	Let's have a policy debate...
0091	TRUMP	And we will.
0092	RUBIO	... let's talk about Donald Trump's strategy and my strategy and Ted's strategy and John Kasich's strategy when it comes to ISIS.
0093	RUBIO	And on health care and on the important issues facing this country.
0094	RUBIO	But let's be honest too about all this.
0095	RUBIO	The media has given these personal attacks that Donald Trump has made an incredible amount of coverage.
0096	RUBIO	Let's start talking again about the issues that matter to this country.
0097	RUBIO	I'm ready to do that starting right here right now tonight.
0098	BAIER	Mr. Trump, your response?
0099	TRUMP	Well, I also happened to call him a lightweight, OK?
0100	TRUMP	And I have said that.
0101	TRUMP	So I would like to take that back.
0102	TRUMP	He is really not that much of a lightweight.
0103	TRUMP	And as far as  and I have to say this, I have to say this.
0104	TRUMP	He hit my hands.
0105	TRUMP	Nobody has ever hit my hands.
0106	TRUMP	I have never heard of this.
0107	TRUMP	Look at those hands.
0108	TRUMP	Are they small hands?
0109	SYSTEM	[ laughter ]
0110	TRUMP	And he referred to my hands, if they are small, something else must be small.
0111	TRUMP	I guarantee you there is no problem.
0112	TRUMP	I guarantee.
0113	BAIER	OK. Moving on.
0114	KELLY	OK, Senator Cruz, you say that you are the true conservative in this race.
0115	KELLY	But 15 states have voted now, and you have won only four of them.
0116	KELLY	You have lost repeatedly with what is supposed to be your core voter groups, including evangelicals and conservatives.
0117	KELLY	Hasn't your brand of conservatism been rejected by an electorate that appears to be more taken with Mr. Trump's populist message?
0118	CRUZ	Well, Megyn, you know, at the end of the day for the folks at home, this is not about the insults back and forth between the candidates.
0119	CRUZ	This is not about what attacks we can throw at each other.
0120	CRUZ	This is the people at home who are struggling through seven years of Barack Obama.
0121	CRUZ	This is the single moms who are working two and three jobs, 28, 29 hours a week because their hours have been forcibly reduced because of Obamacare.
0122	CRUZ	This is the truck drivers and the steel workers and the mechanics with calluses on their hands who have seen their wages not grow year after year after year while the cost of living goes up.
0123	CRUZ	This is all the young people coming out of school with student loans up to their eyeballs that aren't able to find a job.
0124	CRUZ	And I don't think the people of America are interested in a bunch of bickering school children.
0125	CRUZ	They are interested in solutions, not slogans.
0126	CRUZ	It's easy to say, make things better, make things great.
0127	CRUZ	You can even print it and put it on a baseball cap.
0128	CRUZ	But the question is, do you understand the principles that made America great in the first place?
0129	CRUZ	As president, I will repeal every word of Obamacare.
0130	CRUZ	I will pull back the regulators that are killing small businesses.
0131	CRUZ	And we will pass a simple flat tax and abolish the IRS.
0132	CRUZ	And what that's going to do, Megyn, is small businesses are going to explode.
0133	CRUZ	We are going to see millions of highpaying jobs.
0134	CRUZ	We are going to see wages going up.
0135	CRUZ	We are going to see opportunity.
0136	CRUZ	That's where our focus needs to be.
0137	CRUZ	That's where my focus is.
0138	CRUZ	And that is why our campaign is the only campaign that over and over again has beaten Donald Trump to date, and it's why we are the one campaign that going forward can and will beat Donald Trump in this election.
0139	KELLY	Go ahead, Mr. Trump.
0140	TRUMP	I have heard Ted say that over and over again on television, that he is the only one that can beat me.
0141	TRUMP	Just, for the record, I have won 10.
0142	TRUMP	He has won three or four.
0143	TRUMP	Last week, in fact, on Tuesday, I was a half a million votes higher than him.
0144	TRUMP	I was a million votes higher than Marco, 1 million votes.
0145	TRUMP	That's a lot of votes.
0146	TRUMP	And was by far in first place.
0147	TRUMP	So I keep hearing that he is the only one that can beat me but he is getting beaten very, very badly.
0148	TRUMP	So where does this come from?
0149	TRUMP	Where does it come from?
0150	KELLY	Go ahead, Senator Rubio.
0151	RUBIO	Yes, I would just say a couple of things.
0152	RUBIO	There is no doubt that Donald has done well in these elections.
0153	RUBIO	There is no doubt about that.
0154	RUBIO	The numbers are there.
0155	RUBIO	Here is what the numbers also say.
0156	RUBIO	Twothirds of the people who have cast a vote in a Republican primary or caucus have voted against you.
0157	RUBIO	They do not want you to be our nominee.
0158	RUBIO	And, the reason why is because we are not going to turn over the conservative movement, or the party of Lincoln or Reagan, for example, to someone whose positions are not conservative.
0159	RUBIO	To someone who last week defended Planned Parenthood for 30 seconds a debate stage.
0160	RUBIO	To someone, for example, that has no ideas on foreign  someone who thinks the nuclear triad is a rock band from the 1980's.
0161	TRUMP	Oh yeah, you're...
0162	RUBIO	... To someone who time and again on issue after issue has not proven that he has the principals...
0163	SYSTEM	[ bell ringing ]
0164	RUBIO	... That outline what the conservative movement has been about.
0165	RUBIO	And, as Ted said, the things that made America great.
0166	RUBIO	America is great because of the conservative principles of limited government and free enterprise, and a strong national defense...
0167	KELLY	... OK...
0168	RUBIO	... And, our nominee needs to be someone that stands by those things...
0169	KELLY	... Alright...
0170	RUBIO	... Donald has not demonstrated that.
0171	KELLY	... Go ahead, Mr. Trump, and then we're going to have to go to Governor Kasich.
0172	SYSTEM	[ applause ]
0173	TRUMP	Very nice words, but happens to be wrong.
0174	TRUMP	CNN just came out with a poll two days ago that...
0175	RUBIO	...
0176	SYSTEM	[ inaudible ]
0177	TRUMP	... That national poll  excuse me...
0178	RUBIO	...
0179	SYSTEM	[ inaudible ]
0180	TRUMP	...
0181	TRUMP	The national poll  a national poll where he's at 15, he's at 14...
0182	RUBIO	...
0183	SYSTEM	[ inaudible ]
0184	RUBIO	...
0185	TRUMP	... And, I'm at 49, so when he says 75 percent, that would mean that 80 percent of the people don't dig you, and I'm back down to 50...
0186	RUBIO	... Of all the people on this stage, he performs the worst against Hillary Clinton.
0187	TRUMP	Wrong...
0188	RUBIO	...
0189	RUBIO	If you're our nominee, we will lose...
0190	TRUMP	...
0191	TRUMP	I beat Hillary Clinton.
0192	TRUMP	I beat Hillary Clinton in many polls...
0193	RUBIO	... You lose by
0194	SYSTEM	[ inaudible ]
0195	RUBIO	points.
0196	RUBIO	She will wipe you out.
0197	TRUMP	I beat Hillary Clinton in many polls...
0198	RUBIO	If you're our nominee
0199	SYSTEM	[ inaudible ]
0200	RUBIO	...
0201	KELLY	...
0202	KELLY	Hold on, Senator, hold on...
0203	TRUMP	...
0204	TRUMP	I think I'm talking...
0205	RUBIO	... Oh, excuse me
0206	SYSTEM	[ inaudible ]
0207	RUBIO	...
0208	TRUMP	...
0209	TRUMP	I beat Hillary Clinton...
0210	KELLY	...
0211	KELLY	Hold on, hold on, hold on...
0212	TRUMP	...
0213	TRUMP	I hope you think
0214	SYSTEM	[ inaudible ]
0215	TRUMP	...
0216	KELLY	...
0217	KELLY	The audience cannot understand when you're talking over each other.
0218	KELLY	Finish your point, Mr. Trump.
0219	TRUMP	...
0220	TRUMP	I beat Hillary Clinton in many polls.
0221	TRUMP	The Cue poll just came out.
0222	TRUMP	I beat Hillary Clinton in a recent Fox poll, I beat Hillary Clinton in USA Today, I beat her today in a poll in Ohio.
0223	TRUMP	I beat  I'm the only one that beats Hillary Clinton.
0224	TRUMP	I beat  and I have not started on Hillary yet.
0225	TRUMP	Believe me, I will...
0226	SYSTEM	[ cheering ]
0227	TRUMP	... start soon.
0228	TRUMP	I haven't even started.
0229	KELLY	OK.
0230	BAIER	Governor Kasich, today you admitted that you have a narrow path to the nomination through a contested convention.
0231	BAIER	Today also Mitt Romney proposed that Republicans should vote for Senator Rubio in Florida.
0232	BAIER	They should vote for you in Ohio.
0233	BAIER	They should vote for Senator Cruz in states that he can beat Mr. Trump to prevent Mr. Trump from getting the nomination.
0234	BAIER	So, do you buy Romney's blueprint, and can you say tonight to your Florida supporters that they should vote for Senator Rubio to get a contested convention?
0235	KASICH	You know, this so much about process.
0236	KASICH	It frankly is boring to me.
0237	KASICH	I would like it clear though, since we're talking about polls, I beat Hillary Clinton by more than 11 points, and the reason it happens...
0238	SYSTEM	[ cheering ]
0239	TRUMP	...
0240	TRUMP	In one poll...
0241	KASICH	...
0242	KASICH	The reason it happens...
0243	TRUMP	...
0244	TRUMP	In one poll...
0245	KASICH	... You know, the reason is because, as the Democrats tell me all the time, I can get the crossover votes.
0246	KASICH	You see, because throughout this campaign I've talked about issues, I have never tried to go and get into these scrums that we're seeing here on the stage.
0247	KASICH	And, people say everywhere I go, "you seem to be the adult on the stage."
0248	SYSTEM	[ applause ]
0249	KASICH	In terms of  you know, Mitt Romney's a great guy, but he doesn't determine my strategy.
0250	KASICH	The fact of the matter is I'm running for president because I worked hard to fix this country when I was in Washington as the Chairman of the Budget Committee where we had some of the most significant job growth after we balanced the budget.
0251	KASICH	We had wages going up, it was very successful in Ohio.
0252	KASICH	Our wages grow faster than the national average.
0253	KASICH	We're up over 400,000 jobs.
0254	KASICH	We paid down, back in the old days, they paid down half a trillion dollars of the national debt.
0255	KASICH	It's a formula that works.
0256	KASICH	And, I believe that formula will work when I return to Washington as the president.
0257	KASICH	And, by the way, I won't need on the job training because I know how to do all of this, and within the first 100 days I will have a plan that will pass the Congress because...
0258	SYSTEM	[ bell ringing ]
0259	KASICH	...
0260	KASICH	It is reasonable, and I can bring both sides together...
0261	SYSTEM	[ applause ]
0262	BAIER	...
0263	BAIER	But Governor, this is all about process.
0264	BAIER	For voters, they need to see a path to get to the nomination if they're going to support you.
0265	BAIER	On Super Tuesday you finished in single digits in nine out of 11 states.
0266	BAIER	So, you can see that your path is through a contested convention.
0267	BAIER	How do you...
0268	KASICH	... Well, Bret, I think we're all really there.
0269	KASICH	I mean, the simple fact is that, you know, you all wrote me off.
0270	KASICH	You wrote me off before I even got to New Hampshire, then when I finished in New Hampshire you wrote me off in the South, then you wrote me off in Super Tuesday.
0271	KASICH	I split delegates in Vermont with Donald Trump, I finished second in Massachusetts, and we won delegates in Virginia.
0272	KASICH	But, guess what?
0273	KASICH	It's now March Madness and we're heading up North to the place  to my turf, OK?
0274	SYSTEM	[ cheering ]
0275	KASICH	And, let me just tell you this, I will win Ohio, and I am going to move all across this country, and over time as people begin to finally hear my message  you know what people say, Bret, to me all the time?
0276	KASICH	Why don't they give you any time on the debate stage?
0277	KASICH	Why is that?
0278	SYSTEM	[ cheering ]
0279	KASICH	So now all of a sudden, I'm starting to get it, and what I want the people to know is, I know how to bring people together, Republicans and Democrats.
0280	KASICH	I have successfully, both at the federal level and the state level brought economic growth, wage growth, and economic security to this country.
0281	KASICH	And I want to go back and do it again, and I'm going to keep talking about my message of bringing people together and motivating people in the neighborhoods that realize they don't need somebody from Washington galloping in.
0282	KASICH	There are many things they can do where they live, because the strength of our country is in our neighborhoods and our families.
0283	KASICH	And I'm going to keep doing this.
0284	SYSTEM	[ applause ]
0285	BAIER	Thank you.
0286	WALLACE	Well, then, we want to focus now on the economy, which is one of the top issues on Facebook, with 6.6 million people discussing it online.
0287	WALLACE	A lot of that conversation is happening here in Detroit, where the unemployment rate is 10.9 percent.
0288	WALLACE	That's more than double the national average.
0289	WALLACE	Senator Rubio, you have taken to calling Mr. Trump a con artist who portrays himself as a hero to working people while he's really been, in your words, "sticking it" to the American workers for 40 years.
0290	WALLACE	But he has built a big company that employs thousands of people.
0291	WALLACE	Question.
0292	WALLACE	How many jobs have you created?
0293	RUBIO	Well, first of all, government doesn't...
0294	SYSTEM	[ audience booing ]
0295	RUBIO	First of all, Chris, my point is exactly right.
0296	RUBIO	He has spent a career of convincing Americans that he's something that he's not in exchange for their money.
0297	RUBIO	Now he's trying to do the same in exchange for their country.
0298	RUBIO	This is a fact.
0299	RUBIO	He talks about these great businesses that he's built.
0300	RUBIO	He inherited over $100 million.
0301	TRUMP	Wrong.
0302	TRUMP	Wrong.
0303	RUBIO	And with that money, he lost more money than he made.
0304	WALLACE	Mr. Trump, it's not your turn.
0305	WALLACE	You'll get your turn, sir.
0306	SYSTEM	[ crosstalk ]
0307	RUBIO	He can start tonight by announcing that all the Donald Trump clothing will no longer be made in China and in Mexico, but will be made here in the United States.
0308	SYSTEM	[ applause ]
0309	RUBIO	And on the issue of job creation, I find this interesting.
0310	RUBIO	The private sector creates jobs.
0311	RUBIO	The jobs of those of us in public service are to put in place policies that allow the economy to grow.
0312	RUBIO	That's the problem with the Democratic Party.
0313	RUBIO	They think government is what creates jobs.
0314	RUBIO	Government does not create jobs.
0315	RUBIO	Now, the way you create jobs is you make America the easiest and the best place in the world to start a business or to expand an existing business.
0316	RUBIO	If you go on my website, marcorubio.com, you will see a real plan to fix our taxes, to roll back regulations, to repeal and replace Obamacare, not just lines around the states.
0317	RUBIO	Serious policies and proposals.
0318	WALLACE	Sir?
0319	WALLACE	Mr. Trump, I'd like you to respond.
0320	WALLACE	You have 30 seconds to respond.
0321	WALLACE	But as part of that, could you respond to his specific assertion about Trump Collection clothes, which you say some of it is made in Mexico?
0322	TRUMP	This little guy has lied so much...
0323	RUBIO	Here we go.
0324	TRUMP	... about my record.
0325	RUBIO	Here we go.
0326	RUBIO	It's personal.
0327	SYSTEM	[ audience booing ]
0328	SYSTEM	[ crosstalk ]
0329	TRUMP	He has lied so much about my record.
0330	WALLACE	Mr. Rubio  Senator Rubio, why don't you let him finish?
0331	TRUMP	And I will tell you this.
0332	TRUMP	First of all, I got a call from my sister and brother tonight, and they said we had no idea Dad gave you $200 million.
0333	TRUMP	Believe me, I started off with $1 million.
0334	TRUMP	I built a company that's worth more than $10 billion.
0335	TRUMP	And I say it not in a bragging way, but that's the kind of thinking we need.
0336	TRUMP	Very low debt, tremendous cash flow.
0337	TRUMP	My financials are all  they're all in there with the federal elections.
0338	TRUMP	You've seen them.
0339	TRUMP	Everybody has seen them.
0340	TRUMP	I say it only because that's the kind of thinking this country needs with $19 trillion in debit.
0341	TRUMP	Believe me.
0342	SYSTEM	[ applause ]
0343	WALLACE	But wait one second.
