0001	COOPER	And welcome back.
0002	COOPER	There is history all around us here at downtown Milwaukees Riverside Theater, which opened in 1928.
0003	COOPER	It was nearly destroyed by fire in 1966.
0004	COOPER	It was lovingly restored in the 80s and has been at the heart of this citys cultural life ever since.
0005	COOPER	It is a magnificent theater.
0006	COOPER	Were here in the mid of a historymaking Republican presidential campaign, bringing voters face to face with the candidates, showcasing their questions and bringing it all to you at home.
0007	COOPER	Joining us now is Ohios governor, John Kasich.
0008	SYSTEM	(APPLAUSE)
0009	KASICH	How are you?
0010	COOPER	Good to see you.
0011	COOPER	Have a seat.
0012	COOPER	All right, we got a lot of questions from the audience about a lot of policy issues.
0013	COOPER	A couple of questions on news of the day.
0014	COOPER	Donald Trumps campaign manager, Corey Lewandowski, charged today with simple battery.
0015	COOPER	Would you fire him?
0016	KASICH	Well, I havent seen the video, but they tell me the video is real.
0017	KASICH	Of course I would.
0018	KASICH	Look, when you have problems like that, you have to act.
0019	KASICH	Now, Ive been of course an executive running the seventhlargest state.
0020	KASICH	And we see things that happen.
0021	KASICH	At times, you want to give people the benefit of the doubt, but when you see things that are pretty clear  from what I understand the video is clear.
0022	KASICH	Of course would fire him.
0023	COOPER	Lets talk about your path to the nomination.
0024	COOPER	You are pinning your hopes on a contested convention.
0025	COOPER	Assuming there is one, why would you be selected?
0026	COOPER	Youve only won one state, your home state, Ohio.
0027	COOPER	Why would you get the nomination?
0028	KASICH	Well, a couple of reasons, Anderson.
0029	KASICH	First of all, in virtually every national poll, I am the only one that beats Hillary Clinton consistently.
0030	KASICH	In fact, in the last poll that came out I was up 11 points.
0031	KASICH	Secondly, and, you know, delegates would look, for example, at, you know, can you win in the fall?
0032	KASICH	I mean, its like a really important part of this thing, its not just the nomination, its about winning the election.
0033	KASICH	And frankly, if we do not have a strong candidate that brings people together, we have a prospect of losing the United States Senate as well.
0034	KASICH	And secondly, Anderson, at some point that people that go to a convention are going to be concerned about who actually could run the country.
0035	KASICH	I mean, its like a big deal.
0036	KASICH	You know, who could be president, who could be commanderinchief?
0037	KASICH	And I have more experience than really all of them put together except for Mrs. Clinton.
0038	KASICH	I mean, I have  you know, I served 18 years on the defense  Armed Services Committee, I was in the Pentagon after 911.
0039	KASICH	I was chairman of the Budget Committee.
0040	KASICH	I was involved in welfare reform.
0041	KASICH	When I was chairman of the Budget Committee, we balanced the budget, we had job growth.
0042	KASICH	Ive been the executive in Ohio.
0043	KASICH	Weve grown jobs.
0044	KASICH	So at some point people are going to look at two things, who can win in the fall, and secondly who could be the best president?
0045	COOPER	But polls are one thing, though, I mean, to have only won  if it continues on this path, to have only won one state, your home state, wont some delegates say, look, OK, the polls say he can win in a headtohead matchup against Hillary Clinton, but the voters have spoken.
0046	KASICH	Well, Anderson, I think its pretty clear and most of the people in here I think would agree with this, for most of the debates, I was completely ignored.
0047	KASICH	I mean, it has been like the last three weeks to a month that people have started to pay attention to who I am and my message.
0048	KASICH	And it has fundamentally happened that way because Ive not gotten down in the mud.
0049	KASICH	I havent namecalled.
0050	KASICH	I havent had all these nasty sound bites.
0051	KASICH	Ive just been laying out my record and my vision for what I want to see happen.
0052	KASICH	But conventions are very interesting.
0053	KASICH	Republicans have had 10 conventions.
0054	KASICH	And the leader going into the convention has only been the nominee three times out of 10.
0055	KASICH	Seven times out of 10 they were not.
0056	KASICH	So I think  and were going to do better as this calendar moves to the east.
0057	KASICH	Look, now Im starting to get on my home court, you know,  look, I went to Ohio, I won by 11 points.
0058	KASICH	You know, I did very, well there.
0059	KASICH	Were going to go to Pennsylvania, New York, New Jersey, Connecticut.
0060	KASICH	These are all places where I can do extremely well.
0061	KASICH	And we will continue to accumulate delegates.
0062	KASICH	And well have momentum going into the convention.
0063	KASICH	And by the way, the convention is nothing more than an extension of the process we have going now.
0064	KASICH	Somehow people think theyre truncated somehow, theyre disjointed.
0065	KASICH	Theyre not.
0066	KASICH	Its a process of primaries.
0067	KASICH	You accumulate delegates.
