0001	CHUCK TODD	This Sunday, the Republican party coming apart.
0002	DONALD TRUMP	It really looks like a massive victory.
0003	CHUCK TODD	Donald Trump wraps up the Republican nomination and effectively tells G.O.P.
0004	CHUCK TODD	leaders, "It's my party and you can cry if you want to."
0005	DONALD TRUMP	Our thing, its very simple, its make America great again.
0006	CHUCK TODD	My interview with the Republican party's presumptive nominee, Donald Trump.
0007	CHUCK TODD	Plus, it's a simple fact, divided parties lose elections.
0008	CHUCK TODD	Republican voters embrace Trump, the Republican leadership says, "No way."
0009	SPEAKER PAUL RYAN	I'm just not ready to do that at this point.
0010	CHUCK TODD	Can Donald Trump become the first candidate in more than half a century to win an election without a united party behind him?
0011	CHUCK TODD	Also, don't look now, but the general election has already begun.
0012	DONALD TRUMP	I can focus on Hillary.
0013	DONALD TRUMP	Crooked Hillary.
0014	SEC. HILLARY CLINTON	He doesn't think much of equal pay for women because, of course, he doesn't think much of women.
0015	CHUCK TODD	Even S.N.L.
0016	CHUCK TODD	is looking towards November.
0017	DANA CARVEY	And now we've landed on the exciting presidential matchup between a godless, liberal Democrat and Hillary Clinton.
0018	CHUCK TODD	Joining me for insight and analysis this Sunday morning are Eugene Robinson, PulitzerPrizewinning columnist for The Washington Post, Andrea Mitchell of NBC News, Matt Bai, national political correspondent for Yahoo News, and Republican strategist and pollster, Kellyanne Conway.
0019	CHUCK TODD	Welcome to Sunday.
0020	CHUCK TODD	It's Meet the Press.
0021	ANNOUNCER	From NBC News in Washington, this is Meet the Press with Chuck Todd.
0022	CHUCK TODD	Good Sunday morning, happy Mother's Day to all the moms out there watching.
0023	CHUCK TODD	This may well be this generation's defining moment in American politics, particularly for Republicans.
0024	CHUCK TODD	The Republican party splitting apart as it turns its back on its new presumptive nominee Donald Trump.
0025	CHUCK TODD	What we're witnessing is nothing short of what you might call tissue rejection.
0026	CHUCK TODD	Conservatives who warn that Trump would ultimately prove he's not one of them, are having their own, "I told you so" moment.
0027	CHUCK TODD	During the primaries, Trump said he was opposed to raising the minimum wage.
0028	CHUCK TODD	Now he says he's open to raising it.
0029	CHUCK TODD	During the primaries, Trump put out a plan lowering taxes on everybody, including the wealthy, now he says he's open to raising taxes for the wealthiest Americans.
0030	CHUCK TODD	And during the primaries, Trump insisted over and over again he would selffund his campaign, and now he says he's building a worldclass finance organization aimed at raising money for his campaign.
0031	CHUCK TODD	That, and so much more, has led a long parade of prominent Republicans to say either they can't support Trump or they have to think it over.
0032	CHUCK TODD	We'll get to my interview with Donald Trump in just a moment, but one thing is clear.
0033	CHUCK TODD	He begins his campaign as a the presumptive nominee of a party, whose leadership A) didn't want him, and B) is deeply reluctant to rally around him.
0034	CHUCK TODD	In short, is the Republican party wigging out?
0035	SYSTEM	(BEGIN TAPE)
0036	SPEAKER PAUL RYAN	I'm not there right now.
0037	SPEAKER PAUL RYAN	And I hope to though, and I want to.
0038	SPEAKER PAUL RYAN	But I think what is required is that we unify this party.
0039	CHUCK TODD	Donald Trump is facing a rejection from Republican party leaders that is unprecedented in modern politics.
0040	SEN. LINDSEY GRAHAM	I think Donald Trump's a kind of man.
0041	SEN. LINDSEY GRAHAM	I'm not going to support somebody I don't believe is a reliable Republican conservative.
0042	CHUCK TODD	Nebraska senator Ben Sasse says, "A thirdparty candidate is the only solution."
0043	CHUCK TODD	Quote, "This is America.
0044	CHUCK TODD	If both choices stink, we reject them and go bigger."
0045	CHUCK TODD	The only two living Republican presidents, both Bushes, are also no's, refusing to endorse Trump and skipping the Republican Convention after a campaign of insults to Jeb.
0046	DONALD TRUMP	Hes low energy.
0047	DONALD TRUMP	Let's be sure.
0048	CHUCK TODD	The 2012 nominee, also a no, is being courted to run as an independent.
0049	CHUCK TODD	So far, Mitt Romney is not interested.
0050	CHUCK TODD	The 2008 nominee, with a primary in August, is a reluctant yes, but also staying away from Cleveland in July.
0051	SEN. JOHN MCCAIN	If there is a Donald Trump at the top of the ticket, I have no doubt that this may be the race of my life.
0052	CHUCK TODD	Even the chair of the convention is sending a signal to donors and voters that it's okay to stay on the bench.
0053	SPEAKER PAUL RYAN	I think the bulk of the burden on unifying the party will have to come from our presumptive nominee.
0054	DONALD TRUMP	I didn't get Paul Ryan.
0055	DONALD TRUMP	I don't know what happened.
0056	DONALD TRUMP	I don't know.
0057	DONALD TRUMP	All of a sudden, he wants to be cute.
0058	DONALD TRUMP	But, you know, we'll see.
0059	CHUCK TODD	With a meeting planned in Washington next week, the chill could thaw.
0060	CHUCK TODD	And some Trump skeptics are coming around, including Rick Perry, who said this just months ago
0061	GOV. RICK PERRY	Donald Trump's candidacy is a cancer on conservatism.
0062	CHUCK TODD	But Trump begins the general election as a scarred candidate, trailing by 23 points among women, and leading by just three points among men.
0063	SEC. HILLARY CLINTON	He doesn't think much of equal pay for women because, of course, he doesn't think much of women, it turns out.
0064	CHUCK TODD	But for Trump, the attacks are going to be personal.
0065	DONALD TRUMP	And she was a total enabler.
0066	DONALD TRUMP	She would go after these women and destroy their lives.
0067	DONALD TRUMP	I mean, have you ever read what Hillary Clinton did to the women that Bill Clinton had affairs with?
0068	DONALD TRUMP	And they're going after me with women?
0069	DONALD TRUMP	Give me a break, folks.
0070	SYSTEM	(END TAPE)
0071	CHUCK TODD	Yesterday I spoke with Mr. Trump.
0072	CHUCK TODD	And I began by asking if he was surprised to have already wrapped up the Republican nomination.
0073	SYSTEM	(BEGIN TAPE)
0074	DONALD TRUMP	Well, I thought I'd do it.
0075	DONALD TRUMP	I didn't know I was going to do it this early.
0076	DONALD TRUMP	I assumed that Hillary would be watching me, as opposed to me watching Hillary.
0077	DONALD TRUMP	So that's good.
0078	DONALD TRUMP	And it's going to be an interesting things, because Bernie Sanders is not being treated fairly.
0079	DONALD TRUMP	Not being treated fairly.
0080	DONALD TRUMP	You know, it's a rigged system against him also.
0081	DONALD TRUMP	I'm no Bernie fan, I can tell you that.
0082	DONALD TRUMP	But it is a rigged system.
0083	CHUCK TODD	Do you believe the system is the Republican system was pretty rigged too, even though you're winning it?
0084	DONALD TRUMP	Yeah, totally rigged.
0085	DONALD TRUMP	It was totally rigged.
0086	DONALD TRUMP	And it was only that I was winning by so much.
0087	DONALD TRUMP	I was winning in landslides every week.
0088	DONALD TRUMP	And if I weren't, I wouldn't have been able to do it, because it was dictated by the bosses.
0089	DONALD TRUMP	But you know what, I'm happy with it.
0090	DONALD TRUMP	It's like a boxer.
0091	DONALD TRUMP	You have to go and you have to knock out the opponent.
0092	DONALD TRUMP	We won so many landslide states, especially the last seven or eight, that you know, there was nothing much they could do about it.
0093	DONALD TRUMP	But it's not a good system
0094	CHUCK TODD	You know, you complained about the system a lot.
0095	CHUCK TODD	I'm curious, are you now more open to sameday voter registration, allowing independents to vote in any primary they want?
0096	CHUCK TODD	Are you going to be somebody that's going to advocate for those positions now, to make it easier to vote, since your voters had a hard time?
0097	DONALD TRUMP	Well, you can't expand the party that way.
0098	DONALD TRUMP	And you know, we've done it both ways.
0099	DONALD TRUMP	I've always done better when independents could cross over, and frankly when Democrats could cross over.
0100	DONALD TRUMP	You know, in New York when we were doing the voting, they interviewed  a lot of people interviewed the people at the voting booths, that you know, manned the voting booths.
0101	DONALD TRUMP	And they were saying that they've never seen anything like it
0102	CHUCK TODD	Well, they banned same day you realize that in New York, had there been same day voter registration those people could have voted.
0103	CHUCK TODD	So are you for that?
0104	DONALD TRUMP	Well, I'll tell you what.
0105	DONALD TRUMP	But they said that they've never seen so many Democrats wanting to vote for Trump.
0106	DONALD TRUMP	They were by the thousands.
0107	DONALD TRUMP	And I will say this.
0108	DONALD TRUMP	On Election Day, we're going to do very well in New York.
0109	DONALD TRUMP	But the people were saying to the press that they'd never seen anything like it.
0110	DONALD TRUMP	They've been there for 30 and 40 years doing this kind of stuff.
0111	CHUCK TODD	But you're not but I'm just curious
0112	DONALD TRUMP	where Democrats are going over.
0113	CHUCK TODD	do you want to see the voting laws changed to make it easier to vote?
0114	DONALD TRUMP	I want to see voting laws so that people that are citizens can vote.
0115	DONALD TRUMP	Not so people that can walk off the street and can vote, or so that illegal immigrants can vote
0116	CHUCK TODD	So you're not for sameday voter registration?
0117	DONALD TRUMP	No, no.
0118	DONALD TRUMP	I want to make the voting laws so that people that it doesn't make any difference how they do it.
0119	DONALD TRUMP	But I don't think people should sneak in through the cracks.
0120	DONALD TRUMP	You have to have  And whether that's an ID or any way you want to do it.
0121	DONALD TRUMP	But you have to be a citizen to vote.
0122	CHUCK TODD	Well, of course.
0123	CHUCK TODD	That is the law as it stands already.
