0001	CHUCK TODD	This Sunday, a rough week for both likely nominees.
0002	CHUCK TODD	For Hillary Clinton, it was that report contradicting her statements old and new about her emails.
0003	SEC. HILLARY CLINTON	Well, it was allowed.
0004	SEC. HILLARY CLINTON	And the rules have been clarified since I left.
0005	CHUCK TODD	For Donald Trump, it was an unprovoked attack on a popular Republican Latina governor, Susana Martinez of New Mexico.
0006	DONALD TRUMP	She's not doing the job.
0007	DONALD TRUMP	Hey, maybe I'll run for governor of New Mexico.
0008	CHUCK TODD	This morning, my interview with the only candidate still viewed favorably by the voters, Bernie Sanders.
0009	CHUCK TODD	Would you take the call if Hillary Clinton asked you to be her running mate?
0010	CHUCK TODD	Plus, we've seen the ClintonTrump polls tighten.
0011	CHUCK TODD	But how tight will they be if and when Sanders gets out?
0012	CHUCK TODD	We have a first look at the true state of the presidential race.
0013	CHUCK TODD	Also, before Donald, there was Arnold, the celebrity candidate who shocked the political world by running in California.
0014	CHUCK TODD	Arnold Schwarzenegger one on one, on the state of the Republican party in the age of Trump.
0015	CHUCK TODD	And joining me for insight and analysis are Robert Costa of The Washington Post, Republican pollster Kellyanne Conway, Jerry Seib, Washington bureau chief for The Wall Street Journal, and Neera Tanden, president of the liberal think tank Center for American Progress.
0016	CHUCK TODD	Welcome to Sunday.
0017	CHUCK TODD	It's Meet the Press.
0018	ANNOUNCER	From NBC News in Washington, this is Meet the Press with Chuck Todd.
0019	CHUCK TODD	Good Sunday morning on this Memorial Day weekend.
0020	CHUCK TODD	In a moment, we'll bring you my interview with Bernie Sanders.
0021	CHUCK TODD	But this holiday weekend, we're going to pause to take a look at this headscratching presidential race.
0022	CHUCK TODD	Let's admit up front, that every year, some people are upset at the major party choices that they have for president.
0023	CHUCK TODD	And it's always this holdyournose business, lesser of two evils, and we push through it.
0024	CHUCK TODD	But how did we get here?
0025	CHUCK TODD	How did we get to the point where on one side, Hillary Clinton would be the most unpopular nominee in history if not for the fact that Donald Trump is even more unpopular.
0026	CHUCK TODD	There are many possible answers to that question.
0027	CHUCK TODD	But it's undeniable that this week, both candidates seem to be doing whatever they could to make matters even worse.
0028	CHUCK TODD	And while we're all asking what does this mean for November, maybe we should start asking what does this mean for January.
0029	SYSTEM	(BEGIN TAPE)
0030	DONALD TRUMP	Thank goodness for emails.
0031	DONALD TRUMP	I love emails.
0032	DONALD TRUMP	Frankly, what Hillary has done is criminal, folks.
0033	DONALD TRUMP	It's criminal.
0034	CHUCK TODD	Donald Trump harping on the Clinton email scandal that just won't go away.
0035	CHUCK TODD	This week, a State Department inspector general said, Hillary Clinton did break the rules, that she never asked for permission to use a private server and would have been denied if she had.
0036	CHUCK TODD	The report contradicts what Clinton has said before and since.
0037	SEC. HILLARY CLINTON	Well, it was allowed and the rules have been clarified since I left about the practice.
0038	CHUCK TODD	The problem for Trump, he has his own transparency issue.
0039	SEC. HILLARY CLINTON	My question is really simple.
0040	SEC. HILLARY CLINTON	If you have paid federal income tax, show us.
0041	CHUCK TODD	Just 19 percent of voters give Clinton good ratings for being honest and straightforward.
0042	CHUCK TODD	But even fewer say Trump has the right temperament to be president.
0043	CHUCK TODD	Trump is putting Clinton's vulnerabilities on display.
0044	DONALD TRUMP	Hillary is a disaster, folks.
0045	DONALD TRUMP	She has bad judgment.
0046	DONALD TRUMP	That was said by Bernie Sanders.
0047	DONALD TRUMP	He's given me a lot of my best lines.
0048	CHUCK TODD	And Trump is trying to drag the Clintons back into the '90s, reminding voters of Bill Clinton's affairs and sexual misconduct.
0049	DONALD TRUMP	Nobody, nobody, perhaps in the history of politics was worse to women or abused women more than Bill Clinton.
0050	CHUCK TODD	But Trump has had his own affairs.
0051	DONALD TRUMP	Can you imagine how controversial I would be?
0052	DONALD TRUMP	You think about him with the women, how 'bout me with the women?
0053	CHUCK TODD	This week, Trump exposed Republican divisions, mocking his party's most prominent Latina politician, New Mexico Governor, Susana Martinez.
0054	DONALD TRUMP	She's not doing the job.
0055	DONALD TRUMP	Hey, maybe I'll run for governor of New Mexico.
0056	CHUCK TODD	And infighting within his own campaign, firing his recentlyhired political director.
0057	CHUCK TODD	Still, so far, Trump appears to be a candidate coated in Teflon.
0058	CHUCK TODD	Not so much for Clinton.
0059	CHUCK TODD	One difference is how each candidate deals with their vulnerabilities.
0060	CHUCK TODD	Trump almost embraces the attack.
0061	DONALD TRUMP	I end up with a lawsuit and it ends up in San Diego, in federal court.
0062	DONALD TRUMP	And I figure, "What the hell?
0063	DONALD TRUMP	Why not talk about it for two minutes?
0064	DONALD TRUMP	Should I talk about it?
0065	DONALD TRUMP	Yes?"
0066	CHUCK TODD	While Clinton struggles to explain.
0067	HILLARY CLINTON	The information that we had is out there, it's been clearly public.
0068	HILLARY CLINTON	And my email use was widely known.
0069	SYSTEM	(END TAPE)
0070	CHUCK TODD	Bernie Sanders of course is presenting himself as the more acceptable alternative to both Hillary Clinton and Donald Trump.
0071	CHUCK TODD	I got the chance to talk to him yesterday just after he held a rally in Santa Barbara, California, in advance, of course, of the June 7th California primary.
0072	CHUCK TODD	And I began by asking him about his difficult path to the Democratic nomination.
0073	SYSTEM	(BEGIN TAPE)
0074	CHUCK TODD	Let me start with a simple question, but maybe a complicated answer.
0075	CHUCK TODD	How do you win?
0076	CHUCK TODD	Senator Clinton has basically declared herself the nominee, the math is certainly very much in her favor.
0077	CHUCK TODD	Explain to me how you're the nominee in July in your head.
0078	SEN. BERNIE SANDERS	Fair question.
0079	SEN. BERNIE SANDERS	And I think there are three paths to victory.
0080	SEN. BERNIE SANDERS	Number one, I want to go into the convention with more pledged delegates than Secretary Clinton.
0081	SEN. BERNIE SANDERS	And that's going to be an uphill fight.
0082	SEN. BERNIE SANDERS	Because for 270 or so delegates, and weve got 46 percent of the pledged delegates.
0083	SEN. BERNIE SANDERS	What I want to do, and I think we can, is win California here, and win under the big vote, do very, very well in the other five states.
0084	SEN. BERNIE SANDERS	And I believe going into the convention, if we can do this, with the majority of pledged delegates, is a very symbolic victory.
0085	SEN. BERNIE SANDERS	Second of all, we're going to talk to those superdelegates in states where we have won landslide victories, 60, 70, 80 percent of the vote, to say, "Do what the people in your state want.
0086	SEN. BERNIE SANDERS	They voted for Bernie Sanders, you as the superdelegates should follow their wishes."
0087	SEN. BERNIE SANDERS	Third point and most important point, as you know Chuck, there are over 400 superdelegates who came onto secretary Clinton's campaign eight months before the first ballot was cast.
0088	SEN. BERNIE SANDERS	Before anybody else was in the race.
0089	SEN. BERNIE SANDERS	Before they could get a sense of what the campaign was about.
0090	SEN. BERNIE SANDERS	Right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating Trump often by big numbers, and always at a larger margin than Secretary Clinton is.
0091	SEN. BERNIE SANDERS	We're going to make the case to the superdelegates, "Your job is to make sure that Trump is defeated, that Bernie Sanders, in fact, for a variety of reasons, not just polling, is the strongest candidate.
0092	CHUCK TODD	Senator, in your answer there, you're basically contradicting yourself on the issue of superdelegates in this way you're saying you want them to respect the vote in their state, then at the same time, you say, "But oh, by the way, for those of you that are a superdelegate in a state that Clinton won, why don't you think about the general election?"
0093	CHUCK TODD	It's a little bit hypocritical to be on both sides of those issues.
0094	SEN. BERNIE SANDERS	No, no, no, that's not what I'm saying.
0095	SEN. BERNIE SANDERS	What I'm saying is, there are over 400 superdelegates who made a decision to vote for Secretary Clinton before anyone else was in the race.
0096	SEN. BERNIE SANDERS	Before they got a sense of what the campaign was about.
0097	SEN. BERNIE SANDERS	And all that I am saying is for those superdelegates who came onboard before I was even in the race, you have got the very grave responsibility to make sure that Trump does not become elected president of the United States.
0098	SEN. BERNIE SANDERS	Vote for the strongest candidate.
0099	SEN. BERNIE SANDERS	And it's not just the polls, Chuck.
0100	SEN. BERNIE SANDERS	If you look at the momentum and the energy and the enthusiasm of our grassroots campaign, it will result in a higher voter turnout.
0101	SEN. BERNIE SANDERS	And Democrats and progressives do well when the voter turnout is high.
0102	SEN. BERNIE SANDERS	Republicans do well when the voter turnout is low.
0103	SEN. BERNIE SANDERS	I think our message of income and wealth inequality, the fact that we're the only major country on earth not to have healthcare for all people is resonating.
0104	SEN. BERNIE SANDERS	It will win the general election.
0105	CHUCK TODD	Is it fair to say then if you don't win California, you believe your campaign is over?
0106	SEN. BERNIE SANDERS	No, that's what you said.
0107	SEN. BERNIE SANDERS	I didn't say.
0108	SEN. BERNIE SANDERS	What I said is obviously California is very, very important, 475 superdelegates.
0109	SEN. BERNIE SANDERS	Obviously, if we don't do well in California, it will make our path much much harder.
0110	SEN. BERNIE SANDERS	No question about it.
0111	SEN. BERNIE SANDERS	But I think we have a good chance to win in California, maybe win big, and maybe win four or five of the other states that are off on June 7th.
0112	CHUCK TODD	But without a California victory, you can't win a majority of pledged delegates.
0113	CHUCK TODD	And obviously, you will once again not succeed in a big state with a diverse population.
0114	CHUCK TODD	It's going to be hard for you to convince Democrats to go with you without a California victory.
