0001	Donald Trump	Thank you, everybody.
0002	Donald Trump	So great to be with you.
0003	Donald Trump	Thank you.
0004	SYSTEM	[Applause]
0005	Donald Trump	Great to be back at CPAC.
0006	Donald Trump	It's a place I have really...
0007	Donald Trump	I love this place.
0008	SYSTEM	[Applause]
0009	Donald Trump	Love you people.
0010	Donald Trump	So thank you  thank you very much.
0011	Donald Trump	First of all, I want to thank Matt Schlapp and his very, very incredible wife, and boss, Mercedes, who have been fantastic friends and supporters and so great.
0012	Donald Trump	When I watch them on television defending me, nobody has a chance.
0013	Donald Trump	So I want to thank Matt and Mercedes.
0014	SYSTEM	[Applause]
0015	Donald Trump	And when Matt called and asked I said, "Absolutely I'll be there with you." I mean, the real reason I said it, I didn't want him to go against me cause that...
0016	SYSTEM	[Laughter]
0017	Donald Trump	... that one you can't beat.
0018	Donald Trump	So I said absolutely.
0019	Donald Trump	And it really is an honor to be here.
0020	Donald Trump	I wouldn't miss a chance to talk to my friends.
0021	Donald Trump	These are my friends.
0022	SYSTEM	[Applause]
0023	Donald Trump	And we'll see you again next year and the year after that and I'll be doing this...
0024	SYSTEM	[Applause]
0025	Donald Trump	...
0026	Donald Trump	I'll be doing this with CPAC whenever I can and I'll make sure that we're here a lot.
0027	Donald Trump	You know if you remember my first major speech  sit down everybody.
0028	Donald Trump	C'mon.
0029	SYSTEM	[Laughter]
0030	Donald Trump	You know the dishonest media they'll say, "He didn't get a standing ovation."
0031	Donald Trump	You know why?
0032	SYSTEM	[Laughter]
0033	Donald Trump	No  you know why?
0034	Donald Trump	Because everybody stood and nobody sat.
0035	Donald Trump	So they will say, "He never got a standing ovation," right?
0036	SYSTEM	[Inaudible]
0037	Donald Trump	They are the worst.
0038	SYSTEM	[Applause, Chanting "USA"]
0039	Donald Trump	So  sit down.
0040	SYSTEM	[Laughter]
0041	Donald Trump	Donald Trump did not get a standing ovation.
0042	SYSTEM	[Laughter]
0043	Donald Trump	They leave out the part, "They never sat down."
0044	Donald Trump	They leave that out.
0045	Donald Trump	So I just want to thank  but you know my first major speak was at CPAC and  probably five or six years ago.
0046	Donald Trump	First major political speech.
0047	Donald Trump	And you were there.
0048	Donald Trump	And it was  I loved it.
0049	Donald Trump	I loved the people.
0050	Donald Trump	I loved the commotion.
0051	Donald Trump	And then they did these polls were I went through the roof and I wasn't even running, right?
0052	SYSTEM	[Laughter]
0053	Donald Trump	But it gave me an idea.
0054	Donald Trump	And I got a little bit concerned when I saw what was happening in the country.
0055	Donald Trump	And I said, "Let's go to it."
0056	Donald Trump	So, it was very exciting.
0057	Donald Trump	I walked the stage on CPAC.
0058	Donald Trump	I'll never forget it, really.
0059	Donald Trump	I had very little notes and even less preparation.
0060	Donald Trump	So when you have practically no notes and no preparation and then you leave and everybody was thrilled, I said, "I think I like this business."
0061	Donald Trump	Read More President Trump Just Boasted About Winning Polls at CPAC. He Lost 6 Times
0062	SYSTEM	[Laughter]
0063	Donald Trump	I would've come last year but I was worried that I would be, at that time, too controversial.
0064	Donald Trump	We wanted border security.
0065	Donald Trump	We wanted very, very strong military. We wanted all of the things that we're going to get...
0066	SYSTEM	[Applause]
0067	Donald Trump	... and people consider that controversial but you didn't consider it controversial.
0068	SYSTEM	[Applause]
0069	Donald Trump	So, I've been with CPAC for a long time.
0070	Donald Trump	All of these years we've been together.
