0001	Donald Trump	Thank you.
0002	Donald Trump	Thank you.
0003	Donald Trump	I am thrilled to be back in the very, very beautiful state of West Virginia.
0004	Donald Trump	And I am proud to stand before you and celebrate the hard working people who are the absolute backbone of America.
0005	Donald Trump	Thank you.
0006	Donald Trump	I love the people of the states.
0007	Donald Trump	I love your grit, your spirit, and I love our coal miners.
0008	Donald Trump	They are coming back strong.
0009	SYSTEM	[Applause]
0010	Donald Trump	I made you a promise during the campaign.
0011	Donald Trump	You all remember.
0012	Donald Trump	Many of you were here.
0013	Donald Trump	I actually think we have more people here tonight with thousands outside than we had during the campaign, if you can believe it.
0014	SYSTEM	[Applause]
0015	Donald Trump	And as you've seen, I've kept that promise.
0016	Donald Trump	As President, we are putting our coal miners back to work.
0017	Donald Trump	We've ended the war on beautiful, clean coal.
0018	Donald Trump	We've stopped the EPA intrusion.
0019	Donald Trump	American coal exports are already up.
0020	Donald Trump	Think of this.
0021	Donald Trump	Think of this.
0022	Donald Trump	American exports of coal are already up more than 60% this year.
0023	Donald Trump	Did you ever hear of anything like that?
0024	Donald Trump	What you voted for is happening every single day.
0025	Donald Trump	Everyone in the arena is united by shared values.
0026	SYSTEM	[Applause]
0027	Donald Trump	We believe in God, we believe this team, we believe in country.
0028	Donald Trump	We support the Constitution of the United States of America.
0029	Donald Trump	We cherish and defend the second amendment.
0030	Donald Trump	We believe school should teach students to love our country, to have pride in our history, and to respect our great American flag.
0031	Donald Trump	We stand with the incredible men and women of law enforcement.
0032	Donald Trump	Thank you.
0033	Donald Trump	We believe strongly that a nation must defend and protect its borders.
0034	Donald Trump	And above all else, we believe we must take care of our own citizens, and put America first.
0035	Donald Trump	Day after day, we are keeping the promises that we made during the campaign.
0036	Donald Trump	That includes our promises to our great veterans.
0037	Donald Trump	Thank you, veteran... veterans.
0038	Donald Trump	Today we announce new telehealth services to help the veterans get the care when and where they need it.
0039	Donald Trump	It is so popular.
0040	Donald Trump	This state has many retired military members.
0041	Donald Trump	We thank them.
0042	Donald Trump	We thank their family and spouses for their patriotic service.
0043	Donald Trump	They have been incredible.
0044	Donald Trump	We in America honor our great heros.
0045	Donald Trump	This week in the East Room of the White House, I awarded the Medal of Honor to a true American hero.
0046	Donald Trump	Specialist 5, James C. McCloughan.
