0001	Donald Trump	Thank you.
0002	Donald Trump	Thank you, folks.
0003	Donald Trump	Thank you very much, a great honor to be here and I want to thank Chris, so many people have done such an incredible job.
0004	Donald Trump	And these are real patriots, they really are and they don't get the kind of adulation.
0005	Donald Trump	But really, they do and we know that.
0006	Donald Trump	I want to thank Wayne LaPierre.
0007	Donald Trump	I want to thank my friend, our great Vice President Mike Pence for his terrific remarks.
0008	Donald Trump	I also want to recognize our great Texas leaders.
0009	Donald Trump	We love Texas, do we love Texas?
0010	Donald Trump	Governor Greg Abbott, my friend, where's Greg?
0011	Donald Trump	Governor Greg Abbott.
0012	Donald Trump	And he's running, and I've already done it but I will tell you, Greg, I fully endorse you, you are endorsed.
0013	Donald Trump	He has done a great job.
0014	Donald Trump	I'll tell you, he would  you had your water just pouring down on top of you, just kept coming and coming, he kept calling and calling, we need more money, money, money.
0015	SYSTEM	[Laughter]
0016	Donald Trump	And you know what?
0017	Donald Trump	We gave it to you.
0018	Donald Trump	Fully endorsed.
0019	Donald Trump	Attorney General Ken Paxton, tremendous guy.
0020	Donald Trump	And by the way, Ken, you have my full endorsement, and Angela, your wife, has my full endorsement.
0021	Donald Trump	She just had a big victory.
0022	Donald Trump	Senator John Cornyn, been with me right from the beginning.
0023	Donald Trump	John, thank you.
0024	Donald Trump	Thank you, John.
0025	Donald Trump	Full endorsement for this man.
0026	Donald Trump	Ted Cruz, where's Ted?
0027	Donald Trump	Where's Ted?
0028	Donald Trump	Thank you.
0029	Donald Trump	Boy that was very rousing.
0030	SYSTEM	[Laughter]
0031	Donald Trump	That's a good sign.
0032	Donald Trump	Congressman Pete Sessions and Congressman Mike Burgess, great friends.
0033	Donald Trump	We're also joined by Pete Ricketts, Dana Loesch, Charlie Kirk, Diamond and Silk.
0034	Donald Trump	Where are you?
0035	Donald Trump	Where are you?
0036	Donald Trump	They're so great.
0037	Donald Trump	Mark Geist, Richard Hutchens, Pete Brownell and Leslie Rutledge, finally I wanted to thank all of you, the true American patriots of the NRA who defend our rights, our liberty and our great American flag, thank you, thank you very much.
0038	Donald Trump	The people in this hall have never taken our freedom granted.
0039	Donald Trump	Never.
0040	Donald Trump	And you have never stopped fighting for our beloved Constitution.
0041	Donald Trump	Incredible people.
0042	Donald Trump	Thank you.
0043	Donald Trump	You give your time, your energy, your vote, and your voice to stand strong for those sacred rights given to us by God, including the right to self defense.
0044	Donald Trump	And now thanks to your activism and dedication, you'll have an administration fighting to protect your 2nd Amendment, and we will protect your 2nd Amendment.
0045	Donald Trump	Your 2nd Amendment rights are under siege, but they will never, ever be under siege as long as I'm your president.
0046	Donald Trump	All of us  thank you.
0047	Donald Trump	Thank you.
0048	Donald Trump	All of us here today are united by the same timeless values.
0049	Donald Trump	We believe that our liberty is a gift from our creator and that no government can ever take it away.
0050	Donald Trump	We believe in the rule of law.
0051	Donald Trump	And we support the men and women of law enforcement.
0052	Donald Trump	We have pride in our history and respect for our heritage.
0053	Donald Trump	We put our hands on our hearts for the Pledge of Allegiance and we all proudly stand for the National Anthem.
0054	Donald Trump	We proudly stand.
0055	SYSTEM	[Audience Chants USA]
0056	Donald Trump	What people.
0057	Donald Trump	What great people.
0058	SYSTEM	[Audience Calls We Love You]
0059	Donald Trump	And this is your record crowd, you know, all time record crowd.
0060	Donald Trump	You do know that, so, just remember.
0061	Donald Trump	Nice to set record.
0062	Donald Trump	We love our country, and we believe our citizens deserve a government that shows them the same love and loyalty in return.
0063	Donald Trump	For the last 15 months, that is exactly what we have been doing.
0064	Donald Trump	We are all finally putting America first.
0065	Donald Trump	And we are seeing the incredible results as a result of our massive tax cuts, and everybody is benefiting and everybody is happy.
0066	Donald Trump	And the Democrats are very concerned.
0067	Donald Trump	You watch how well we do in '18.
