0001	Donald Trump	Thank you.
0002	Donald Trump	Thank you.
0003	Donald Trump	Hello, midshipmen, hello.
0004	Donald Trump	Let me say to the entire brigadeplease be at easeenjoy yourselves, because we are all here to celebrate the amazing class of 2018.
0005	Donald Trump	Amazing job.
0006	Donald Trump	Thank you.
0007	Donald Trump	Really something.
0008	Donald Trump	Admiral Carter, thank you for that wonderful introduction and for your leadership, an incredible job you have done at this storied academy.
0009	Donald Trump	And thank you, Captain Chadwick, for your dedication and service.
0010	Donald Trump	Thank you to Undersecretary Modly, Admiral Richardson, General Walters, for joining us today.
0011	Donald Trump	Thanks also to Senator Wicker, Congressman Wittman, Congressman Valadao.
0012	Donald Trump	I want to recognize the entire brigade for a tremendous year.
0013	Donald Trump	This has been a spectacular year for you.
0014	Donald Trump	I have heard all about your achievements.
0015	Donald Trump	And a very special recognition for the midshipmen fourth class, you are plebs no more.
0016	Donald Trump	To all of the distinguished faculty and staff, to the local sponsor families, and most importantly, to the parents and grandparents and family members who have helped our graduates reached this joyous hour, today is your incredible achievement also.
0017	Donald Trump	They would have never made it without you, know this.
0018	Donald Trump	I want to thank the midshipmen and your families, and thank you.
0019	Donald Trump	America thanks you more than anybody.
0020	Donald Trump	You have done a spectacular job.
0021	Donald Trump	Thank you very much.
0022	Donald Trump	Finally, to the men and women about to be commissioned as ensigns in the Navy and second lieutenants in the Marine Corps, let me say on behalf of the entire nation, we could not be more proud of the United States Naval Academy Class of 2018.
0023	Donald Trump	Thank you.
0024	Donald Trump	Great job.
0025	Donald Trump	Congratulations to you all.
0026	Donald Trump	Four years ago, each of you made the most important decision of your lives.
0027	Donald Trump	You chose the path of hard work, sweat, and sacrifice.
0028	Donald Trump	You chose the life of honor, courage, and commitment.
0029	Donald Trump	You chose to serve the nation and defend our great American flag.
0030	Donald Trump	You chose the Navy, blue and gold, from the first moments of induction day.
0031	Donald Trump	Through a grueling six weeks of pleb summer, you endured and you persevered.
0032	Donald Trump	And then the rest of the brigade returned, and the real test began.
0033	Donald Trump	You developed morally, mentally, and physically.
0034	Donald Trump	You poured yourselves into military tactics, seamanship, navigation, ethics, and engineering.
0035	Donald Trump	And when hard work was not enough, like generations before you, you gathered your pennies and sought favor from the allpowerful Tecumseh.
0036	Donald Trump	Allpowerful.
