0001	Steve Doocy	You've got some excitement out on your lawn today.
0002	Steve Doocy	Hello, Mr. President.
0003	Donald Trump	A little excitement.
0004	Steve Doocy	What brings you here?
0005	Donald Trump	Are we on already?
0006	Steve Doocy	We're on.
0007	Steve Doocy	We're live.
0008	Donald Trump	Wow, wow.
0009	Donald Trump	That's good.
0010	Steve Doocy	We're actually  we're on every channel.
0011	Donald Trump	We had a very exciting trip over here, I have to say.
0012	Steve Doocy	No kidding.
0013	Donald Trump	I was good.
0014	Donald Trump	It was good.
0015	Donald Trump	How are you?
0016	Steve Doocy	I'm doing OK.
0017	Steve Doocy	I was here for the baseball game.
0018	Steve Doocy	How about Steve Scalise last night?
0019	Donald Trump	I think he's great.
0020	Donald Trump	How about that play?
0021	Donald Trump	The first play of the game.
0022	Steve Doocy	Unbelievable.
0023	Donald Trump	He's a great guy.
0024	Donald Trump	Courageous.
0025	Steve Doocy	He couldn't...
0026	Donald Trump	Courageous.
0027	Steve Doocy	Right.
0028	Donald Trump	Like you.
0029	Steve Doocy	Yes, sure.
0030	Steve Doocy	Having you stop by live.
0031	Steve Doocy	I got some questions.
0032	Donald Trump	I was mugged by the media.
0033	Steve Doocy	They've got questions for you.
0034	Steve Doocy	I'm hoping I can ask a lot of the questions.
0035	Steve Doocy	They've got...
0036	Donald Trump	Very nice people.
0037	Steve Doocy	You know, the I.G.
0038	Steve Doocy	report came out yesterday.
0039	Steve Doocy	The FBI looked bad.
0040	Donald Trump	Very bad.
0041	Steve Doocy	Your FBI.
0042	Donald Trump	Well, no.
0043	Donald Trump	It was Comey having to do  talking about Comey, not my FBI.
0044	Donald Trump	It was Comey.
0045	Donald Trump	The people in the FBI are incredible.
0046	Donald Trump	I would bet if you took a poll in the FBI, I would win that poll by more than anybody's ever won a poll.
0047	Donald Trump	But the top people were horrible.
0048	Donald Trump	You look at what happened They were plotting against my election.
0049	Donald Trump	Probably has never happened like that in terms of intelligence, in terms of anything else.
0050	Donald Trump	But they were actually plotting against my election.
0051	Steve Doocy	The headline right now...
0052	Donald Trump	I'm actually proud, because I beat the Clinton dynasty...
0053	Steve Doocy	Right.
0054	Donald Trump	...I beat Bush dynasty, and now I guess hopefully I'm in the process of beating very dishonest intelligence.
0055	Donald Trump	Because what they did was incredible and a real insult to millions of people that voted in that election on both sides.
0056	Steve Doocy	The headline right now from the Wall Street Journal, "DOJ Clinton Report Blasts Comey And Agents But Finds No Bias In Conclusion."
0057	Donald Trump	Well, the end result was wrong.
0058	Donald Trump	I mean, there was total bias.
0059	Donald Trump	I mean, when you look at Peter Strzok and what he said about me, when you look at Comey all his moves.
0060	Donald Trump	So I guess  you know it's interesting it was a pretty good report, and then I say that the I.G.
0061	Donald Trump	blew it at the very end with that statement, because when you read the report it was almost like Comey.
0062	Donald Trump	He goes point after point about how guilty Hillary is and then he said, "But we're not going to do anything about it."
0063	Donald Trump	The report  the I.G.
0064	Donald Trump	report was a horror show.
0065	Donald Trump	I thought that one sentence of conclusion was ridiculous.
0066	Steve Doocy	What about, apparently, the love birds talking about you, "We will stop it"?
0067	Donald Trump	Yeah, they said they will stop me.
0068	Donald Trump	While in the meantime the economy hit an alltime high this morning.
0069	Donald Trump	Never been better.
0070	Donald Trump	Jobless rate the lowest  the best in 44 years, just came out.
0071	Donald Trump	We're going to have some incredible things.
0072	Donald Trump	We're just announcing very big tariffs today on China because China has been  look he's my friend, President Xi.
0073	Donald Trump	He's a great man.
0074	Donald Trump	He's a wonderful guy.
0075	Donald Trump	But at some point we have to straighten it out.
0076	Donald Trump	We lost $500 billion in trade deficits last year.
0077	Donald Trump	We can't do that.
0078	Steve Doocy	Is the new tariff something like 25 percent on...
0079	Donald Trump	It's being announced right now as I speak.
0080	Steve Doocy	OK. You can announce it.
0081	Donald Trump	Maybe you have the first announcement.
0082	Donald Trump	You may...
0083	Steve Doocy	What do you know about your tariffs?
0084	Donald Trump	You might beat the Wall Street Journal, all right.
0085	Donald Trump	You just beat the Wall Street Journal by a lot.
0086	Donald Trump	Well, we're just going to do $50 billion on $50 billion of hightechnology equipment and other things coming into the country, because so much of our secrets  you know, we have the great brain power in Silicon Valley, and China and others steal those secrets.
0087	Donald Trump	And we're going protect those secrets.
0088	Donald Trump	Those are crown jewels for this country.
0089	Donald Trump	And, you know, you read so much about China, you read so much about other countries, we have the great brainpower right in this country, I'm proud to say.
0090	Donald Trump	And you're certainly a member of that group.
