0001	Donald Trump	Well, thank you very much, everybody.
0002	Donald Trump	Appreciate it.
0003	Donald Trump	We've had a very amazing twoday period in Brussels.
0004	Donald Trump	And we really accomplished a lot, with respect to NATO.
0005	Donald Trump	For years, Presidents have been coming to these meetings and talked about the expense  the tremendous expense for the United States.
0006	Donald Trump	And tremendous progress has been made everyone has agreed to substantially up their commitment.
0007	Donald Trump	They're going to up it at levels that they've never thought of before.
0008	Donald Trump	Prior to last year, where I attended my first meeting, it was going down  the amount of money being spent by countries was going down and down very substantially.
0009	Donald Trump	And now, it's going up very substantially.
0010	Donald Trump	And commitments were made.
0011	Donald Trump	Only 5 of 29 countries were making their commitment.
0012	Donald Trump	And that's now changed.
0013	Donald Trump	The commitment was at 2 percent.
0014	Donald Trump	Ultimately, that'll be going up quite a bit higher than that.
0015	Donald Trump	So we are  we made a tremendous amount of progress today.
0016	Donald Trump	It's been about, at a minimum, they estimate  and they're going to be giving you exact numbers  but since last year, they've raise an additional $33 billion that's been put up by the various countries, not including the United States.
0017	Donald Trump	And the United States' commitment to NATO is very strong, remains very strong, but primarily because everyone  the spirit they have, the amount of money they're willing to spend, the additional money that they will be putting up has been really, really amazing to see it.
0018	Donald Trump	To see the level of spirit in that room is incredible.
0019	Donald Trump	And I hope that we're going to be able to get along with Russia.
0020	Donald Trump	I think that we probably will be able to.
0021	Donald Trump	The people in the room think so, but they nevertheless  they really stepped up their commitment, and stepped it up like they never have before. So took in an addition $33
0022	SYSTEM	[billion]
0023	Donald Trump	. The number could actually be higher than $40
0024	SYSTEM	[billion]
0025	Donald Trump	when they give you the final number.
0026	Donald Trump	The Secretary General, Stoltenberg, will be giving those numbers sometime today, probably in his concluding press statement.
0027	Donald Trump	But we are doing numbers like they've never done before or ever seen before.
0028	Donald Trump	And you'll be seeing that, and I guess you'll be hearing that a little bit later.
0029	Donald Trump	Okay.
0030	Donald Trump	We have our Secretary of State, as you know, and we have  John is here.
0031	Donald Trump	So if you have any questions for the three of us.
0032	Donald Trump	Mike Pompeo just got back from a third trip, as you know, to North Korea.
0033	Donald Trump	He's become a true expert on the trips to North Korea  the best way to get there, the best way to get out.
0034	Donald Trump	And he gets along very well.
0035	Donald Trump	And he's doing a great job over there.
0036	Donald Trump	Yes, ma'am.
0037	Question	I have a question.
0038	Donald Trump	Yes.
0039	Tara McKelvey	Mr. President, I'm Tara McKelvey with the BBC.
0040	Tara McKelvey	Can you tell us whether or not you warned people that the U.S. would pull out of NATO if they weren't meeting their spending goals?
0041	Donald Trump	I told people that I'd be very unhappy if they didn't up their commitments very substantially, because the United States has been paying a tremendous amount, probably 90 percent of the cost of NATO.
0042	Donald Trump	And now, people are going to start and countries are going to start upping their commitments.
0043	Donald Trump	So I let them know yesterday, actually.
0044	Donald Trump	I was surprised that you didn't pick it up it took until today.
0045	Donald Trump	But yesterday, I let them know that I was extremely unhappy with what was happening, and they have substantially upped their commitment, yeah.
0046	Donald Trump	And now we're very happy and have a very, very powerful, very, very strong NATO, much stronger than it was two days ago.
0047	Donald Trump	Yes, ma'am.
0048	Question	Hi, President Trump.
0049	Donald Trump	Yes, hi.
0050	Donald Trump	How are you?
0051	Question	I'm the White House Correspondent for PBS 
0052	Donald Trump	I know.
0053	Donald Trump	You're very famous on television.
0054	Question	I have a question, again, about  did you ever, at any point, say that the U.S., though, might stop engaging with NATO?
0055	Question	And do you think that your rhetoric helps NATO cohesion, or are you worried that people might think that U.S. might not be as committed to NATO?
0056	Question	There are a lot of people who say they were worried and stressed by what you did yesterday.
0057	Donald Trump	Well, they were probably worried because the United States was not being treated fairly, but now we are, because the commitment has been upped so much.
0058	Donald Trump	So now they are.
0059	Donald Trump	And I was very firm yesterday.
0060	Donald Trump	You have to understand, I know a lot of the people in the room.
0061	Donald Trump	I was here last year.
0062	Donald Trump	I let them know last year  in a less firm manner, but pretty firm  and they raised an additional $33 billion, I think going to $40 billion.
0063	Donald Trump	But it's $33 billion as of today.
0064	Donald Trump	And then today and yesterday, I was probably a little bit more firm.
0065	Donald Trump	But I believe in NATO.
0066	Donald Trump	I think NATO is a very important  probably the greatest ever done.
0067	Donald Trump	But the United States was paying for anywhere from 70 to 90 percent of it, depending on the way you calculate.
0068	Donald Trump	That's not fair to the United States.
0069	Donald Trump	In addition to that, as you know, we're in negotiations with the EU, and we're going to be meeting with them next week.
0070	Donald Trump	We've been treated very unfairly on trade.
0071	Donald Trump	Our farmers have been shut out of the European Union.
0072	Donald Trump	Now, you could say they're different, but basically, to a large extent, they're the same countries.
0073	Donald Trump	So I think we're going to be ultimately treated fairly on trade.
0074	Donald Trump	We'll see what happens, but I can tell you that NATO now is really a finetuned machine.
0075	Donald Trump	People are paying money that they never paid before.
0076	Donald Trump	They're happy to do it.
0077	Donald Trump	And the United States is being treated much more fairly.
0078	Donald Trump	Yes, sir.
0079	Ryan Chilcote	President Trump, Ryan Chilcote, PBS NewsHour.
0080	Ryan Chilcote	Did you win concessions in your meetings and discussions with the German Chancellor when it comes to German defense spending and also with this issue of purchasing energy from Russia?
0081	Ryan Chilcote	And secondly, what would you say to your critics that say by creating this scene here at NATO you're only enabling President Putin and Russia to further disturb things in Ukraine and Georgia?
0082	Donald Trump	Well, if you consider putting up tremendously  you know, the additional funds at a level that nobody has ever seen before, I don't think that's helping Russia.
0083	Donald Trump	I think that NATO is much stronger now than it was two days ago.
0084	Donald Trump	I think that NATO was not doing what they were supposed to be doing  a lot of the countries.
0085	Donald Trump	And we were doing much more than we should have been doing.
0086	Donald Trump	Frankly, we were carrying too much of a burden.
0087	Donald Trump	That's why we call it "burdensharing."
0088	Donald Trump	I was using the term a lot today.
0089	Donald Trump	Burdensharing.
0090	Donald Trump	We had a fantastic meeting at the end  29 countries.
0091	Donald Trump	And they are putting up a lot.
0092	Donald Trump	Germany has increased very substantially their time period, and Germany is coming along.
0093	Donald Trump	And we still have to figure out what's going on with the pipeline, because the pipeline is coming in from Russia.
0094	Donald Trump	So we're going to have to figure that out.
0095	Donald Trump	I brought it up nobody brought it up but me, and we all are talking about it now.
0096	Donald Trump	And actually, I think the world is talking about it now maybe more than anything else.
0097	Donald Trump	But we're going to figure that out.
0098	Donald Trump	But  and, frankly, maybe everybody is going to have a good relationship with Russia so there will be a lot less problem with the pipeline.
0099	Donald Trump	But, to me, that was a very major point of contention.
0100	Donald Trump	We discussed it at length today.
0101	Donald Trump	Germany has agreed to do a lot better than they were doing, and we're very happy with that.
0102	Donald Trump	We had a very good relationship with Angela Merkel.
0103	Donald Trump	Yes.
0104	Margaret Talev	Mr. President 
0105	Donald Trump	Yeah, go ahead.
0106	Margaret Talev	Hi.
0107	Margaret Talev	Thank you.
0108	Margaret Talev	Margaret Talev from Bloomberg.
0109	Donald Trump	Yes.
0110	Donald Trump	After all these years, I know, Margaret.
0111	Donald Trump	Go ahead.
0112	Margaret Talev	Thank you.
0113	Margaret Talev	Maybe I'm being dense here, but could you just clarify Are you still threatening to potentially pull the United States out of NATO for any reason?
0114	Margaret Talev	And do you believe you can do that without Congress's explicit support and approval?
0115	Donald Trump	I think I probably can, but that's unnecessary.
0116	Donald Trump	And the people have stepped up today like they've never stepped up before.
0117	Donald Trump	And remember the word  $33 billion more, they're paying.
0118	Donald Trump	And you'll hear that from the Secretary General in a little while.
0119	Donald Trump	He thanked me actually.
0120	Donald Trump	He actually thanked me.
0121	Donald Trump	And everybody in the room thanked me.
0122	Donald Trump	There's a great collegial spirit in that room that I don't think they've had in many years.
0123	Donald Trump	They're very strong.
0124	Donald Trump	So, yeah, very unified, very strong.
0125	Donald Trump	No problem.
0126	Donald Trump	Right?
0127	Donald Trump	Yes, go ahead.
0128	Jonathan Lemire	We're in NATO.
0129	Jonathan Lemire	No  no 
0130	Donald Trump	No problem.
0131	Donald Trump	Go ahead.
0132	Jonathan Lemire	Mr. President, Jonathan Lemire with the Associated Press.
0133	Jonathan Lemire	You have said previously you wanted the countries to step up their spending to 2 percent.
0134	Jonathan Lemire	Yesterday there was a suggestion it might be 4 percent, or perhaps 2 percent at a much quicker timetable.
0135	Jonathan Lemire	Can you clarify, what did they commit to doing?
0136	Jonathan Lemire	Is that satisfactory to you?
0137	Donald Trump	So what they're doing is spending at a much faster clip.
0138	Donald Trump	They're going up to the 2 percent level.
0139	Donald Trump	Now, you have to understand, some of them have parliaments, they have their own congresses, they have a lot of things they have to go through.
0140	Donald Trump	So, you know, they're here as prime minister or a as a president, and they can't necessarily go in and say, this is what we're going to do.
0141	Donald Trump	But they're going back for approvals.
0142	Donald Trump	Some are at 2 percent others have agreed definitely to go to 2 percent.
0143	Donald Trump	And some are going back to get the approval, and which they will get, to go to 2 percent.
0144	Donald Trump	After the 2 percent, we'll start talking about going higher.
0145	Donald Trump	But I said, ultimately we should be, in years  in advance  we should be at 4 percent.
0146	Donald Trump	I think 4 percent, it's the right number.
0147	Donald Trump	Now, the United States  depending on the way you calculate it  was at 4.2 percent.
0148	Donald Trump	And I said, that's unfair.
0149	Donald Trump	And we have the largest GDP by far, especially since we've increased it by so much since a thing called the election.
0150	Donald Trump	Our GDP has gone way up.
0151	Donald Trump	And so the fact that our GDP went way up, that means we're paying for even more, which is very unfair.
0152	Donald Trump	So I explained that.
0153	Donald Trump	We will go to much higher than 2 percent into the future, but right now we're getting people up to 2 percent, and that will take place over a fairly short period of time  a short number of years.
0154	Donald Trump	Okay?
0155	Donald Trump	Yeah, go ahead. Hi, Tomas LeCrass from
0156	SYSTEM	[Inaudible]
0157	Donald Trump	journalist Croatia Daily Newspaper.
0158	Tomas LeCrass	We understand your message 
0159	Donald Trump	Congratulations, by the way.
0160	Tomas LeCrass	Thank you.
0161	Donald Trump	On soccer.
0162	Tomas LeCrass	Thank you.
0163	Tomas LeCrass	We understand your message, but some people ask themselves, will you be tweeting differently once you board the Air Force One?
0164	Tomas LeCrass	Thank you.
0165	Donald Trump	No, that's other people that do that.
0166	Donald Trump	I don't.
0167	Donald Trump	I'm very consistent.
0168	Donald Trump	I'm a very stable genius.
0169	SYSTEM	[Laughter]
0170	Donald Trump	Go ahead.
0171	Donald Trump	Yeah, go ahead.
0172	Jeremy Diamond	Thank you, sir.
0173	Jeremy Diamond	Jeremy Diamond with CNN.
0174	Jeremy Diamond	How are you?
0175	Donald Trump	Hi, Jeremy.
0176	Jeremy Diamond	Quick question with regards to Germany and the comments that you made yesterday.
0177	Jeremy Diamond	Do you feel like given the threats that you made about potentially leaving NATO, about insulting Germany's sovereignty, it appears, by suggesting that they're totally controlled by Russia  do you feel like that's an effective way to conduct diplomacy?
0178	Jeremy Diamond	And secondly, would you be able to be a little bit more specific about the commitments that you secured today with regards to increasing the financial commitment?
0179	Jeremy Diamond	Is there an updated timeline?
0180	Jeremy Diamond	Are there specific countries you could cite?
0181	Jeremy Diamond	Because a majority of them were already planning to meet that 2 percent threshold by 2024.
0182	Donald Trump	No, many of them  in fact, Germany was going to be in the year 2028 or '30.
0183	Donald Trump	Yeah, I think it's a very effective way to deal, but I didn't deal exactly the way you said.
0184	Donald Trump	I have great respect for Germany.
0185	Donald Trump	My father is from Germany.
0186	Donald Trump	Both of my parents are from the EU, despite the fact they don't treat us well on trade.
0187	Donald Trump	But I think that will change also, and I think we'll see that  because on the 25th of July, they're coming in to start negotiations with me.
0188	Donald Trump	We'll see.
0189	Donald Trump	And if they don't negotiate in good faith, we'll do something having to do with all of the millions of cars that are coming into our country and being taxed at a virtually zero level, at a very low level.
0190	Donald Trump	But, Jeremy, I think it's been a very effective way of negotiating.
0191	Donald Trump	But I'm not negotiating I just want fairness for the United States.
0192	Donald Trump	We're paying for far too much of NATO.
0193	Donald Trump	NATO is very important.
0194	Donald Trump	But NATO is helping Europe more than it's helping us.
0195	Donald Trump	At the same time, it's very good for us.
0196	Donald Trump	So we have now got it to a point where people are paying a lot more money, and that's starting  really, last year.
0197	Donald Trump	It really had  you were there last year.
0198	Donald Trump	And last year we had a big impact.
0199	Donald Trump	Again, we took in $33 billion more.
0200	Donald Trump	And if you ask Secretary General Stoltenberg, he gives us total credit  meaning me, I guess, in this case, total credit  because I said it was unfair.
0201	Donald Trump	Now, what has happened is, presidents over many years, from Ronald Reagan to Barack Obama, they came in, they said, "Okay, hey, do the best you can," and they left.
0202	Donald Trump	Nobody did anything about it.
0203	Donald Trump	And it got to a point where the United States was paying for 90 percent of NATO.
0204	Donald Trump	And that's not fair.
0205	Donald Trump	So it's changed
0206	Donald Trump	We had a really good meeting today.
0207	Donald Trump	We had a great meeting in terms of getting along.
0208	Donald Trump	I know most of the people in the room because of last year, because of the year and a half that we've been in office  year and a halfplus.
